Category,N_UPCs,Price_SD,Pct_Zero_Sales,N_Stores,N_Weeks
Shampoo,2713,0.6121,0.7472,93,216
Soft Drinks,1746,1.1535,0.514,86,152
Grooming Prod,1599,0.8444,0.6788,93,272
Cookies,1126,0.9267,0.3979,93,232
Cigarettes,942,0.9991,0.6466,86,399
Frozen Entrees,900,0.6223,0.3374,93,397
Beer,790,0.9413,0.4018,89,303
Cheese,667,0.2981,0.3222,86,365
Analgesics,641,2.6688,0.7491,92,393
Toothpaste,608,1.1438,0.5721,93,399
Bathrm Tiss,600,1.1779,0.8994,47,180
Laundry Det,582,3.6318,0.4783,93,325
Bottled Juice,511,0.2594,0.6083,86,333
Front-End Candy,505,0.1723,0.2029,93,397
Cereals,490,0.8387,0.361,86,367
Canned Soup,445,0.4007,0.4149,93,379
Toothbrushes,431,0.9277,0.5723,93,389
Snack Crackers,425,0.5122,0.4949,93,385
Soaps,337,2.0972,0.2825,93,276
Crackers,330,0.3924,0.5153,93,381
Fabric Softeners,318,1.0188,0.5462,93,397
Dish Deterg,287,0.319,0.5309,87,393
Frozen Dinners,283,0.3789,0.103,87,104
Tuna,278,0.5772,0.5782,87,375
Frozen Juices,175,0.5075,0.2492,93,397
Paper Towels,164,0.9513,0.2998,93,389
Toilet Tissue,128,1.4124,0.4348,93,385
Oatmeal,96,0.5255,0.3562,93,306
