"category","n_upc_catalog","n_nitem_catalog","n_stores","n_storeweeks","median_upcs_store","median_effective_upc_store","median_menus_store","median_always_store","median_95pct_store","median_nitems_store","median_menus_nitem_store","median_always_nitem_store","median_95pct_nitem_store","total_distinct_menus","total_distinct_menus_nitem"
"Shampoos",2713,1905,93,18531,1447,187,64,241,252,1001,58,266,271,5506,4982
"SoftDrinks",1746,1370,93,32558,1272,259,101,176,183,1038,96,205,214,8578,8090
"Grooming",1599,962,93,23277,1010,160,71,166,170,682,64,169,172,6000,5422
"Cookies",1126,976,93,32368,906,263,90,104,106,793,89,109,113,7619,7507
"Cigarettes",942,78,93,33100,497,125,76,41,43,42,20,4,4,6391,1316
"FrozenEntrees",900,822,93,33058,776,206,83,105,107,720,81,110,113,7032,6813
"Beer",790,653,89,22179,359,130,70,19,22,322,66,21,24,5077,4825
"Cheese",667,573,93,32715,532,156,79,120,121,464,72,133,134,6670,6072
"Analgesics",641,507,93,32397,483,179,80,78,78,404,73,82,83,6720,6099
"Toothpastes",608,376,93,33230,419,167,85,31,33,264,71,33,35,7198,5997
"BathSoap",600,495,93,22762,77,41,34,10,11,61,28,11,11,3325,2985
"LaundryDetergents",582,353,93,33043,527,187,82,4,5,340,68,13,14,6903,5352
"Juice",511,445,93,32715,418,168,76,51,53,371,72,55,57,6395,6104
"FrontEndCandies",505,416,93,33043,401,141,69,63,64,346,65,69,72,5906,5619
"Cereal",490,399,93,30489,419,140,73,92,94,344,67,105,108,6265,5757
"CannedSoup",445,413,93,31505,374,107,54,82,83,351,53,86,87,4205,4070
"Toothbrushes",431,325,93,32363,304,134,71,18,20,221,60,20,23,6071,5115
"SnackCrackers",425,382,93,32011,347,142,74,55,57,322,73,57,59,6346,6225
"Soaps",337,243,93,23606,293,95,57,48,49,217,47,53,57,4767,3774
"Crackers",330,295,93,31683,236,96,61,46,47,221,59,48,49,5165,4996
"FabricSofteners",318,203,93,33043,292,125,73,25,26,186,56,35,36,6085,3846
"DishDetergent",287,183,93,32715,255,115,66,28,28,165,52,35,36,5567,3891
"FrozenDinners",283,254,93,21886,254,47,34,47,47,240,33,51,51,2543,2352
"CannedTuna",278,212,93,31161,227,92,55,17,19,179,47,20,23,4692,3904
"FrozenJuices",175,161,93,33043,156,55,43,53,53,143,38,53,53,1803,1317
"PaperTowels",164,91,93,32363,134,70,55,8,8,84,47,11,11,4102,2052
"BathroomTissues",128,102,93,32027,113,60,50,17,17,95,44,21,21,2636,1598
"Oat",96,93,93,26116,84,30,27,30,31,82,27,30,30,2046,1954
