COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
310,1112600301,COCO WHEATS,21 OZ,12,2519001
310,1112600328,COCO WHEATS,28 OZ,12,2519021
310,1112600399,COCO WHEATS PREPRICE,28 OZ,12,2519021
310,1313000602,NABISCO CREAM OF WHT,28 OZ,12,2516650
310,1313000611,QUICK CREAM OF WHEAT,14 OZ,24,2508360
310,1313000612,CREAM OF WHEAT QUICK,28 OZ,12,2516701
310,1313000622,CREAM OF WHEAT INSTA,28 OZ,12,2516601
310,1313000698,NABISCO CREAM OF RIC,14 OZ,12,2516900
310,1313006024,~INSTANT CREAM OF WH,12.5 O,12,2516471
310,1313006025,MIX N EAT CREAM OF W,12 OZ,12,2516401
310,1313006031,CRM OF WHT INST APPL,12.5 O,12,2516751
310,1313006035,~MIX N EAT BROWN SUG,12.5 O,12,2516441
310,1313006044,NABISCO INSTANT BANA,11.2 O,12,2516611
310,1313006050,~CRM OF WHT INST GRA,12.1 O,12,2516731
310,1313006053,~MIX N EAT BROWN SUG,12.5 O,12,2516441
310,1313006057,INST CRM OF WHT-VARI,12.5 O,12,2516621
310,1313006058,~INS CREAM OF WHEAT-,11.2 O,12,2516221
310,1600062870,UNDERCOVER BEARS STR,12.6 O,12,2508301
310,1600062880,UNDERCOVER BEARS MPL,12.6 O,12,2508321
310,1600062890,UNDERCOVER BEAR VARI,12.7 O,12,2508281
310,1600064030,TOTAL QUICK OATMEAL-,15 OZ,12,2504801
310,1600064040,TOTAL INST OATMEAL-R,10 OZ,12,2504701
310,1600064060,TOTAL OATMEAL VARIET,10.5 O,12,2504841
310,1600064070,TOTAL OATMEAL MAPLE/,12 OZ,12,2504821
310,1600065240,OATMEAL SWIRLER MAPL,12.8 O,12,2504921
310,1600065450,TOTAL OATMEAL SWLR V,13.3 O,12,2504861
310,1600065460,OATMEAL SWIRLERS STR,12.8 O,12,2508341
310,1780010045,RALSTON INSTANT HOT,20 OZ,12,2508350
310,1800063061,~PILLS FARINA APPLES,28 OZ,12,2517631
310,1800063070,PILS FARINA,27.5 O,12,2517601
310,3000001000,QUAKER VARIETY OATCU,22 OZ,6,2522461
