"set_size","n_occasions","share","cum_share"
1,1,3.94321766561514e-05,3.94321766561514e-05
2,1,3.94321766561514e-05,7.88643533123028e-05
3,1,3.94321766561514e-05,0.000118296529968454
5,1,3.94321766561514e-05,0.000157728706624606
7,1,3.94321766561514e-05,0.000197160883280757
8,1,3.94321766561514e-05,0.000236593059936909
9,3,0.000118296529968454,0.000354889589905363
10,4,0.000157728706624606,0.000512618296529968
11,3,0.000118296529968454,0.000630914826498423
12,2,7.88643533123028e-05,0.000709779179810726
13,1,3.94321766561514e-05,0.000749211356466877
14,6,0.000236593059936909,0.000985804416403785
15,3,0.000118296529968454,0.00110410094637224
16,3,0.000118296529968454,0.00122239747634069
17,3,0.000118296529968454,0.00134069400630915
18,1,3.94321766561514e-05,0.0013801261829653
19,2,7.88643533123028e-05,0.0014589905362776
20,6,0.000236593059936909,0.00169558359621451
21,3,0.000118296529968454,0.00181388012618297
22,7,0.00027602523659306,0.00208990536277603
23,5,0.000197160883280757,0.00228706624605678
24,8,0.000315457413249211,0.00260252365930599
25,25,0.000985804416403785,0.00358832807570978
26,31,0.00122239747634069,0.00481072555205047
27,53,0.00208990536277603,0.0069006309148265
28,86,0.00339116719242902,0.0102917981072555
29,144,0.0056782334384858,0.0159700315457413
30,257,0.0101340694006309,0.0261041009463722
31,394,0.0155362776025237,0.0416403785488959
32,623,0.0245662460567823,0.0662066246056782
33,871,0.0343454258675079,0.100552050473186
34,1209,0.0476735015772871,0.148225552050473
35,1427,0.0562697160883281,0.204495268138801
36,1936,0.0763406940063091,0.28083596214511
37,2354,0.0928233438485804,0.373659305993691
38,2563,0.101064668769716,0.474723974763407
39,2622,0.103391167192429,0.578115141955836
40,2552,0.100630914826498,0.678746056782334
41,2137,0.0842665615141956,0.76301261829653
42,1640,0.0646687697160883,0.827681388012618
43,1223,0.0482255520504732,0.875906940063091
44,998,0.0393533123028391,0.91526025236593
45,767,0.0302444794952681,0.945504731861199
46,601,0.023698738170347,0.969203470031546
47,439,0.0173107255520505,0.986514195583596
48,246,0.00970031545741325,0.996214511041009
49,82,0.00323343848580442,0.999447949526814
50,12,0.000473186119873817,0.999921135646687
51,2,7.88643533123028e-05,1
