"UPC_i","DESCRIP_i","UPC_j","DESCRIP_j","weeks_together"
3000001040,"QUAKER OLD FASHIONED",3000001200,"QUICK QUAKER OATS",304
1313006025,"MIX N EAT CREAM OF W",3000001040,"QUAKER OLD FASHIONED",303
1313006025,"MIX N EAT CREAM OF W",3000001200,"QUICK QUAKER OATS",303
3000001020,"QUAKER OATS REGULAR",3000001040,"QUAKER OLD FASHIONED",303
3000001020,"QUAKER OATS REGULAR",3000001200,"QUICK QUAKER OATS",303
3000001040,"QUAKER OLD FASHIONED",3000007060,"QUAKER HOT OAT BRAN",303
3000001200,"QUICK QUAKER OATS",3000007060,"QUAKER HOT OAT BRAN",303
1313000612,"CREAM OF WHEAT QUICK",3000001040,"QUAKER OLD FASHIONED",302
1313000612,"CREAM OF WHEAT QUICK",3000001200,"QUICK QUAKER OATS",302
1313006025,"MIX N EAT CREAM OF W",3000001020,"QUAKER OATS REGULAR",302
1313006025,"MIX N EAT CREAM OF W",3000007060,"QUAKER HOT OAT BRAN",302
3000001020,"QUAKER OATS REGULAR",3000007060,"QUAKER HOT OAT BRAN",302
3000001040,"QUAKER OLD FASHIONED",3000001210,"QUAKER INSTANT OATME",302
3000001200,"QUICK QUAKER OATS",3000001210,"QUAKER INSTANT OATME",302
1313000612,"CREAM OF WHEAT QUICK",1313006025,"MIX N EAT CREAM OF W",301
1313000612,"CREAM OF WHEAT QUICK",3000001020,"QUAKER OATS REGULAR",301
1313000612,"CREAM OF WHEAT QUICK",3000007060,"QUAKER HOT OAT BRAN",301
1313006025,"MIX N EAT CREAM OF W",3000001210,"QUAKER INSTANT OATME",301
3000001020,"QUAKER OATS REGULAR",3000001210,"QUAKER INSTANT OATME",301
3000001040,"QUAKER OLD FASHIONED",3000004170,"QUAKER Q/W HOMINY GR",301
3000001200,"QUICK QUAKER OATS",3000004170,"QUAKER Q/W HOMINY GR",301
3000001210,"QUAKER INSTANT OATME",3000007060,"QUAKER HOT OAT BRAN",301
1313000612,"CREAM OF WHEAT QUICK",3000001210,"QUAKER INSTANT OATME",300
1313006025,"MIX N EAT CREAM OF W",3000004170,"QUAKER Q/W HOMINY GR",300
1800063070,"PILS FARINA",3000001040,"QUAKER OLD FASHIONED",300
1800063070,"PILS FARINA",3000001200,"QUICK QUAKER OATS",300
3000001020,"QUAKER OATS REGULAR",3000001380,"QUAKER INST OATML AP",300
3000001020,"QUAKER OATS REGULAR",3000004170,"QUAKER Q/W HOMINY GR",300
3000001040,"QUAKER OLD FASHIONED",3000001180,"QUICK QUAKER OATS",300
3000001040,"QUAKER OLD FASHIONED",3000001380,"QUAKER INST OATML AP",300
3000001180,"QUICK QUAKER OATS",3000001200,"QUICK QUAKER OATS",300
3000001180,"QUICK QUAKER OATS",3000007060,"QUAKER HOT OAT BRAN",300
3000001200,"QUICK QUAKER OATS",3000001380,"QUAKER INST OATML AP",300
3000004170,"QUAKER Q/W HOMINY GR",3000007060,"QUAKER HOT OAT BRAN",300
1313000612,"CREAM OF WHEAT QUICK",3000004170,"QUAKER Q/W HOMINY GR",299
1313006025,"MIX N EAT CREAM OF W",1800063070,"PILS FARINA",299
1313006025,"MIX N EAT CREAM OF W",3000001180,"QUICK QUAKER OATS",299
1313006025,"MIX N EAT CREAM OF W",3000001380,"QUAKER INST OATML AP",299
1800063070,"PILS FARINA",3000001020,"QUAKER OATS REGULAR",299
1800063070,"PILS FARINA",3000007060,"QUAKER HOT OAT BRAN",299
3000001020,"QUAKER OATS REGULAR",3000001180,"QUICK QUAKER OATS",299
3000001040,"QUAKER OLD FASHIONED",3000001240,"QUAKER INST OATML RS",299
3000001040,"QUAKER OLD FASHIONED",3000001880,"QUAKER FRUIT & CREAM",299
3000001040,"QUAKER OLD FASHIONED",3000002190,"KRETSCHMER WHEAT GER",299
3000001200,"QUICK QUAKER OATS",3000001240,"QUAKER INST OATML RS",299
3000001200,"QUICK QUAKER OATS",3000001880,"QUAKER FRUIT & CREAM",299
3000001200,"QUICK QUAKER OATS",3000002190,"KRETSCHMER WHEAT GER",299
3000001210,"QUAKER INSTANT OATME",3000004170,"QUAKER Q/W HOMINY GR",299
3000001380,"QUAKER INST OATML AP",3000007060,"QUAKER HOT OAT BRAN",299
1313000612,"CREAM OF WHEAT QUICK",1800063070,"PILS FARINA",298
1313000612,"CREAM OF WHEAT QUICK",3000001180,"QUICK QUAKER OATS",298
1313000612,"CREAM OF WHEAT QUICK",3000001380,"QUAKER INST OATML AP",298
1313000622,"CREAM OF WHEAT INSTA",3000001020,"QUAKER OATS REGULAR",298
1313000622,"CREAM OF WHEAT INSTA",3000001040,"QUAKER OLD FASHIONED",298
1313000622,"CREAM OF WHEAT INSTA",3000001200,"QUICK QUAKER OATS",298
1313006025,"MIX N EAT CREAM OF W",3000001240,"QUAKER INST OATML RS",298
1313006025,"MIX N EAT CREAM OF W",3000001880,"QUAKER FRUIT & CREAM",298
1313006025,"MIX N EAT CREAM OF W",3000002190,"KRETSCHMER WHEAT GER",298
1800063070,"PILS FARINA",3000001180,"QUICK QUAKER OATS",298
1800063070,"PILS FARINA",3000001210,"QUAKER INSTANT OATME",298
3000001020,"QUAKER OATS REGULAR",3000001240,"QUAKER INST OATML RS",298
3000001020,"QUAKER OATS REGULAR",3000001880,"QUAKER FRUIT & CREAM",298
3000001020,"QUAKER OATS REGULAR",3000002190,"KRETSCHMER WHEAT GER",298
3000001180,"QUICK QUAKER OATS",3000001210,"QUAKER INSTANT OATME",298
3000001210,"QUAKER INSTANT OATME",3000001380,"QUAKER INST OATML AP",298
3000001240,"QUAKER INST OATML RS",3000007060,"QUAKER HOT OAT BRAN",298
3000001880,"QUAKER FRUIT & CREAM",3000007060,"QUAKER HOT OAT BRAN",298
3000002190,"KRETSCHMER WHEAT GER",3000007060,"QUAKER HOT OAT BRAN",298
1313000612,"CREAM OF WHEAT QUICK",3000001240,"QUAKER INST OATML RS",297
1313000612,"CREAM OF WHEAT QUICK",3000001880,"QUAKER FRUIT & CREAM",297
1313000612,"CREAM OF WHEAT QUICK",3000002190,"KRETSCHMER WHEAT GER",297
1313000622,"CREAM OF WHEAT INSTA",1313006025,"MIX N EAT CREAM OF W",297
1313000622,"CREAM OF WHEAT INSTA",3000007060,"QUAKER HOT OAT BRAN",297
1800063070,"PILS FARINA",3000004170,"QUAKER Q/W HOMINY GR",297
3000001180,"QUICK QUAKER OATS",3000004170,"QUAKER Q/W HOMINY GR",297
3000001210,"QUAKER INSTANT OATME",3000001240,"QUAKER INST OATML RS",297
3000001210,"QUAKER INSTANT OATME",3000001880,"QUAKER FRUIT & CREAM",297
3000001210,"QUAKER INSTANT OATME",3000002190,"KRETSCHMER WHEAT GER",297
3000001380,"QUAKER INST OATML AP",3000004170,"QUAKER Q/W HOMINY GR",297
