"step","UPC","DESCRIP","n_weeks","marginal_gain","cumul_menus_covered","cumul_share"
1,3000001040,"QUAKER OLD FASHIONED",304,0,0,0.0
2,3000001200,"QUICK QUAKER OATS",304,0,0,0.0
3,3000007060,"QUAKER HOT OAT BRAN",303,0,0,0.0
4,1313006025,"MIX N EAT CREAM OF W",303,0,0,0.0
5,3000001020,"QUAKER OATS REGULAR",303,0,0,0.0
6,1313000612,"CREAM OF WHEAT QUICK",302,0,0,0.0
7,3000001210,"QUAKER INSTANT OATME",302,0,0,0.0
8,3000004170,"QUAKER Q/W HOMINY GR",301,0,0,0.0
9,1800063070,"PILS FARINA",300,0,0,0.0
10,3000001180,"QUICK QUAKER OATS",300,0,0,0.0
11,3000001380,"QUAKER INST OATML AP",300,0,0,0.0
12,3000001240,"QUAKER INST OATML RS",299,0,0,0.0
13,3000001880,"QUAKER FRUIT & CREAM",299,0,0,0.0
14,3000002190,"KRETSCHMER WHEAT GER",299,0,0,0.0
15,1313000622,"CREAM OF WHEAT INSTA",298,0,0,0.0
16,3000001460,"QUAKER OAT VARIETY",296,0,0,0.0
17,3000001190,"QUAKER INST OATML MP",295,0,0,0.0
18,3000001800,"QUAKER INST OATML PE",288,0,0,0.0
19,4240000105,"QUICK MALT O MEAL",284,0,0,0.0
20,3000001340,"QUAKER OATMEAL CINNA",278,0,0,0.0
21,1313006057,"INST CRM OF WHT-VARI",279,0,0,0.0
22,3000004760,"QUAKER INSTANT GRITS",265,0,0,0.0
23,1313000698,"NABISCO CREAM OF RIC",262,0,0,0.0
24,3000001820,"QUAKER INSTANT STRAW",262,0,0,0.0
25,3000001760,"QUAKER VRTY INST OAT",262,0,0,0.0
26,1313000602,"NABISCO CREAM OF WHT",261,0,0,0.0
27,1313006035,"~MIX N EAT BROWN SUG",232,0,0,0.0
28,3000002350,"KRETCHMER HONEY WHT",238,0,0,0.0
29,3000001570,"~QUAKER MAPLE OATMEA",218,0,0,0.0
30,3828125077,"DOM QUICK OATS",182,0,0,0.0
31,3828125073,"DOM QUICK OATS",182,0,0,0.0
32,3828125098,"DOM INSTANT OATMEAL",171,0,0,0.0
33,3828125081,"DOM INSTANT OATMEAL",171,0,0,0.0
34,3828125085,"DOM INSTANT OATMEAL",170,0,0,0.0
35,1313006031,"CRM OF WHT INST APPL",92,1,1,0.0039
36,3000002620,"$QUAKER KIDS CHOICE",159,2,3,0.0118
37,3000002300,"~KIDS CHOICE STRWBRY",72,8,11,0.0433
38,3000002390,"~QUAKER MULTIGRAIN",97,10,21,0.0827
39,3000002720,"KRETCHMER TOASTED WH",75,21,42,0.1654
40,1800063061,"~PILLS FARINA APPLES",21,12,54,0.2126
41,3828125105,"DOM APPLE & CINNAMON",88,12,66,0.2598
42,1313006050,"~CRM OF WHT INST GRA",19,12,78,0.3071
43,1313006053,"~MIX N EAT BROWN SUG",130,7,85,0.3346
44,1313006024,"~INSTANT CREAM OF WH",28,15,100,0.3937
45,1112600328,"COCO WHEATS",74,13,113,0.4449
46,3000001580,"QUAKER APPLE CINAMON",115,8,121,0.4764
47,6414408004,"WHEATENA",11,10,131,0.5157
48,3000003960,"QUAKER INST GRITS DI",3,3,134,0.5276
49,3000026286,"QUAKER COOKIE BLAST-",31,2,136,0.5354
50,3000026288,"QUAKER QK N HEARTY R",36,2,138,0.5433
51,7382550020,"FFDS CRAN/OAT HOT CE",27,1,139,0.5472
52,7382550022,"FANTASTIC FOODS BANA",25,1,140,0.5512
53,7382550019,"FANTASTIC FDS APPLE",16,1,141,0.5551
54,1313006044,"NABISCO INSTANT BANA",31,1,142,0.5591
55,3000026289,"QUAKER QK N HRTY BRW",30,3,145,0.5709
56,3000026287,"QUAKER QUICK N HEART",28,27,172,0.6772
57,3000003790,"QUAKER INSTANT GRITS",102,0,172,0.6772
58,6414408037,"MAYPO MAPLE FLAVORED",38,3,175,0.689
59,1313006058,"~INS CREAM OF WHEAT-",78,2,177,0.6969
60,3000001590,"QUAKER OAT CUPS RAIS",43,7,184,0.7244
61,1112600399,"COCO WHEATS PREPRICE",37,11,195,0.7677
62,3000002360,"QUAKER OATS PLUS FIB",17,6,201,0.7913
63,3000002380,"QUAKER OATS FIBER RA",12,11,212,0.8346
64,3000001700,"QUAKER MAPLE BR SGR",48,1,213,0.8386
65,3000001370,"QUAKER INST OAT-HONE",57,1,214,0.8425
66,3000001000,"QUAKER VARIETY OATCU",44,1,215,0.8465
67,3000001350,"QUAKER INST OAT & CI",54,18,233,0.9173
68,1112600301,"COCO WHEATS",32,8,241,0.9488
69,1600065240,"OATMEAL SWIRLER MAPL",10,2,243,0.9567
70,1600064060,"TOTAL OATMEAL VARIET",11,0,243,0.9567
71,1600064040,"TOTAL INST OATMEAL-R",11,0,243,0.9567
72,1600064070,"TOTAL OATMEAL MAPLE/",10,0,243,0.9567
73,1600064030,"TOTAL QUICK OATMEAL-",10,1,244,0.9606
74,1600065460,"OATMEAL SWIRLERS STR",4,3,247,0.9724
75,1600065450,"TOTAL OATMEAL SWLR V",7,2,249,0.9803
76,1600062880,"UNDERCOVER BEARS MPL",3,1,250,0.9843
77,1600062870,"UNDERCOVER BEARS STR",4,1,251,0.9882
78,1600062890,"UNDERCOVER BEAR VARI",3,3,254,1.0
