"community","UPC","DESCRIP"
0,3000001040,"QUAKER OLD FASHIONED"
0,3000001200,"QUICK QUAKER OATS"
0,1313006025,"MIX N EAT CREAM OF W"
0,3000001020,"QUAKER OATS REGULAR"
0,3000007060,"QUAKER HOT OAT BRAN"
0,1313000612,"CREAM OF WHEAT QUICK"
0,3000001210,"QUAKER INSTANT OATME"
0,3000004170,"QUAKER Q/W HOMINY GR"
0,1800063070,"PILS FARINA"
0,3000001380,"QUAKER INST OATML AP"
0,3000001180,"QUICK QUAKER OATS"
0,3000001240,"QUAKER INST OATML RS"
0,3000001880,"QUAKER FRUIT & CREAM"
0,3000002190,"KRETSCHMER WHEAT GER"
0,1313000622,"CREAM OF WHEAT INSTA"
0,3000001460,"QUAKER OAT VARIETY"
0,3000001190,"QUAKER INST OATML MP"
0,3000001800,"QUAKER INST OATML PE"
0,4240000105,"QUICK MALT O MEAL"
0,1313006057,"INST CRM OF WHT-VARI"
0,3000001340,"QUAKER OATMEAL CINNA"
0,3000004760,"QUAKER INSTANT GRITS"
0,3000001760,"QUAKER VRTY INST OAT"
0,3000001820,"QUAKER INSTANT STRAW"
0,1313000698,"NABISCO CREAM OF RIC"
0,1313000602,"NABISCO CREAM OF WHT"
0,3000002350,"KRETCHMER HONEY WHT"
0,3000001570,"~QUAKER MAPLE OATMEA"
0,1313006053,"~MIX N EAT BROWN SUG"
0,3000001580,"QUAKER APPLE CINAMON"
0,3000003790,"QUAKER INSTANT GRITS"
0,3000002390,"~QUAKER MULTIGRAIN"
0,1313006058,"~INS CREAM OF WHEAT-"
0,3000001370,"QUAKER INST OAT-HONE"
0,3000001350,"QUAKER INST OAT & CI"
0,3000001700,"QUAKER MAPLE BR SGR"
0,3000001000,"QUAKER VARIETY OATCU"
0,3000001590,"QUAKER OAT CUPS RAIS"
0,6414408037,"MAYPO MAPLE FLAVORED"
0,1112600399,"COCO WHEATS PREPRICE"
0,1112600301,"COCO WHEATS"
0,3000002360,"QUAKER OATS PLUS FIB"
0,3000002380,"QUAKER OATS FIBER RA"
0,6414408004,"WHEATENA"
0,1600064040,"TOTAL INST OATMEAL-R"
0,1600064060,"TOTAL OATMEAL VARIET"
0,1600064030,"TOTAL QUICK OATMEAL-"
0,1600064070,"TOTAL OATMEAL MAPLE/"
0,1600065240,"OATMEAL SWIRLER MAPL"
0,1600065450,"TOTAL OATMEAL SWLR V"
0,1600065460,"OATMEAL SWIRLERS STR"
0,1600062870,"UNDERCOVER BEARS STR"
0,1600062880,"UNDERCOVER BEARS MPL"
0,1600062890,"UNDERCOVER BEAR VARI"
1,1313006035,"~MIX N EAT BROWN SUG"
1,3828125073,"DOM QUICK OATS"
1,3828125077,"DOM QUICK OATS"
1,3828125098,"DOM INSTANT OATMEAL"
1,3828125081,"DOM INSTANT OATMEAL"
1,3828125085,"DOM INSTANT OATMEAL"
1,3000002620,"$QUAKER KIDS CHOICE"
1,1313006031,"CRM OF WHT INST APPL"
1,3828125105,"DOM APPLE & CINNAMON"
1,3000002720,"KRETCHMER TOASTED WH"
1,1112600328,"COCO WHEATS"
1,3000002300,"~KIDS CHOICE STRWBRY"
1,3000026288,"QUAKER QK N HEARTY R"
1,1313006044,"NABISCO INSTANT BANA"
1,3000026286,"QUAKER COOKIE BLAST-"
1,3000026289,"QUAKER QK N HRTY BRW"
1,1313006024,"~INSTANT CREAM OF WH"
1,3000026287,"QUAKER QUICK N HEART"
1,7382550020,"FFDS CRAN/OAT HOT CE"
1,7382550022,"FANTASTIC FOODS BANA"
1,1800063061,"~PILLS FARINA APPLES"
1,1313006050,"~CRM OF WHT INST GRA"
1,7382550019,"FANTASTIC FDS APPLE"
1,3000003960,"QUAKER INST GRITS DI"
