"threshold_T","community","UPC","weeks_offered","DESCRIP"
100,0,1313006058,78,"~INS CREAM OF WHEAT-"
100,0,3000001370,57,"QUAKER INST OAT-HONE"
100,0,3000001350,54,"QUAKER INST OAT & CI"
100,0,3000001700,48,"QUAKER MAPLE BR SGR"
100,0,3000001000,44,"QUAKER VARIETY OATCU"
100,0,1112600301,32,"COCO WHEATS"
100,0,1600064040,11,"TOTAL INST OATMEAL-R"
100,0,1600064060,11,"TOTAL OATMEAL VARIET"
100,0,1600064030,10,"TOTAL QUICK OATMEAL-"
100,0,1600064070,10,"TOTAL OATMEAL MAPLE/"
100,0,1600065240,10,"OATMEAL SWIRLER MAPL"
100,0,1600065450,7,"TOTAL OATMEAL SWLR V"
100,0,1600065460,4,"OATMEAL SWIRLERS STR"
100,0,1600062870,4,"UNDERCOVER BEARS STR"
100,0,1600062880,3,"UNDERCOVER BEARS MPL"
100,0,1600062890,3,"UNDERCOVER BEAR VARI"
100,1,3000002390,97,"~QUAKER MULTIGRAIN"
100,1,3000002720,75,"KRETCHMER TOASTED WH"
100,1,3000002300,72,"~KIDS CHOICE STRWBRY"
100,1,3000001590,43,"QUAKER OAT CUPS RAIS"
100,1,6414408037,38,"MAYPO MAPLE FLAVORED"
100,1,1112600399,37,"COCO WHEATS PREPRICE"
100,1,1800063061,21,"~PILLS FARINA APPLES"
100,1,1313006050,19,"~CRM OF WHT INST GRA"
100,1,3000002360,17,"QUAKER OATS PLUS FIB"
100,1,3000002380,12,"QUAKER OATS FIBER RA"
100,1,6414408004,11,"WHEATENA"
100,1,3000003960,3,"QUAKER INST GRITS DI"
100,2,1313006031,92,"CRM OF WHT INST APPL"
100,2,3828125105,88,"DOM APPLE & CINNAMON"
100,2,1112600328,74,"COCO WHEATS"
100,2,3000026288,36,"QUAKER QK N HEARTY R"
100,2,1313006044,31,"NABISCO INSTANT BANA"
100,2,3000026286,31,"QUAKER COOKIE BLAST-"
100,2,3000026289,30,"QUAKER QK N HRTY BRW"
100,2,1313006024,28,"~INSTANT CREAM OF WH"
100,2,3000026287,28,"QUAKER QUICK N HEART"
100,2,7382550020,27,"FFDS CRAN/OAT HOT CE"
100,2,7382550022,25,"FANTASTIC FOODS BANA"
100,2,7382550019,16,"FANTASTIC FDS APPLE"
