"UPC_i","DESCRIP_i","UPC_j","DESCRIP_j","weight"
3000001040,"QUAKER OLD FASHIONED",3000003960,"QUAKER INST GRITS DI",3
3000001200,"QUICK QUAKER OATS",3000003960,"QUAKER INST GRITS DI",3
1313006025,"MIX N EAT CREAM OF W",3000003960,"QUAKER INST GRITS DI",3
3000001020,"QUAKER OATS REGULAR",3000003960,"QUAKER INST GRITS DI",3
3000007060,"QUAKER HOT OAT BRAN",3000003960,"QUAKER INST GRITS DI",3
1313000612,"CREAM OF WHEAT QUICK",3000003960,"QUAKER INST GRITS DI",3
3000001210,"QUAKER INSTANT OATME",3000003960,"QUAKER INST GRITS DI",3
3000004170,"QUAKER Q/W HOMINY GR",3000003960,"QUAKER INST GRITS DI",3
1800063070,"PILS FARINA",3000003960,"QUAKER INST GRITS DI",3
3000001380,"QUAKER INST OATML AP",3000003960,"QUAKER INST GRITS DI",3
3000001180,"QUICK QUAKER OATS",3000003960,"QUAKER INST GRITS DI",3
3000001240,"QUAKER INST OATML RS",3000003960,"QUAKER INST GRITS DI",3
3000001880,"QUAKER FRUIT & CREAM",3000003960,"QUAKER INST GRITS DI",3
3000002190,"KRETSCHMER WHEAT GER",3000003960,"QUAKER INST GRITS DI",3
1313000622,"CREAM OF WHEAT INSTA",3000003960,"QUAKER INST GRITS DI",3
3000001460,"QUAKER OAT VARIETY",3000003960,"QUAKER INST GRITS DI",3
3000001190,"QUAKER INST OATML MP",3000003960,"QUAKER INST GRITS DI",3
3000001800,"QUAKER INST OATML PE",3000003960,"QUAKER INST GRITS DI",3
4240000105,"QUICK MALT O MEAL",3000003960,"QUAKER INST GRITS DI",3
1313006057,"INST CRM OF WHT-VARI",3000003960,"QUAKER INST GRITS DI",3
3000001340,"QUAKER OATMEAL CINNA",3000003960,"QUAKER INST GRITS DI",3
3000004760,"QUAKER INSTANT GRITS",3000003960,"QUAKER INST GRITS DI",3
3000001820,"QUAKER INSTANT STRAW",3000003960,"QUAKER INST GRITS DI",3
1313000698,"NABISCO CREAM OF RIC",3000003960,"QUAKER INST GRITS DI",3
1313000602,"NABISCO CREAM OF WHT",3000003960,"QUAKER INST GRITS DI",3
1313006035,"~MIX N EAT BROWN SUG",3000003960,"QUAKER INST GRITS DI",3
3000001570,"~QUAKER MAPLE OATMEA",3000003960,"QUAKER INST GRITS DI",3
3828125073,"DOM QUICK OATS",3000003960,"QUAKER INST GRITS DI",3
3828125077,"DOM QUICK OATS",3000003960,"QUAKER INST GRITS DI",3
3828125098,"DOM INSTANT OATMEAL",3000003960,"QUAKER INST GRITS DI",3
3828125081,"DOM INSTANT OATMEAL",3000003960,"QUAKER INST GRITS DI",3
3828125085,"DOM INSTANT OATMEAL",3000003960,"QUAKER INST GRITS DI",3
3000002300,"~KIDS CHOICE STRWBRY",3000003960,"QUAKER INST GRITS DI",3
3000001760,"QUAKER VRTY INST OAT",3000003960,"QUAKER INST GRITS DI",2
3000002350,"KRETCHMER HONEY WHT",3000003960,"QUAKER INST GRITS DI",2
3000002620,"$QUAKER KIDS CHOICE",3000003960,"QUAKER INST GRITS DI",2
1313006031,"CRM OF WHT INST APPL",3000003960,"QUAKER INST GRITS DI",2
3000002390,"~QUAKER MULTIGRAIN",3000003960,"QUAKER INST GRITS DI",1
3000002720,"KRETCHMER TOASTED WH",3000003960,"QUAKER INST GRITS DI",1
