"side","UPC","DESCRIP"
"A",3000003960,"QUAKER INST GRITS DI"
"B",3000001180,"QUICK QUAKER OATS"
"B",3000026287,"QUAKER QUICK N HEART"
"B",3000002360,"QUAKER OATS PLUS FIB"
"B",1313006035,"~MIX N EAT BROWN SUG"
"B",1313006025,"MIX N EAT CREAM OF W"
"B",3000001020,"QUAKER OATS REGULAR"
"B",3000001820,"QUAKER INSTANT STRAW"
"B",1600062890,"UNDERCOVER BEAR VARI"
"B",3000001240,"QUAKER INST OATML RS"
"B",4240000105,"QUICK MALT O MEAL"
"B",3000001570,"~QUAKER MAPLE OATMEA"
"B",3000001580,"QUAKER APPLE CINAMON"
"B",3000002380,"QUAKER OATS FIBER RA"
"B",1800063070,"PILS FARINA"
"B",3000026288,"QUAKER QK N HEARTY R"
"B",7382550020,"FFDS CRAN/OAT HOT CE"
"B",1112600399,"COCO WHEATS PREPRICE"
"B",1112600328,"COCO WHEATS"
"B",6414408037,"MAYPO MAPLE FLAVORED"
"B",1313006053,"~MIX N EAT BROWN SUG"
"B",3000003790,"QUAKER INSTANT GRITS"
"B",1600062870,"UNDERCOVER BEARS STR"
"B",1313006031,"CRM OF WHT INST APPL"
"B",1313006057,"INST CRM OF WHT-VARI"
"B",3828125085,"DOM INSTANT OATMEAL"
"B",3000026289,"QUAKER QK N HRTY BRW"
"B",1600065240,"OATMEAL SWIRLER MAPL"
"B",3000001350,"QUAKER INST OAT & CI"
"B",3828125105,"DOM APPLE & CINNAMON"
"B",3000002300,"~KIDS CHOICE STRWBRY"
"B",3828125077,"DOM QUICK OATS"
"B",1600065450,"TOTAL OATMEAL SWLR V"
"B",3000007060,"QUAKER HOT OAT BRAN"
"B",3000002720,"KRETCHMER TOASTED WH"
"B",3000004760,"QUAKER INSTANT GRITS"
"B",3000001590,"QUAKER OAT CUPS RAIS"
"B",3828125081,"DOM INSTANT OATMEAL"
"B",1600064040,"TOTAL INST OATMEAL-R"
"B",3000001460,"QUAKER OAT VARIETY"
"B",1313006044,"NABISCO INSTANT BANA"
"B",1600065460,"OATMEAL SWIRLERS STR"
"B",3000001000,"QUAKER VARIETY OATCU"
"B",3828125098,"DOM INSTANT OATMEAL"
"B",3000001880,"QUAKER FRUIT & CREAM"
"B",1800063061,"~PILLS FARINA APPLES"
"B",1313000698,"NABISCO CREAM OF RIC"
"B",3000001200,"QUICK QUAKER OATS"
"B",1600062880,"UNDERCOVER BEARS MPL"
"B",3000001190,"QUAKER INST OATML MP"
"B",1600064070,"TOTAL OATMEAL MAPLE/"
"B",1112600301,"COCO WHEATS"
"B",3000002620,"$QUAKER KIDS CHOICE"
"B",1313000622,"CREAM OF WHEAT INSTA"
"B",1313006050,"~CRM OF WHT INST GRA"
"B",3000001370,"QUAKER INST OAT-HONE"
"B",3828125073,"DOM QUICK OATS"
"B",3000002390,"~QUAKER MULTIGRAIN"
"B",3000001340,"QUAKER OATMEAL CINNA"
"B",1600064030,"TOTAL QUICK OATMEAL-"
"B",3000001800,"QUAKER INST OATML PE"
"B",1313006058,"~INS CREAM OF WHEAT-"
"B",3000001700,"QUAKER MAPLE BR SGR"
"B",3000001040,"QUAKER OLD FASHIONED"
"B",3000001760,"QUAKER VRTY INST OAT"
"B",1313000602,"NABISCO CREAM OF WHT"
"B",3000004170,"QUAKER Q/W HOMINY GR"
"B",6414408004,"WHEATENA"
"B",3000026286,"QUAKER COOKIE BLAST-"
"B",3000002190,"KRETSCHMER WHEAT GER"
"B",3000002350,"KRETCHMER HONEY WHT"
"B",7382550022,"FANTASTIC FOODS BANA"
"B",3000001380,"QUAKER INST OATML AP"
"B",1313000612,"CREAM OF WHEAT QUICK"
"B",1313006024,"~INSTANT CREAM OF WH"
"B",1600064060,"TOTAL OATMEAL VARIET"
"B",3000001210,"QUAKER INSTANT OATME"
"B",7382550019,"FANTASTIC FDS APPLE"
