"STORE","WEEK","UPC","MOVE","PRICE","SALE","DESCRIP","SIZE","NITEM","set_size","total_move","share","occasion"
2,91,1112600301,1,1.89,"","COCO WHEATS","21 OZ","2519001",38,190.0,0.005263157894737,"2_91"
2,91,1313000602,2,2.99,"","NABISCO CREAM OF WHT","28 OZ","2516650",38,190.0,0.010526315789474,"2_91"
2,91,1313000612,4,3.03,"","CREAM OF WHEAT QUICK","28 OZ","2516701",38,190.0,0.021052631578947,"2_91"
2,91,1313000622,2,3.03,"","CREAM OF WHEAT INSTA","28 OZ","2516601",38,190.0,0.010526315789474,"2_91"
2,91,1313000698,3,1.66,"","NABISCO CREAM OF RIC","14 OZ","2516900",38,190.0,0.015789473684211,"2_91"
2,91,1313006025,2,2.72,"","MIX N EAT CREAM OF W","12 OZ","2516401",38,190.0,0.010526315789474,"2_91"
2,91,1313006035,1,2.72,"","~MIX N EAT BROWN SUG","12.5 O","2516441",38,190.0,0.005263157894737,"2_91"
2,91,1313006057,2,2.72,"","INST CRM OF WHT-VARI","12.5 O","2516621",38,190.0,0.010526315789474,"2_91"
2,91,1600062880,1,2.73,"","UNDERCOVER BEARS MPL","12.6 O","2508321",38,190.0,0.005263157894737,"2_91"
2,91,1600064030,2,1.81,"","TOTAL QUICK OATMEAL-","15 OZ","2504801",38,190.0,0.010526315789474,"2_91"
2,91,1600064040,3,2.18,"","TOTAL INST OATMEAL-R","10 OZ","2504701",38,190.0,0.015789473684211,"2_91"
2,91,1600064060,3,2.18,"","TOTAL OATMEAL VARIET","10.5 O","2504841",38,190.0,0.015789473684211,"2_91"
2,91,1600064070,3,2.18,"","TOTAL OATMEAL MAPLE/","12 OZ","2504821",38,190.0,0.015789473684211,"2_91"
2,91,1600065240,1,2.72,"","OATMEAL SWIRLER MAPL","12.8 O","2504921",38,190.0,0.005263157894737,"2_91"
2,91,1600065450,6,2.72,"","TOTAL OATMEAL SWLR V","13.3 O","2504861",38,190.0,0.031578947368421,"2_91"
2,91,1800063070,1,1.97,"","PILS FARINA","27.5 O","2517601",38,190.0,0.005263157894737,"2_91"
2,91,3000001020,11,1.98,"","QUAKER OATS REGULAR","18 OZ","2500501",38,190.0,0.057894736842105,"2_91"
2,91,3000001040,10,3.43,"","QUAKER OLD FASHIONED","42 OZ","2500751",38,190.0,0.052631578947368,"2_91"
2,91,3000001180,22,1.98,"","QUICK QUAKER OATS","18 OZ","2500701",38,190.0,0.115789473684211,"2_91"
2,91,3000001190,5,2.88,"","QUAKER INST OATML MP","15 OZ","2522401",38,190.0,0.026315789473684,"2_91"
2,91,3000001200,11,3.43,"","QUICK QUAKER OATS","42 OZ","2500801",38,190.0,0.057894736842105,"2_91"
2,91,3000001210,21,2.88,"","QUAKER INSTANT OATME","12 OZ","2500901",38,190.0,0.110526315789474,"2_91"
2,91,3000001240,2,2.88,"","QUAKER INST OATML RS","13 OZ","2522111",38,190.0,0.010526315789474,"2_91"
2,91,3000001350,5,2.88,"","QUAKER INST OAT & CI","16.25O","2522561",38,190.0,0.026315789473684,"2_91"
2,91,3000001370,3,2.88,"","QUAKER INST OAT-HONE","12.5 O","2522581",38,190.0,0.015789473684211,"2_91"
2,91,3000001380,6,2.88,"","QUAKER INST OATML AP","12.5 O","2522151",38,190.0,0.031578947368421,"2_91"
