"UPC","DESCRIP","SIZE","NITEM","n_occasions","occ_share","total_move","avg_price"
3000001180,"QUICK QUAKER OATS","18 OZ",2500701,24656,0.998299457445947,1182873,1.86773564243997
3000001020,"QUAKER OATS REGULAR","18 OZ",2500501,24651,0.998097011903798,722051,1.86700093302503
3000001200,"QUICK QUAKER OATS","42 OZ",2500801,24632,0.997327718843631,388125,3.28324861968172
3000001040,"QUAKER OLD FASHIONED","42 OZ",2500751,24596,0.995870110940157,329933,3.28428362335339
3000001210,"QUAKER INSTANT OATME","12 OZ",2500901,24571,0.994857883229411,444931,2.91861055716088
3000001460,"QUAKER OAT VARIETY","13.3 O",2522051,24482,0.991254352579156,381552,2.91396699616044
3000001190,"QUAKER INST OATML MP","15 OZ",2522401,24436,0.989391853591384,504478,2.91412424292028
3000001380,"QUAKER INST OATML AP","12.5 O",2522151,24422,0.988825006073366,460828,2.91320694455819
1800063070,"PILS FARINA","27.5 O",2517601,24393,0.987650821928901,228102,2.37663182060427
1313006025,"MIX N EAT CREAM OF W","12 OZ",2516401,24313,0.984411693254514,227334,3.0263097931148
3000002190,"KRETSCHMER WHEAT GER","12 OZ",2519701,24290,0.983480443760628,170764,2.52434911486208
1313000612,"CREAM OF WHEAT QUICK","28 OZ",2516701,24256,0.982103814074014,200954,3.130047823219
3000001880,"QUAKER FRUIT & CREAM","12.5 O",2522321,24256,0.982103814074014,339500,2.91444302440633
3000001800,"QUAKER INST OATML PE","12.5 O",2522281,24175,0.978824196291198,209397,2.91409513960703
3000001240,"QUAKER INST OATML RS","13 OZ",2522111,24167,0.978500283423759,230713,2.91440807712997
3000007060,"QUAKER HOT OAT BRAN","16 OZ",2522001,23956,0.969957081545064,158115,2.21597136416764
1313000622,"CREAM OF WHEAT INSTA","28 OZ",2516601,23896,0.967527735039274,142712,3.12469367258119
4240000105,"QUICK MALT O MEAL","28 OZ",2518501,23896,0.967527735039274,156423,2.46707022095748
3000004170,"QUAKER Q/W HOMINY GR","24 OZ",2501201,23849,0.965624746943072,584057,1.15440857058996
3000004760,"QUAKER INSTANT GRITS","12 OZ",2501251,23650,0.957567414365536,167947,1.85224778012685
3000001760,"QUAKER VRTY INST OAT","20.75O",2522541,23590,0.955138067859746,148559,3.84236456125477
3000001820,"QUAKER INSTANT STRAW","12.5 O",2522251,23498,0.951413069884201,177590,2.9104706783556
3000001340,"QUAKER OATMEAL CINNA","12.5 O",2522201,23331,0.944651388776419,217147,2.91214007114997
1313006057,"INST CRM OF WHT-VARI","12.5 O",2516621,23312,0.943882095716252,143704,3.0217295813315
1313000698,"NABISCO CREAM OF RIC","14 OZ",2516900,22547,0.912907927767431,95227,1.7417949172839
1313000602,"NABISCO CREAM OF WHT","28 OZ",2516650,21543,0.872256862903879,86793,3.02389360813257
3000001570,"~QUAKER MAPLE OATMEA","22.5 O",2522521,20111,0.814276459632359,145525,3.77708070210333
