"UPC","DESCRIP","SIZE","n_occ","share"
3000001020,"QUAKER OATS REGULAR","18 OZ",23643,1
3000001040,"QUAKER OLD FASHIONED","42 OZ",23643,1
3000001180,"QUICK QUAKER OATS","18 OZ",23643,1
3000001190,"QUAKER INST OATML MP","15 OZ",23643,1
3000001200,"QUICK QUAKER OATS","42 OZ",23643,1
3000001210,"QUAKER INSTANT OATME","12 OZ",23643,1
3000001380,"QUAKER INST OATML AP","12.5 O",23643,1
3000001460,"QUAKER OAT VARIETY","13.3 O",23643,1
3000001880,"QUAKER FRUIT & CREAM","12.5 O",23272,0.9843
3000002190,"KRETSCHMER WHEAT GER","12 OZ",23271,0.9843
3000001800,"QUAKER INST OATML PE","12.5 O",23174,0.9802
3000001240,"QUAKER INST OATML RS","13 OZ",23166,0.9798
3000007060,"QUAKER HOT OAT BRAN","16 OZ",22973,0.9717
3000004170,"QUAKER Q/W HOMINY GR","24 OZ",22820,0.9652
3000001760,"QUAKER VRTY INST OAT","20.75O",22656,0.9583
3000004760,"QUAKER INSTANT GRITS","12 OZ",22653,0.9581
3000001820,"QUAKER INSTANT STRAW","12.5 O",22523,0.9526
3000001340,"QUAKER OATMEAL CINNA","12.5 O",22375,0.9464
3000001570,"~QUAKER MAPLE OATMEA","22.5 O",19378,0.8196
3000002350,"KRETCHMER HONEY WHT","10 OZ",13736,0.581
3000002620,"$QUAKER KIDS CHOICE","14.3 O",12872,0.5444
3000001580,"QUAKER APPLE CINAMON","22 OZ",8924,0.3774
3000003790,"QUAKER INSTANT GRITS","12 OZ",7966,0.3369
3000002390,"~QUAKER MULTIGRAIN","18 OZ",7827,0.331
3000002720,"KRETCHMER TOASTED WH","12 OZ",7227,0.3057
3000001350,"QUAKER INST OAT & CI","16.25O",5405,0.2286
3000001370,"QUAKER INST OAT-HONE","12.5 O",5170,0.2187
3000002300,"~KIDS CHOICE STRWBRY","14.1 O",5015,0.2121
3000001700,"QUAKER MAPLE BR SGR","22 OZ",3765,0.1592
3000004370,"QUAKER QUICK GRITS","5 LB",3613,0.1528
3000001000,"QUAKER VARIETY OATCU","22 OZ",3611,0.1527
3000001590,"QUAKER OAT CUPS RAIS","22 OZ",3310,0.14
3000026288,"QUAKER QK N HEARTY R","10.2 O",2952,0.1249
3000026286,"QUAKER COOKIE BLAST-","14.8 O",2933,0.1241
3000026289,"QUAKER QK N HRTY BRW","14.8 O",2913,0.1232
3000026287,"QUAKER QUICK N HEART","15.2 O",2881,0.1219
3000004430,"QUAKER INSTANT GRITS","11.2 O",2702,0.1143
3000002360,"QUAKER OATS PLUS FIB","19 OZ",1383,0.0585
3000002380,"QUAKER OATS FIBER RA","12.8 O",1242,0.0525
3000001770,"QUAKER INST FRUIT/CR","18.3 O",1206,0.051
3000026135,"QUAKR POWR RNGRS INS","11.2 O",1107,0.0468
3000003960,"QUAKER INST GRITS DI","40 OZ",89,0.0038
3000003390,"QUAKER INST GRITS DI","40 OZ",61,0.0026
