"STORE","n_weeks","n_menus","n_upcs"
2,193,153,78
5,198,166,75
8,255,174,88
9,230,197,88
12,214,177,83
14,215,178,81
18,263,157,79
21,167,144,84
28,150,119,75
32,278,216,91
40,203,164,88
44,250,194,87
45,78,64,60
47,171,114,74
48,95,74,64
49,92,77,65
50,54,44,52
51,163,151,87
52,225,164,85
53,259,191,76
54,190,144,84
56,127,107,69
59,223,158,84
62,179,142,80
64,69,52,60
67,205,162,83
68,174,147,75
70,243,183,88
71,264,182,82
72,184,156,75
73,203,172,89
74,264,207,89
75,181,137,84
76,221,186,84
77,223,132,81
78,228,152,80
80,238,145,81
81,229,151,80
83,255,160,91
84,191,140,73
86,203,127,76
88,128,94,67
89,205,160,82
90,159,137,88
91,189,166,88
92,148,130,68
93,238,186,85
94,168,146,78
95,206,164,71
97,51,50,62
98,265,210,87
100,245,185,87
101,230,159,88
102,278,175,87
103,188,152,84
104,193,173,83
105,204,189,93
106,110,102,86
107,244,169,87
109,256,170,86
110,176,163,87
111,243,201,84
112,246,180,87
113,279,163,89
114,282,227,89
115,234,196,89
116,194,166,80
117,130,90,70
118,136,117,65
119,162,113,70
121,246,130,86
122,259,192,90
123,210,169,87
124,237,177,90
126,264,196,91
128,243,144,82
129,248,169,87
130,268,185,87
131,242,216,88
132,174,115,91
133,228,152,74
134,151,135,89
135,26,25,50
136,180,167,76
137,286,165,87
139,148,95,70
140,14,10,49
141,21,16,48
142,18,15,48
143,27,18,49
144,22,18,49
146,12,11,48
