"STORE","WEEK","set_size","total_move","upc_list"
2,91,38,190.0,"1112600301_1313000602_1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1600062880_1600064030_1600064040_1600064060_1600064070_1600065240_1600065450_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001350_3000001370_3000001380_3000001460_3000001570_3000001760_3000001800_3000001880_3000002190_3000002350_3000003790_3000004170_3000004760_3000007060_4240000105"
2,92,39,185.0,"1112600301_1313000602_1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1600062870_1600062890_1600064030_1600064040_1600064060_1600064070_1600065450_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001350_3000001370_3000001380_3000001460_3000001570_3000001760_3000001800_3000001880_3000002190_3000002350_3000003790_3000004170_3000004760_3000007060_4240000105_6414408037"
2,93,39,202.0,"1112600301_1313000602_1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1600062870_1600062880_1600062890_1600064030_1600064040_1600064060_1600064070_1600065450_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001350_3000001370_3000001380_3000001460_3000001570_3000001760_3000001800_3000001880_3000002190_3000002350_3000003790_3000004170_3000004760_3000007060_4240000105"
2,94,36,169.0,"1313000602_1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1313006058_1600062870_1600062880_1600064040_1600064060_1600064070_1600065450_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001350_3000001370_3000001380_3000001460_3000001570_3000001760_3000001800_3000001880_3000002190_3000002350_3000003790_3000004170_3000007060_4240000105"
2,95,36,198.0,"1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1600062870_1600062890_1600064030_1600064040_1600064060_1600064070_1600065240_1600065450_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001350_3000001370_3000001380_3000001460_3000001570_3000001800_3000001880_3000002190_3000002350_3000003790_3000004170_3000004760_3000007060_4240000105"
2,96,33,157.0,"1313000612_1313000622_1313006025_1313006035_1313006057_1313006058_1600064030_1600064040_1600064060_1600065240_1600065450_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001340_3000001350_3000001370_3000001380_3000001460_3000001570_3000001760_3000001800_3000001820_3000001880_3000002190_3000002350_3000004170_3000004760_3000007060"
2,97,38,164.0,"1112600301_1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1313006058_1600064030_1600064040_1600064060_1600064070_1600065240_1600065450_1600065460_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001350_3000001370_3000001380_3000001460_3000001570_3000001760_3000001800_3000001820_3000001880_3000002190_3000002350_3000003790_3000004170_3000004760_3000007060"
2,98,35,186.0,"1112600301_1313000602_1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1600064030_1600064040_1600064060_1600064070_1600065240_1600065460_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001340_3000001370_3000001380_3000001460_3000001570_3000001800_3000001820_3000001880_3000002190_3000003790_3000004170_3000004760_3000007060_4240000105"
2,99,39,215.0,"1112600301_1313000602_1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1600064030_1600064040_1600064060_1600064070_1600065240_1600065460_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001340_3000001350_3000001370_3000001380_3000001460_3000001570_3000001760_3000001800_3000001820_3000001880_3000002190_3000002350_3000003790_3000004170_3000004760_3000007060_4240000105"
2,100,38,195.0,"1112600301_1313000602_1313000612_1313000622_1313000698_1313006025_1313006035_1313006057_1313006058_1600064030_1600064040_1600064060_1600064070_1600065240_1600065460_1800063070_3000001020_3000001040_3000001180_3000001190_3000001200_3000001210_3000001240_3000001340_3000001370_3000001380_3000001460_3000001570_3000001760_3000001800_3000001820_3000001880_3000002190_3000002350_3000004170_3000004760_3000007060_4240000105"
