"k","upc_added","descrip","n_distinct_menus_for_upc","n_menus_containing_top_k","share_of_254"
1,3000001040,"QUAKER OLD FASHIONED",254,254,1.0
2,3000001200,"QUICK QUAKER OATS",254,254,1.0
3,1313006025,"MIX N EAT CREAM OF W",253,253,0.996063
4,3000001020,"QUAKER OATS REGULAR",253,252,0.992126
5,3000007060,"QUAKER HOT OAT BRAN",253,251,0.988189
6,1313000612,"CREAM OF WHEAT QUICK",253,250,0.984252
7,3000001210,"QUAKER INSTANT OATME",252,248,0.976378
8,3000004170,"QUAKER Q/W HOMINY GR",252,246,0.968504
9,1800063070,"PILS FARINA",251,243,0.956693
10,3000001180,"QUICK QUAKER OATS",251,242,0.952756
11,3000001380,"QUAKER INST OATML AP",250,239,0.940945
12,3000001240,"QUAKER INST OATML RS",250,236,0.929134
13,3000001880,"QUAKER FRUIT & CREAM",249,231,0.909449
14,3000002190,"KRETSCHMER WHEAT GER",249,228,0.897638
15,1313000622,"CREAM OF WHEAT INSTA",248,223,0.877953
16,3000001460,"QUAKER OAT VARIETY",247,217,0.854331
17,3000001190,"QUAKER INST OATML MP",246,211,0.830709
18,3000001800,"QUAKER INST OATML PE",240,201,0.791339
19,4240000105,"QUICK MALT O MEAL",235,190,0.748031
20,3000001340,"QUAKER OATMEAL CINNA",231,176,0.692913
