"K","min_weeks_offered","collapsed_size","n_menus_subset","n_storeweeks_subset","total_menus","total_storeweeks"
17,295,17,0,0,254,304
18,288,2,0,0,254,304
20,279,4,0,0,254,304
22,265,6,0,0,254,304
25,262,9,0,0,254,304
28,232,12,0,0,254,304
30,182,14,0,0,254,304
33,171,17,0,0,254,304
36,130,20,2,2,254,304
38,102,22,2,2,254,304
40,92,24,12,12,254,304
45,72,29,72,85,254,304
50,43,34,85,98,254,304
55,31,39,123,162,254,304
60,27,44,153,192,254,304
65,16,49,217,265,254,304
70,10,54,238,288,254,304
75,4,59,246,296,254,304
78,3,62,254,304,254,304
