"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,385,378,275,0,0,378,227,0,0
5,342,338,482,0,12,338,407,0,13
8,387,380,482,0,10,380,400,0,13
9,385,378,458,0,1,378,382,0,6
12,387,380,552,0,12,380,458,0,14
14,387,380,501,0,7,380,415,0,11
18,383,376,426,0,10,376,353,0,14
21,388,381,480,0,4,381,400,0,5
28,387,380,287,0,1,380,235,0,2
32,382,375,480,0,10,375,402,0,12
33,388,381,290,0,2,381,239,0,4
40,379,372,349,0,2,372,288,0,4
44,384,377,357,0,2,377,291,0,3
45,277,273,276,0,1,273,226,0,1
47,383,376,477,0,2,376,401,0,3
48,340,336,267,0,1,336,223,0,1
49,273,269,287,0,0,269,235,0,0
50,209,209,199,0,2,209,175,0,3
51,377,370,484,1,6,370,403,1,10
52,385,378,490,0,4,378,409,0,4
53,390,383,416,0,0,383,352,0,0
54,389,382,338,0,2,382,282,0,3
56,388,381,349,0,1,381,284,0,2
59,387,380,368,0,1,380,302,0,3
62,388,381,403,0,10,381,334,0,11
64,263,259,266,0,0,259,223,0,0
67,373,366,363,0,2,366,295,0,3
68,386,379,338,0,1,379,269,0,3
70,384,377,461,0,3,377,384,0,8
71,387,380,538,0,3,380,446,0,6
72,390,383,290,0,1,383,234,0,1
73,389,382,508,0,7,382,422,0,10
74,387,380,558,0,8,380,461,0,10
75,386,379,501,0,8,379,414,0,9
76,390,383,500,0,6,383,417,0,8
77,388,381,517,0,3,381,427,0,5
78,390,383,482,0,2,383,398,0,4
80,389,382,522,0,9,382,428,0,12
81,385,378,454,0,5,378,378,0,7
83,391,384,513,0,9,384,425,0,11
84,390,383,500,0,8,383,413,0,10
86,388,381,515,0,10,381,429,0,11
88,387,380,322,0,0,380,266,0,1
89,384,377,478,0,2,377,411,0,2
90,386,379,336,0,1,379,277,0,1
91,388,381,351,0,2,381,286,0,3
92,350,346,337,0,1,346,276,0,1
93,376,369,498,0,5,369,421,0,7
94,382,375,354,0,3,375,290,0,4
95,384,377,489,0,6,377,406,0,9
97,223,223,239,0,0,223,208,0,0
98,385,378,571,1,18,378,468,2,20
100,382,375,569,0,14,375,471,0,16
101,391,384,572,0,11,384,471,0,14
102,383,376,585,2,13,376,478,3,17
103,388,381,571,0,4,381,476,0,6
104,381,374,495,0,4,374,413,0,4
105,387,380,556,0,4,380,467,0,7
106,383,376,506,0,1,376,423,0,2
107,383,376,498,0,9,376,411,0,12
109,386,379,493,1,8,379,411,1,10
110,384,377,514,0,2,377,427,0,4
111,391,384,357,0,2,384,297,0,2
112,388,381,577,1,14,381,476,2,16
113,386,379,402,0,4,379,325,0,6
114,387,380,577,0,6,380,473,1,10
115,387,380,573,0,9,380,471,0,12
116,385,378,504,0,3,378,418,0,5
117,332,328,324,0,2,328,270,0,2
118,273,269,235,0,1,269,199,0,2
119,386,379,384,0,4,379,312,0,4
121,388,381,581,0,12,381,474,0,13
122,388,381,584,0,12,381,476,0,15
123,383,376,560,0,11,376,464,0,12
124,332,325,522,0,4,325,441,0,7
126,330,323,547,1,14,323,457,3,16
128,330,323,541,0,12,323,455,0,15
129,331,323,547,1,11,323,454,1,12
130,329,322,378,0,3,322,325,0,3
131,332,325,553,0,11,325,461,1,15
132,332,325,553,0,12,325,459,1,14
133,265,258,511,0,12,258,437,1,17
134,326,318,538,0,4,318,450,0,7
135,51,48,277,4,16,48,264,6,19
136,286,279,526,0,9,279,440,0,11
137,332,325,504,0,13,325,422,1,16
139,237,230,484,0,14,230,414,0,17
140,35,32,251,6,11,32,241,7,15
141,34,31,249,7,14,31,239,8,17
142,35,32,252,5,11,32,240,8,14
143,47,44,270,9,24,44,257,10,28
144,47,44,260,3,9,44,248,4,11
146,27,25,246,4,6,25,241,5,7
