"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,377,170,115,6,8,147,96,6,9
5,336,128,102,7,15,104,87,7,18
8,379,165,115,7,8,143,96,7,9
9,377,190,111,3,8,166,92,3,9
12,379,200,117,5,8,182,96,5,9
14,379,182,112,6,7,166,93,6,8
18,375,188,115,0,8,162,96,0,9
21,380,194,115,3,8,172,98,3,9
28,379,197,113,5,8,178,95,5,9
32,374,167,114,7,8,143,95,7,9
33,380,249,100,0,5,239,86,0,6
40,371,196,110,4,8,174,92,4,9
44,376,179,113,4,8,157,94,4,9
45,277,131,78,2,18,116,71,2,18
47,375,198,113,3,8,183,95,3,8
48,334,174,104,5,14,159,87,5,15
49,273,118,76,0,19,106,70,0,19
50,209,84,65,2,19,68,59,2,19
51,369,197,115,2,8,177,94,2,9
52,377,177,118,5,8,154,99,5,9
53,382,212,112,4,7,192,93,4,8
54,381,179,114,7,8,165,96,7,9
56,380,189,112,4,8,174,95,4,9
59,379,195,115,7,8,178,98,7,9
62,382,171,113,5,8,151,94,5,9
64,263,136,77,0,19,119,69,0,19
67,365,200,112,5,8,178,94,5,9
68,378,214,112,3,7,200,95,3,7
70,376,186,114,5,8,170,96,5,9
71,379,173,117,6,8,157,97,6,9
72,382,237,113,3,7,226,95,3,8
73,381,179,113,6,8,156,94,6,9
74,379,206,114,6,8,187,95,6,9
75,378,181,114,3,8,163,95,3,9
76,382,189,112,4,8,175,95,4,8
77,372,172,112,1,9,147,93,1,10
78,382,167,112,6,8,150,96,6,9
80,381,169,112,6,8,148,93,6,9
81,377,184,113,2,8,171,95,2,9
83,383,185,114,7,8,167,96,7,9
84,382,176,113,6,8,154,95,6,9
86,380,181,111,6,8,163,94,6,9
88,379,217,112,3,8,203,94,3,9
89,376,246,113,0,8,227,94,0,8
90,378,227,112,4,8,208,93,4,9
91,380,206,116,1,8,185,96,1,9
92,344,169,102,0,13,160,86,0,15
93,368,186,114,3,8,168,94,3,9
94,374,227,114,3,8,210,96,3,8
95,376,224,112,3,8,209,94,3,9
97,223,89,67,2,18,80,62,2,18
98,377,182,115,4,8,165,96,4,9
100,374,191,116,6,8,168,97,6,9
101,383,178,113,5,8,159,96,5,9
102,375,155,115,7,8,137,97,7,9
103,380,197,115,5,8,178,97,5,8
104,373,175,114,5,8,148,96,5,9
105,379,240,115,1,7,224,96,1,7
106,375,206,115,5,8,186,96,5,8
107,375,183,113,4,8,155,94,4,9
109,378,172,110,6,8,158,93,6,9
110,376,196,115,5,8,177,94,5,8
111,383,253,110,4,8,231,93,4,8
112,380,169,114,7,9,150,97,7,10
113,378,206,116,3,8,180,96,3,9
114,379,192,114,7,8,174,97,7,8
115,379,177,116,7,9,158,96,7,10
116,377,182,112,3,8,166,94,3,9
117,328,174,103,4,15,158,85,4,17
118,273,119,77,7,19,107,71,7,19
119,378,187,111,4,8,170,93,4,9
121,380,178,115,5,9,165,96,5,10
122,380,180,116,6,9,161,97,6,10
123,375,218,114,4,8,198,94,4,9
124,370,206,114,5,8,192,95,5,10
126,376,166,112,4,8,151,96,4,9
128,377,176,117,2,8,159,98,2,9
129,357,189,113,6,8,161,96,6,10
130,342,220,112,6,8,206,96,6,9
131,375,190,116,7,8,173,98,7,9
132,381,177,115,5,8,157,96,5,9
133,257,126,103,7,11,122,92,7,12
134,318,194,111,6,10,179,95,6,11
135,47,35,61,26,30,35,58,26,30
136,278,175,106,6,10,171,93,6,11
137,324,155,111,4,9,140,95,4,11
139,229,121,102,7,11,112,89,7,13
140,35,19,52,31,32,19,51,30,31
141,34,23,54,26,32,23,53,25,31
142,35,16,54,30,36,16,53,29,35
143,44,27,59,32,35,27,56,31,34
144,44,28,58,29,33,28,55,28,32
146,27,23,53,28,33,23,52,27,32
