"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,265,258,44,0,0,258,36,0,0
5,219,215,65,0,0,215,58,0,0
8,264,257,190,0,0,257,170,0,0
9,265,258,73,0,0,258,62,0,0
12,265,258,66,0,0,258,52,0,0
14,265,258,59,0,0,258,47,0,0
18,264,257,70,0,0,257,55,0,0
21,265,258,67,0,0,258,53,0,0
28,263,255,48,0,0,255,43,0,0
32,265,258,61,0,0,258,51,0,0
33,245,129,25,0,0,129,23,0,0
40,265,257,56,0,0,257,41,0,0
44,265,257,56,0,0,257,46,0,0
45,151,147,32,0,0,147,32,0,0
47,265,258,59,0,0,258,46,0,0
48,217,213,45,0,0,213,42,0,0
49,151,147,35,0,0,147,33,0,0
50,89,89,25,0,0,89,23,0,0
51,265,257,71,0,0,257,60,0,0
52,264,257,59,0,0,257,49,0,0
53,265,256,52,0,0,256,46,0,0
54,265,256,49,0,0,256,38,0,0
56,264,256,56,0,0,256,47,0,0
59,265,258,59,0,0,258,51,0,0
62,262,255,79,0,0,255,68,0,0
64,151,146,35,0,0,146,32,0,0
67,265,257,61,0,0,257,49,0,0
68,264,257,53,0,0,257,41,0,0
70,265,258,356,0,0,258,314,0,0
71,265,258,417,0,0,258,362,0,0
72,265,258,80,0,0,258,71,0,0
73,265,258,122,0,0,258,109,0,0
74,264,256,92,0,0,256,80,0,0
75,265,258,66,0,0,258,54,0,0
76,265,258,69,0,0,258,56,0,0
77,252,238,87,0,0,238,76,0,0
78,265,258,95,0,0,258,85,0,0
80,264,256,73,0,0,256,59,0,0
81,265,258,95,0,0,258,80,0,0
83,265,258,73,0,1,258,60,0,1
84,265,258,97,0,0,258,83,0,0
86,265,258,77,0,0,258,65,0,0
88,265,258,58,0,0,258,47,0,0
89,264,257,69,0,0,257,56,0,0
90,265,257,56,0,0,257,51,0,0
91,264,257,62,0,0,257,53,0,0
92,230,226,52,0,0,226,46,0,0
93,265,256,62,0,0,256,50,0,0
94,265,258,59,0,0,258,47,0,0
95,263,256,53,0,0,256,44,0,0
97,100,98,30,0,0,98,30,0,0
98,265,258,441,0,0,258,375,0,0
100,265,258,444,0,0,258,388,0,0
101,265,258,442,0,0,258,384,0,0
102,265,258,443,0,0,258,380,0,0
103,265,258,412,0,0,258,363,0,0
104,265,258,88,0,0,258,73,0,0
105,265,258,376,0,0,258,333,0,0
106,265,257,77,0,0,257,60,0,0
107,264,257,104,0,0,257,85,0,0
109,265,258,76,0,0,258,64,0,0
110,265,257,63,0,0,257,52,0,0
111,265,258,59,0,0,258,46,0,0
112,265,258,439,0,0,258,380,0,0
113,265,258,61,0,0,258,52,0,0
114,265,258,435,0,0,258,374,0,0
115,265,258,453,0,0,258,386,0,0
116,265,258,74,0,0,258,59,0,0
117,212,207,42,0,0,207,37,0,0
118,151,147,31,0,0,147,31,0,0
119,265,258,51,0,0,258,44,0,0
121,265,258,482,0,0,258,414,0,0
122,265,258,474,0,0,258,406,0,0
123,265,258,70,0,0,258,55,0,0
124,265,258,74,0,0,258,57,0,0
126,265,258,457,0,0,258,396,0,0
128,265,258,446,0,0,258,383,0,0
129,265,258,463,0,0,258,396,0,0
130,265,257,60,0,0,257,54,0,0
131,265,258,430,0,0,258,373,0,0
132,265,258,472,0,0,258,407,0,0
133,265,258,425,0,0,258,364,0,0
134,265,258,413,0,0,258,357,0,0
135,51,48,219,0,0,48,206,0,0
136,265,258,441,0,0,258,382,0,0
137,265,257,97,0,0,256,84,0,0
139,238,231,445,0,0,231,387,0,0
140,35,32,207,0,0,32,197,0,0
141,34,31,214,0,0,31,206,0,0
142,35,32,212,0,0,32,203,0,0
143,47,44,234,0,0,44,213,0,0
144,47,44,38,0,0,44,35,0,0
146,27,25,203,0,0,25,195,0,0
