"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,11,2,2,0,0,2,2,0,0
5,181,177,349,0,3,177,327,0,3
8,300,293,417,0,2,293,374,0,2
9,301,294,415,0,3,294,368,0,3
12,300,293,402,1,7,293,361,1,7
14,300,293,357,2,5,293,314,2,5
18,299,292,407,0,4,292,363,0,4
21,302,295,391,0,3,295,346,0,3
28,5,1,1,1,1,1,1,1,1
32,301,294,433,1,5,294,388,1,5
33,301,294,337,1,5,294,304,1,5
40,302,295,330,0,2,295,299,0,2
44,6,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1
48,4,1,1,1,1,1,1,1,1
49,187,183,262,0,10,183,237,0,10
50,124,124,180,0,10,124,164,0,10
51,301,294,321,0,2,294,285,0,2
52,99,89,213,0,0,89,207,0,0
53,301,294,316,0,2,294,293,0,2
56,301,294,318,0,1,294,289,0,1
59,301,294,360,0,3,294,328,0,3
62,299,292,387,1,9,292,346,1,10
64,184,182,236,4,26,182,213,4,27
67,301,294,340,0,4,294,306,0,4
68,298,291,345,1,5,291,309,1,5
70,301,294,395,0,1,294,365,0,1
71,299,292,481,0,3,292,433,0,3
72,301,294,349,0,4,294,319,0,4
73,301,294,339,0,4,294,303,0,4
74,300,293,436,1,5,293,387,1,5
75,301,294,404,0,5,294,360,0,5
76,302,295,410,0,4,295,370,0,4
77,289,282,413,0,5,282,374,0,5
78,302,295,364,0,3,295,325,0,3
80,301,294,371,0,1,294,334,0,1
81,301,294,349,0,1,294,309,0,1
83,6,1,1,1,1,1,1,1,1
84,301,294,409,0,2,294,359,0,2
86,301,294,490,2,6,294,440,2,7
88,60,57,70,0,1,57,67,0,1
89,302,295,343,0,2,295,309,0,2
90,301,294,290,0,2,294,264,0,2
91,300,293,306,0,1,293,273,0,1
92,1,1,1,1,1,1,1,1,1
93,172,165,275,3,10,165,264,3,10
94,302,295,357,1,5,295,320,1,5
95,299,292,336,0,4,292,306,0,4
97,138,138,224,5,32,138,203,5,32
98,302,295,480,0,5,295,431,0,5
100,302,295,506,1,5,295,451,1,5
101,302,295,465,0,5,295,415,0,5
102,302,295,497,1,5,295,441,1,5
103,302,295,448,0,5,295,400,0,5
104,114,111,250,0,2,111,236,0,2
105,302,295,439,0,2,295,394,0,2
106,302,295,374,0,0,295,341,0,0
107,300,293,389,1,5,293,344,1,5
109,302,295,493,1,7,295,429,1,7
110,299,292,361,0,4,292,321,0,4
111,302,295,243,0,1,295,226,0,1
112,302,295,457,1,7,295,409,1,8
113,301,294,364,1,5,294,332,1,5
115,302,295,461,0,3,295,421,0,3
116,300,293,434,0,3,293,387,0,3
117,246,242,289,0,2,242,260,0,2
118,188,184,226,1,12,184,205,1,12
119,301,294,339,0,2,294,307,0,2
121,302,295,474,0,8,295,425,0,8
122,302,295,510,0,6,295,457,0,6
123,302,295,347,0,5,295,318,0,5
126,302,295,514,0,7,295,454,0,7
128,302,295,490,2,11,295,438,2,11
129,302,295,524,2,6,295,466,2,6
130,300,293,333,0,1,293,306,0,1
131,302,295,485,1,5,295,435,1,5
132,302,295,476,1,4,295,424,1,4
133,264,257,463,1,7,257,421,1,7
134,302,295,499,1,4,295,452,1,4
135,51,48,230,8,13,48,218,9,15
136,285,278,452,0,6,278,408,0,6
137,162,156,266,1,14,156,255,1,14
139,237,230,452,1,7,230,413,1,7
140,35,32,188,6,11,32,178,7,12
141,34,31,170,5,14,31,166,6,14
142,35,32,168,1,6,32,164,1,6
143,47,44,221,4,12,44,211,4,12
144,47,44,226,2,7,44,216,2,7
146,27,25,166,5,8,25,158,5,8
