"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,371,368,369,2,53,368,347,2,56
5,336,325,356,4,59,325,336,5,60
8,373,356,374,7,61,356,354,7,65
9,371,365,378,2,54,365,356,2,55
12,373,370,373,5,54,370,350,5,56
14,373,369,373,3,57,369,351,3,58
18,368,358,374,6,59,358,350,6,61
21,374,372,378,2,56,372,354,2,58
28,373,371,375,2,53,371,352,2,55
32,368,352,379,4,62,352,356,5,63
33,374,365,356,0,53,365,334,0,54
40,365,362,371,1,58,362,349,1,60
44,370,356,373,1,58,356,350,1,61
45,271,269,327,1,89,269,315,1,90
47,369,367,372,3,57,367,350,3,58
48,334,332,356,0,52,332,336,0,53
49,267,265,329,0,73,265,317,0,74
50,209,209,300,0,77,209,294,0,78
51,363,356,375,3,58,356,353,3,59
52,371,363,386,3,59,363,363,3,63
53,376,374,370,1,47,374,349,1,48
54,375,373,374,2,55,373,352,2,56
56,374,372,377,2,56,372,355,2,57
59,373,370,379,4,59,370,356,4,60
62,374,371,375,2,59,371,354,2,61
64,257,255,324,0,73,255,312,0,74
67,359,357,386,3,56,357,363,3,57
68,372,368,373,3,57,368,351,3,58
70,370,363,377,4,55,363,354,5,56
71,373,363,374,2,61,363,350,2,64
72,376,374,375,3,51,374,353,3,53
73,375,371,381,3,55,371,359,3,56
74,373,359,377,6,61,359,354,6,62
75,372,370,375,2,54,370,353,2,55
76,376,373,372,0,56,373,350,0,58
77,364,356,378,15,60,354,356,15,61
78,376,367,373,1,58,367,351,1,60
80,375,358,381,6,61,357,358,6,62
81,371,366,379,5,59,366,357,5,60
83,377,374,380,5,62,374,357,6,63
84,376,372,372,1,57,372,350,1,61
86,374,366,380,3,57,366,358,3,58
88,373,370,369,2,50,370,347,2,52
89,370,368,378,2,52,368,355,2,54
90,372,369,382,0,50,369,359,0,53
91,374,370,371,4,55,370,349,4,57
92,344,342,369,0,45,342,349,0,45
93,362,359,374,4,60,359,351,4,62
94,368,366,372,2,53,366,350,2,56
95,370,368,367,0,54,368,344,0,56
97,223,223,304,1,53,223,297,1,54
98,371,368,381,4,61,368,359,4,65
100,368,366,377,1,56,366,354,1,58
101,377,359,374,6,58,358,352,6,59
102,369,352,378,6,59,351,356,8,60
103,374,372,382,2,52,372,359,2,54
104,367,364,377,1,56,364,355,1,57
105,373,371,375,1,53,371,353,1,54
106,369,367,375,0,50,367,354,0,51
107,369,359,375,3,54,359,353,3,56
109,372,370,412,4,60,370,389,4,61
110,370,362,374,3,52,362,352,3,55
111,377,374,368,3,47,374,346,3,48
112,374,371,399,4,56,371,375,4,58
113,372,366,378,3,59,366,356,3,60
114,373,370,383,5,55,370,360,5,56
115,373,370,402,2,54,370,379,2,57
116,371,368,373,4,55,368,351,4,56
117,326,324,357,2,63,324,337,2,64
118,267,265,337,4,74,265,324,4,75
119,372,370,372,1,51,370,349,1,54
121,374,366,383,4,57,366,360,4,58
122,374,361,393,5,61,361,370,5,62
123,369,367,375,2,59,367,352,2,61
124,364,361,373,2,56,361,350,2,58
126,370,360,378,4,58,360,355,4,63
128,371,366,372,4,58,366,350,4,60
129,351,342,372,3,58,342,349,3,62
130,336,333,363,3,52,333,341,3,53
131,369,367,380,3,58,367,358,3,61
132,375,366,371,3,60,366,349,3,65
133,251,249,325,5,65,249,310,5,66
134,312,308,347,5,55,308,327,5,59
135,43,41,143,81,102,41,142,80,101
136,272,270,343,4,56,270,326,4,57
137,318,310,344,5,63,309,322,5,66
139,223,214,317,7,72,214,302,7,76
140,29,22,126,90,108,22,125,89,107
141,28,21,127,89,108,21,126,88,107
142,29,25,123,85,103,25,122,84,102
143,39,32,135,74,95,32,134,74,94
144,39,37,136,71,89,37,135,70,88
146,21,21,126,80,98,21,125,79,97
