"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,367,364,224,0,2,364,176,0,4
5,334,332,219,0,2,332,171,1,4
8,369,366,232,0,1,366,181,0,3
9,367,364,225,0,1,364,175,0,4
12,369,366,233,0,3,366,182,0,6
14,369,366,228,0,2,366,176,0,4
18,364,361,227,0,0,361,179,0,1
21,370,367,228,0,0,367,180,0,1
28,369,366,226,0,0,366,180,0,0
32,364,361,230,0,2,361,179,0,5
33,370,367,228,0,2,367,178,0,3
40,361,358,226,0,0,358,178,0,1
44,366,363,229,0,1,363,182,0,2
45,275,273,191,2,15,273,152,2,26
47,365,362,231,0,0,362,180,0,0
48,332,330,213,0,0,330,166,0,0
49,271,269,191,1,15,269,153,1,23
50,209,209,168,1,13,209,135,1,19
51,359,356,229,0,0,356,180,0,1
52,367,364,235,0,2,364,184,0,5
53,372,369,225,0,1,369,177,0,4
54,371,368,226,0,0,368,178,0,1
56,370,367,226,0,0,367,176,0,1
59,369,366,230,0,0,366,178,0,2
62,372,369,230,0,2,369,181,0,4
64,261,259,190,0,12,259,150,0,19
67,355,352,232,0,0,352,181,0,3
68,368,365,222,0,1,365,175,0,4
70,366,363,226,0,0,363,182,0,2
71,369,366,230,0,1,366,183,1,4
72,372,369,226,0,0,369,176,0,2
73,371,368,227,0,1,368,182,0,3
74,369,366,234,0,1,366,183,0,4
75,368,365,232,0,2,365,183,0,4
76,372,369,231,0,0,369,180,0,1
77,360,357,235,0,1,357,184,0,2
78,372,369,227,0,1,369,180,0,2
80,371,368,234,0,3,368,184,0,5
81,367,364,229,0,0,364,180,0,2
83,373,370,229,0,0,370,178,0,1
84,372,369,236,0,0,369,182,0,1
86,370,367,222,0,2,367,176,0,4
88,369,366,228,0,0,366,179,0,0
89,366,363,222,0,0,363,176,0,2
90,368,365,222,0,0,365,177,0,0
91,370,367,229,0,0,367,180,0,0
92,340,338,220,0,0,338,171,0,1
93,358,355,230,0,2,355,181,0,4
94,364,361,230,0,0,361,179,0,1
95,366,363,226,0,0,363,177,0,2
97,223,223,167,0,7,223,134,0,10
98,367,364,233,0,1,364,186,0,4
100,364,361,224,0,0,361,176,0,2
101,373,370,230,0,0,370,179,0,2
102,365,362,227,0,0,362,181,0,2
103,370,367,229,0,0,367,178,0,1
104,363,360,226,0,0,360,179,0,1
105,369,366,225,0,0,366,176,0,0
106,365,362,222,0,0,362,177,0,1
107,365,362,228,0,2,362,180,0,4
109,368,365,245,0,4,365,194,0,7
110,366,363,226,0,0,363,177,0,1
111,373,370,215,0,0,370,170,0,1
112,370,367,239,0,2,367,184,0,3
113,368,365,227,0,1,365,180,1,4
114,369,366,227,0,1,366,177,0,3
115,369,366,234,0,1,366,189,0,2
116,367,364,230,0,0,364,180,0,2
117,326,324,215,0,0,324,167,0,0
118,271,269,196,2,18,269,152,2,28
119,368,365,231,0,1,365,184,0,2
121,370,367,236,0,2,367,186,0,4
122,370,367,236,0,1,367,188,0,2
123,365,362,226,0,1,362,177,0,4
124,360,357,226,0,1,357,178,0,4
126,366,363,240,0,2,363,190,0,4
128,367,364,227,0,2,364,179,1,5
129,347,343,226,0,1,343,185,0,4
130,332,329,211,0,1,329,174,0,3
131,365,362,235,0,1,362,185,0,3
132,371,368,226,0,2,368,181,0,5
133,247,244,186,0,3,244,168,1,6
134,308,304,205,0,0,304,173,0,1
135,39,38,110,3,11,38,109,3,11
136,268,265,191,0,3,265,168,0,6
137,314,311,218,0,3,311,178,0,8
139,219,216,174,0,1,216,157,0,4
140,29,28,105,4,10,28,105,4,10
141,28,27,110,5,14,27,110,5,14
142,29,28,106,2,7,28,106,2,7
143,36,35,113,10,16,35,113,10,16
144,36,35,109,4,12,35,109,4,12
146,21,21,108,29,42,21,108,29,42
