"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,359,346,404,23,58,339,330,28,69
5,322,303,393,40,65,288,329,47,76
8,361,346,424,35,65,341,351,44,79
9,359,346,406,24,57,344,329,31,67
12,361,350,424,26,67,343,347,33,79
14,361,350,417,30,64,346,340,37,77
18,356,328,393,24,48,323,323,29,56
21,362,353,429,22,65,352,352,27,77
28,361,342,407,28,58,338,335,33,69
32,356,330,425,37,58,312,349,47,68
33,362,345,394,10,33,345,326,15,43
40,353,336,417,21,60,329,342,27,71
44,358,337,422,26,61,327,348,33,74
45,277,269,335,11,69,268,301,12,76
47,357,343,425,15,62,338,346,21,74
48,320,314,382,10,60,310,320,10,72
49,272,266,333,25,72,265,300,27,76
50,209,206,288,9,72,204,264,10,77
51,351,336,412,24,49,332,339,28,59
52,359,344,427,34,64,340,350,44,78
53,364,351,414,24,59,343,338,29,69
54,363,352,437,21,60,350,359,27,73
56,362,352,422,20,65,349,348,23,76
59,361,342,430,32,64,338,353,40,76
62,362,349,421,30,62,345,344,37,74
64,263,256,326,3,73,255,294,4,77
67,347,332,412,26,68,329,336,31,81
68,360,349,416,18,54,348,340,22,66
70,358,333,414,32,50,326,341,37,57
71,361,342,426,24,61,335,349,33,74
72,364,355,416,11,53,355,340,16,66
73,363,340,423,31,64,333,347,36,77
74,361,353,428,37,64,349,353,44,77
75,360,348,422,18,61,344,346,21,72
76,364,357,425,20,63,356,348,23,76
77,352,328,417,5,61,316,340,9,72
78,364,344,422,29,63,333,346,35,75
80,363,342,431,33,64,330,353,40,76
81,359,335,424,28,65,331,350,36,78
83,365,344,432,39,63,333,356,46,75
84,364,345,424,22,64,338,345,27,76
86,362,347,425,32,65,335,348,39,77
88,361,348,416,15,56,346,339,19,66
89,358,352,406,14,59,352,335,16,69
90,360,352,391,16,45,352,320,17,52
91,362,354,424,14,60,352,346,16,71
92,328,323,389,2,57,320,327,4,66
93,350,338,414,27,61,336,340,35,72
94,356,342,424,23,63,337,348,28,75
95,358,344,400,15,56,338,328,17,67
97,223,220,302,8,75,219,275,8,79
98,359,348,429,28,66,344,352,34,79
100,356,342,411,29,47,330,337,35,55
101,365,336,417,27,51,323,342,32,58
102,357,337,424,27,51,327,348,35,60
103,362,356,425,20,50,356,349,26,59
104,355,339,436,39,66,332,360,45,79
105,361,353,419,9,40,352,344,11,48
106,357,351,420,14,58,351,345,17,70
107,357,338,418,28,48,327,343,33,56
109,360,321,422,32,57,309,348,40,68
110,358,346,417,33,65,341,342,38,77
111,365,359,399,18,44,359,328,20,53
112,362,334,423,24,50,326,348,31,58
113,360,348,424,29,60,336,346,36,71
114,361,345,411,28,50,341,337,31,59
115,361,337,424,32,52,332,346,38,60
116,359,331,413,24,53,316,339,29,62
117,312,299,366,28,60,292,311,32,69
118,273,264,317,26,55,262,289,28,59
119,360,348,414,25,58,345,339,29,69
121,362,339,430,32,51,333,354,37,59
122,362,340,432,31,63,323,355,39,73
123,357,340,420,23,65,333,345,29,77
124,352,334,419,21,63,331,343,27,74
126,358,339,441,23,72,326,363,27,85
128,359,340,425,21,65,331,346,28,77
129,339,316,416,39,77,309,344,49,92
130,324,318,391,27,72,318,324,34,82
131,357,342,434,34,68,334,358,42,82
132,363,342,442,28,66,329,365,34,79
133,239,227,349,55,84,214,291,66,100
134,300,287,391,34,75,284,328,44,87
135,45,42,210,129,140,40,198,132,143
136,260,249,366,40,81,246,305,51,94
137,306,290,387,42,74,284,322,53,88
139,211,195,322,55,84,190,273,65,99
140,33,29,201,132,142,28,190,137,145
141,32,30,201,136,147,30,190,139,149
142,33,30,199,131,142,30,188,135,145
143,41,37,210,134,142,35,198,137,145
144,41,38,210,122,139,36,198,126,142
146,27,25,188,129,146,25,178,133,147
