"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,385,378,526,16,81,378,461,18,91
5,342,338,506,44,101,338,445,52,113
8,387,380,546,29,94,380,476,33,103
9,385,378,542,21,80,378,480,23,90
12,387,380,544,27,81,380,477,28,92
14,387,380,531,31,91,380,462,37,101
18,383,376,526,0,67,376,460,0,74
21,388,381,539,20,80,381,471,21,89
28,387,380,529,14,74,380,462,17,86
32,382,374,527,30,89,374,460,33,101
33,388,381,522,36,79,381,457,38,89
40,379,372,533,15,63,372,465,17,73
44,384,377,537,24,95,377,469,27,107
45,277,273,439,8,84,273,388,10,100
47,383,376,532,21,68,376,464,22,79
48,340,336,495,10,71,336,432,11,81
49,273,269,447,4,72,269,395,4,85
50,209,209,378,2,88,209,356,4,94
51,377,370,535,21,75,370,469,26,83
52,385,378,567,38,95,378,496,41,104
53,390,383,573,13,56,383,508,14,58
54,389,382,546,18,87,382,476,20,96
56,388,381,525,24,85,381,462,27,95
59,387,380,534,37,88,380,471,42,97
62,388,381,543,34,91,381,475,40,102
64,263,259,443,2,66,259,389,3,75
67,373,366,525,25,82,366,461,28,92
68,386,379,528,20,72,379,462,22,81
70,384,377,527,22,90,377,462,24,100
71,387,380,532,35,91,380,464,39,100
72,390,383,560,13,62,383,491,15,72
73,389,382,527,19,80,382,461,22,88
74,388,381,532,0,87,381,464,0,96
75,386,379,542,11,64,379,474,13,77
76,390,383,528,18,76,383,462,19,84
77,378,371,532,12,88,371,465,13,98
78,390,383,533,19,90,383,464,22,100
80,389,381,549,42,93,381,478,47,102
81,385,378,534,41,95,378,467,50,106
83,391,384,532,30,94,384,463,36,104
84,390,383,540,18,84,383,465,22,94
86,388,381,537,24,92,381,470,28,103
88,387,380,531,4,47,380,461,6,57
89,384,377,514,15,58,377,452,15,64
90,386,379,517,5,50,379,454,6,55
91,388,381,534,15,75,381,468,16,83
92,352,348,526,4,62,348,460,5,73
93,376,369,541,28,87,369,473,32,98
94,382,375,520,25,79,375,455,29,87
95,384,377,521,5,66,377,456,6,74
97,223,223,403,3,83,223,371,4,87
98,385,378,537,21,78,378,471,22,85
100,382,375,515,20,82,375,455,21,90
101,391,384,550,32,93,384,484,36,103
102,383,376,532,32,94,376,465,36,105
103,388,381,526,23,79,381,462,25,87
104,381,374,548,26,85,374,478,32,96
105,387,380,542,20,70,380,478,21,76
106,383,376,529,10,60,376,466,12,67
107,383,376,533,16,84,376,470,20,95
109,386,379,561,48,91,379,493,55,102
110,384,377,540,30,88,377,470,32,98
111,391,384,518,15,62,384,453,19,71
112,388,381,589,42,97,381,524,46,108
113,386,379,533,19,85,379,467,21,95
114,387,380,526,28,82,380,464,32,90
115,387,379,533,21,88,379,468,25,99
116,385,377,528,33,90,377,463,36,99
117,332,328,494,10,95,328,437,13,105
118,273,269,442,23,79,269,392,25,90
119,386,379,537,25,89,379,471,27,98
121,388,381,543,36,98,381,477,46,109
122,388,381,564,17,93,380,494,21,102
123,383,376,531,17,86,376,463,17,95
124,378,371,533,7,79,371,467,7,91
126,384,376,550,18,95,375,478,20,105
128,385,378,561,30,95,378,492,34,106
129,365,357,536,47,97,357,471,57,108
130,350,343,505,17,68,343,445,20,77
131,383,376,561,23,93,376,492,25,104
132,389,382,573,21,99,382,500,24,109
133,265,258,488,45,115,258,432,49,129
134,326,318,514,30,93,318,451,35,105
135,51,48,287,127,172,48,285,128,171
136,286,279,516,45,105,279,458,56,119
137,332,325,521,52,104,324,459,61,118
139,237,230,447,64,124,230,392,73,136
140,35,32,277,156,177,32,275,155,176
141,34,31,276,159,177,31,274,159,176
142,35,32,275,134,162,32,273,134,163
143,47,44,287,135,175,44,285,135,174
144,47,44,291,145,180,44,287,145,180
146,27,25,266,153,180,25,264,153,179
