"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,391,381,338,0,0,97,32,0,0
5,352,342,500,0,1,158,39,2,2
8,393,383,358,0,0,108,36,0,1
9,391,381,417,0,0,118,34,0,0
12,393,383,283,0,0,100,27,0,1
14,393,383,399,0,1,112,33,2,2
18,388,378,385,0,0,153,34,0,0
21,394,384,530,0,1,194,43,2,2
28,393,383,448,0,0,177,40,0,2
32,388,378,491,0,0,180,40,1,2
33,393,383,242,0,0,81,25,0,0
40,385,375,438,0,1,172,35,2,2
44,390,380,419,0,0,89,38,2,2
45,281,275,416,0,0,130,33,0,2
47,389,379,441,0,0,123,43,0,2
48,350,340,474,0,0,152,41,0,2
49,279,273,354,0,0,114,34,0,2
50,208,208,204,0,0,53,19,2,2
51,383,373,457,0,0,106,40,0,2
52,391,381,439,0,0,170,39,1,2
53,396,362,192,0,0,98,24,0,0
54,395,385,506,0,0,200,42,0,2
56,394,384,481,0,0,136,39,0,2
59,393,383,520,0,0,181,39,1,2
62,394,384,472,0,0,112,40,2,2
64,267,260,355,0,0,91,32,0,2
67,379,369,305,0,0,87,29,0,2
68,392,365,177,0,0,74,21,0,0
70,390,380,485,0,1,229,45,0,2
71,393,383,434,0,0,115,42,0,1
72,396,386,343,0,0,93,33,0,0
73,395,353,116,0,0,52,17,0,0
74,393,382,369,0,0,134,38,0,0
75,392,382,288,0,0,84,29,0,2
76,396,372,149,0,0,86,28,0,0
77,383,373,483,0,0,193,37,2,2
78,396,386,483,0,0,141,42,0,2
80,395,385,527,0,0,173,41,2,3
81,391,381,431,0,0,159,41,1,2
83,397,387,453,0,0,152,45,0,0
84,396,386,467,0,3,141,40,2,2
86,394,384,332,0,0,136,33,0,2
88,393,383,488,0,0,147,39,1,2
89,390,376,124,0,0,66,18,0,0
90,346,242,126,0,0,45,14,0,0
91,394,384,395,0,0,144,34,0,0
92,356,346,293,0,0,96,29,0,0
93,382,372,296,0,0,99,30,1,1
94,388,378,463,0,1,198,42,2,2
95,391,381,364,0,0,142,33,0,0
97,223,223,224,0,2,96,19,1,4
98,391,381,351,0,0,127,32,0,0
100,388,378,373,0,0,122,40,0,0
101,397,387,481,0,0,116,42,2,3
102,389,379,443,0,0,123,40,0,2
103,393,383,441,0,0,187,47,0,0
104,387,377,470,0,0,188,39,1,2
105,393,383,455,0,0,143,42,1,1
106,389,379,421,0,0,166,43,1,2
107,389,379,512,0,0,136,46,2,2
109,392,382,455,0,0,178,37,2,2
110,390,380,489,0,2,129,44,2,3
111,98,42,26,0,0,15,8,0,0
112,394,384,499,0,0,183,44,2,2
113,392,382,262,0,0,87,31,0,0
114,393,383,340,0,0,133,33,0,0
115,393,383,478,0,0,164,51,2,2
116,391,381,481,0,0,125,41,1,2
117,342,332,491,0,0,173,41,1,3
118,279,273,338,0,0,63,29,0,2
119,392,382,490,0,0,173,42,2,2
121,394,384,459,0,0,159,46,2,2
122,394,384,550,0,0,206,43,2,2
123,389,379,254,0,0,89,26,0,0
124,384,374,240,0,0,94,29,0,0
126,390,380,482,0,0,175,46,1,2
128,391,381,372,0,0,129,37,0,2
129,371,360,511,0,0,175,46,2,2
130,336,289,85,0,0,45,18,0,0
131,389,379,561,0,0,228,46,0,2
132,395,385,499,0,0,180,42,2,2
133,271,261,489,1,20,134,44,5,7
134,332,321,496,0,0,151,50,2,2
135,47,47,350,1,5,38,33,6,6
136,292,282,512,1,14,162,48,5,6
137,338,328,383,0,0,111,37,1,2
139,243,233,463,6,24,132,41,4,6
140,35,35,261,5,6,25,26,3,5
141,34,34,260,1,5,23,23,4,6
142,35,35,287,10,12,21,25,6,6
143,43,43,336,7,19,30,33,6,6
144,43,43,325,6,17,29,26,4,7
146,28,28,250,1,4,19,28,4,4
