"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,381,373,868,13,54,373,760,14,66
5,342,336,846,12,59,336,750,13,71
8,383,374,899,17,51,374,787,20,62
9,381,373,912,6,34,373,796,7,45
12,383,375,912,8,43,375,797,10,54
14,383,375,906,13,50,375,794,15,60
18,379,370,913,0,51,370,797,0,61
21,384,376,904,4,33,376,791,5,45
28,383,374,892,5,37,374,780,7,47
32,378,369,913,21,60,369,799,22,71
33,384,376,799,11,40,376,695,12,45
40,375,367,886,9,37,367,771,11,49
44,380,372,962,15,60,372,844,16,72
45,271,269,753,4,34,269,674,4,45
47,379,370,911,2,32,370,792,3,42
48,340,334,805,1,28,334,713,1,36
49,269,267,755,2,29,267,675,3,39
50,209,209,601,2,34,209,558,2,47
51,373,365,884,7,43,365,775,11,53
52,381,373,945,13,48,373,824,15,58
53,386,377,872,3,35,377,762,3,46
54,385,377,874,8,38,377,765,9,50
56,384,376,904,9,36,376,794,9,48
59,383,375,914,8,44,375,799,11,55
62,384,376,914,17,50,376,797,18,61
64,257,254,724,2,26,254,645,2,36
67,369,361,923,4,42,361,807,4,53
68,382,374,879,3,34,374,775,3,46
70,380,371,932,13,45,371,816,15,56
71,383,374,917,19,53,374,801,20,66
72,386,378,899,7,36,378,789,8,44
73,385,376,913,10,48,376,802,11,59
74,383,375,911,14,61,375,798,17,72
75,382,374,894,6,40,374,775,8,51
76,386,378,893,6,38,378,781,8,48
77,380,369,891,0,41,369,786,0,53
78,386,377,904,6,45,377,788,7,57
80,385,376,905,15,58,376,795,16,70
81,381,373,929,15,57,373,812,19,69
83,387,379,897,14,53,379,791,16,64
84,386,377,912,14,49,377,799,17,61
86,384,376,890,10,44,376,780,11,56
88,383,374,886,4,32,374,773,4,43
89,380,372,878,2,27,372,774,5,39
90,382,374,886,6,29,374,778,8,39
91,384,376,914,8,41,376,797,8,53
92,348,342,836,2,28,342,739,4,39
93,372,363,901,13,42,363,794,16,53
94,378,370,899,9,49,370,783,13,60
95,380,371,872,0,39,371,767,0,50
97,223,223,631,2,16,223,580,2,22
98,381,373,938,11,50,373,820,13,61
100,378,370,903,7,42,370,789,8,51
101,387,379,946,15,54,379,817,16,64
102,379,371,914,18,48,371,802,20,59
103,384,376,914,7,31,376,800,8,41
104,377,369,921,9,39,369,808,11,52
105,383,375,910,4,27,375,792,7,36
106,380,372,895,0,18,372,786,0,29
107,380,372,953,0,56,372,840,0,66
109,382,374,973,16,55,374,854,20,66
110,380,371,901,7,38,371,792,8,50
111,387,379,852,9,27,379,742,9,35
112,384,375,945,17,55,375,825,18,66
113,382,373,921,13,53,373,804,16,64
114,383,375,905,12,40,375,800,14,51
115,383,375,927,11,47,375,814,13,58
116,381,373,903,4,39,373,787,4,50
117,333,327,802,0,36,327,711,0,47
118,269,267,725,0,34,267,656,0,36
119,382,373,882,6,38,373,775,7,49
121,384,375,968,21,52,375,848,23,63
122,384,375,955,18,61,375,833,19,72
123,379,370,893,5,39,370,786,6,50
124,374,365,868,9,49,365,763,11,59
126,380,372,962,20,60,372,840,21,72
128,381,373,910,9,48,373,800,11,56
129,361,352,938,15,59,352,820,18,63
130,346,338,848,15,41,338,751,17,43
131,379,371,964,14,55,371,843,17,66
132,385,377,905,11,54,377,801,15,66
133,261,253,753,23,76,253,684,23,80
134,322,312,860,16,45,312,762,17,47
135,47,44,341,70,126,44,336,71,128
136,282,274,778,19,62,274,702,19,65
137,328,320,844,35,72,320,752,36,74
139,233,225,691,25,86,225,631,25,89
140,35,33,326,74,98,33,322,77,101
141,34,31,321,77,108,31,317,78,110
142,35,33,328,82,105,33,324,84,108
143,43,40,338,86,135,40,332,87,138
144,43,40,337,65,119,40,331,67,120
146,28,25,316,58,82,25,312,60,84
