"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,373,368,206,6,16,366,191,6,16
5,330,328,246,2,22,328,228,2,22
8,375,370,206,6,18,370,196,6,18
9,373,368,258,4,16,368,236,4,16
12,375,370,240,3,18,370,226,3,18
14,375,370,249,6,24,370,237,6,24
18,371,366,222,0,16,366,206,0,16
21,376,371,252,1,13,371,233,1,13
28,375,370,228,3,14,370,218,3,14
32,370,351,223,4,22,350,213,4,22
33,376,371,214,2,12,371,203,2,12
40,367,362,224,3,14,362,214,3,14
44,372,367,258,6,23,367,242,6,23
45,265,263,159,0,12,263,146,0,12
47,371,366,232,2,14,366,216,2,14
48,328,326,233,0,10,326,217,0,10
49,261,259,159,0,12,259,150,0,12
50,209,209,136,1,12,209,126,1,12
51,365,360,218,4,14,360,207,4,14
52,373,368,285,3,24,368,260,3,24
53,378,373,218,1,16,373,205,1,16
54,377,372,253,0,13,372,239,0,13
56,376,370,217,4,15,370,207,4,15
59,375,370,262,4,17,370,244,4,17
62,376,371,252,5,24,370,238,5,24
64,251,248,165,0,13,248,150,0,13
67,361,356,220,3,17,356,209,3,17
68,374,369,228,2,11,369,212,2,11
70,372,367,226,4,17,367,214,4,17
71,375,369,219,6,17,369,207,6,17
72,378,373,248,2,18,373,235,2,18
73,377,372,209,6,17,372,196,6,17
74,376,371,260,0,19,371,239,0,19
75,374,369,236,1,13,369,219,1,13
76,378,373,254,2,8,373,235,2,8
77,366,361,237,3,20,361,220,3,20
78,378,373,217,3,16,373,203,3,16
80,377,370,232,4,22,370,218,4,22
81,373,368,251,5,19,368,237,5,19
83,379,373,205,6,17,372,193,6,17
84,378,373,218,6,15,373,203,6,15
86,376,371,252,2,17,371,234,2,17
88,375,370,212,3,12,370,200,3,12
89,372,367,201,1,11,367,192,1,11
90,374,369,234,2,9,369,216,2,9
91,376,370,190,4,13,370,180,4,13
92,340,338,239,0,9,338,225,0,9
93,364,358,243,4,24,358,229,4,24
94,370,365,240,3,15,365,220,3,15
95,372,367,219,1,12,367,205,1,12
97,223,223,141,1,9,223,132,1,9
98,373,368,261,5,16,368,242,5,16
100,370,365,249,4,15,365,229,4,15
101,379,374,251,4,19,374,236,4,19
102,371,366,254,6,19,366,234,6,19
103,376,371,250,2,9,371,231,2,9
104,369,364,290,4,20,364,264,4,20
105,375,370,256,1,9,370,235,1,9
106,371,366,248,2,10,366,234,2,10
107,371,366,247,4,23,366,232,4,23
109,374,369,285,6,35,369,265,6,35
110,372,367,264,2,12,367,245,2,12
111,379,374,200,6,15,374,189,6,15
112,376,371,267,3,27,371,252,3,27
113,374,369,250,5,20,369,235,5,20
114,375,370,252,2,16,370,238,2,16
115,375,370,279,4,21,370,254,4,21
116,373,368,249,2,16,368,234,2,16
117,320,318,235,1,13,318,220,1,13
118,261,259,161,0,17,259,152,0,17
119,374,369,250,2,12,369,230,2,12
121,376,371,278,4,31,371,258,4,32
122,376,371,277,2,22,371,260,2,22
123,371,366,247,1,14,366,233,1,14
124,366,361,221,3,18,361,209,3,18
126,372,367,272,7,32,367,255,7,33
128,373,368,250,3,25,368,236,3,26
129,353,347,254,5,27,347,242,5,28
130,338,333,233,6,15,333,222,6,15
131,371,366,259,1,21,366,248,1,21
132,377,372,222,4,20,372,211,4,20
133,253,248,222,7,27,248,215,7,27
134,314,308,243,5,15,308,233,5,15
135,51,48,144,32,55,48,142,33,55
136,274,269,225,4,20,269,217,4,20
137,320,301,254,14,42,300,242,14,42
139,225,220,213,10,24,220,207,10,24
140,35,32,135,44,52,32,133,43,51
141,34,31,134,43,62,31,132,42,61
142,35,32,135,37,45,32,133,37,44
143,47,44,144,43,69,44,142,43,69
144,47,44,142,36,62,44,140,35,61
146,27,25,129,35,45,25,127,35,46
