"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,385,377,248,1,8,372,158,3,22
5,342,338,254,1,9,319,164,7,27
8,387,378,268,0,8,364,174,4,22
9,385,378,254,0,6,375,163,1,20
12,387,380,254,0,4,379,165,3,14
14,387,379,248,0,5,370,160,4,21
18,383,375,253,0,3,366,163,0,14
21,388,380,261,0,11,373,170,5,24
28,387,380,244,0,7,378,157,0,20
32,382,368,249,1,10,345,161,6,26
33,388,381,234,0,3,379,153,1,8
40,379,372,251,0,8,366,161,3,21
44,384,375,251,1,10,357,162,7,26
45,277,273,200,0,4,270,120,1,21
47,383,376,254,1,5,371,163,4,16
48,340,336,241,0,4,336,155,0,17
49,273,269,200,0,5,268,122,0,24
50,209,209,185,0,4,209,113,1,18
51,377,370,255,0,6,360,162,3,19
52,385,378,262,1,7,368,171,8,22
53,390,383,244,0,5,382,158,3,14
54,389,382,250,0,7,376,160,2,23
56,388,381,255,0,6,380,164,2,19
59,387,378,263,0,8,371,170,4,22
62,388,380,257,1,6,372,163,2,23
64,263,259,194,0,3,259,116,0,18
67,373,366,246,0,7,362,157,1,21
68,386,379,249,0,5,379,162,2,11
70,384,376,264,0,5,360,173,3,18
71,387,380,262,0,8,380,170,3,21
72,390,383,252,0,4,381,163,0,15
73,389,382,255,0,5,375,164,2,14
74,387,380,255,0,8,375,166,4,21
75,386,379,258,0,5,379,165,5,14
76,390,383,253,0,4,383,162,5,10
77,378,369,255,0,7,351,168,0,23
78,390,381,255,1,10,363,165,3,26
80,389,379,258,1,8,351,166,11,24
81,385,376,255,0,7,361,166,6,24
83,391,377,251,0,8,357,163,3,23
84,390,382,254,1,9,360,165,6,25
86,388,381,255,0,6,380,167,3,19
88,387,380,247,0,6,373,161,3,17
89,384,377,247,0,5,377,161,3,10
90,386,379,247,1,3,379,162,1,7
91,388,381,255,0,5,381,166,2,19
92,352,348,246,0,7,343,158,0,16
93,376,369,253,0,8,368,163,2,21
94,382,375,253,0,8,358,163,5,24
95,384,377,248,0,5,377,160,0,11
97,223,223,190,0,4,220,116,1,17
98,385,377,264,0,7,370,171,1,17
100,382,375,256,0,2,375,166,1,8
101,391,384,264,0,6,375,171,3,20
102,383,375,260,0,4,354,168,3,19
103,388,381,259,0,5,372,169,1,11
104,381,374,256,0,9,357,167,4,24
105,387,380,259,0,2,380,170,1,7
106,383,376,256,0,6,373,168,0,16
107,383,375,259,1,6,359,169,4,19
109,386,376,259,1,8,352,168,8,23
110,384,376,259,0,6,365,168,3,16
111,391,384,243,0,2,384,159,1,7
112,388,380,263,0,4,355,171,3,19
113,386,379,259,0,7,375,169,3,19
114,387,380,258,0,2,379,167,2,9
115,387,380,258,0,8,369,167,4,22
116,385,377,249,0,6,366,162,2,18
117,332,328,236,0,6,325,153,2,21
118,273,269,196,0,3,268,115,3,19
119,386,379,253,0,6,372,163,2,20
121,388,379,259,0,7,352,170,5,21
122,388,380,266,1,11,351,173,6,25
123,383,376,257,1,5,374,165,3,13
124,378,371,258,0,6,370,167,4,21
126,384,376,262,0,11,363,172,9,26
128,385,377,261,0,8,369,169,7,22
129,365,357,264,1,8,347,170,7,23
130,350,343,251,1,6,343,166,5,11
131,383,373,261,2,11,358,169,7,27
132,389,378,263,0,11,354,170,4,26
133,265,258,193,6,15,257,160,9,26
134,326,318,232,1,16,316,162,4,25
135,51,48,97,40,59,48,91,42,61
136,286,279,191,5,13,279,159,8,21
137,332,309,225,3,16,278,153,12,27
139,237,227,177,7,18,221,152,12,29
140,35,31,91,49,57,31,91,49,57
141,34,31,91,40,53,31,90,40,53
142,35,32,90,42,54,32,90,42,54
143,47,43,95,52,64,42,91,53,65
144,47,44,94,31,52,44,92,33,54
146,27,25,92,32,46,25,92,32,46
