"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,375,285,0,2,373,183,0,10
5,352,340,275,2,9,329,175,2,24
8,391,378,297,0,3,355,191,2,12
9,389,375,294,0,3,372,188,1,8
12,391,378,295,0,2,378,187,0,10
14,391,377,287,0,2,374,184,0,11
18,387,374,295,0,3,362,188,0,11
21,392,378,298,0,2,376,188,0,7
28,391,377,280,0,2,377,178,0,9
32,386,373,293,0,3,349,186,2,13
33,392,379,255,0,0,379,160,0,3
40,383,370,276,0,2,361,175,0,9
44,388,374,291,0,2,364,185,0,11
45,281,273,213,0,6,271,131,0,20
47,387,373,293,0,1,373,190,0,7
48,350,338,253,0,5,338,158,0,8
49,279,271,207,0,7,271,128,0,15
50,209,209,194,0,7,209,124,0,16
51,381,368,299,0,1,363,193,0,11
52,389,376,297,0,2,372,189,0,13
53,394,380,272,0,1,380,177,0,5
54,393,379,288,0,2,379,183,0,9
56,392,379,291,0,1,375,186,0,11
59,391,378,296,0,2,371,189,0,11
62,392,379,294,0,1,377,189,0,11
64,267,259,208,0,7,259,129,0,15
67,377,363,291,0,2,361,187,0,8
68,390,377,290,0,0,377,185,0,3
70,388,374,295,0,2,353,187,1,12
71,391,378,295,0,1,373,189,0,11
72,394,381,285,0,2,380,184,0,7
73,393,380,294,0,3,352,186,1,13
74,391,377,292,0,2,365,185,1,12
75,390,376,290,0,2,376,189,0,9
76,394,380,290,0,1,377,182,0,8
77,382,369,287,0,3,364,186,0,9
78,394,381,293,0,3,367,185,0,13
80,393,380,296,0,3,355,188,2,12
81,389,376,300,0,1,365,191,1,12
83,395,382,295,0,3,371,188,1,11
84,394,380,291,0,2,376,184,0,12
86,392,379,297,0,1,373,188,0,10
88,391,377,287,0,0,375,184,0,7
89,388,374,292,0,2,374,186,0,4
90,390,376,286,0,1,374,182,0,2
91,392,378,287,0,3,375,180,0,9
92,358,346,279,0,5,345,178,0,8
93,380,366,287,0,2,365,183,0,8
94,386,373,293,0,1,366,185,0,8
95,388,375,279,0,0,374,180,0,8
97,223,223,198,0,5,221,125,1,14
98,389,373,299,0,3,352,190,0,13
100,386,372,298,1,2,353,191,1,12
101,395,381,296,0,3,359,190,2,12
102,387,374,302,0,3,346,193,0,13
103,392,378,296,0,3,368,190,0,8
104,385,372,295,0,1,359,187,0,10
105,391,378,296,0,0,372,189,0,3
106,387,373,294,0,0,371,187,0,3
107,387,374,295,0,3,360,188,0,13
109,390,376,301,0,3,365,193,1,12
110,388,375,286,0,2,368,183,0,6
111,395,382,286,0,2,382,183,0,6
112,392,379,298,0,3,362,192,1,13
113,390,377,297,0,2,373,191,0,13
114,391,378,295,0,3,362,187,1,11
115,391,378,300,0,3,370,193,1,13
116,389,375,291,0,1,368,187,0,9
117,342,330,249,0,8,328,152,1,17
118,279,271,201,0,6,271,127,0,16
119,390,376,283,0,1,374,182,0,6
121,392,379,298,0,3,373,189,1,13
122,392,379,304,0,3,346,194,3,13
123,387,374,300,0,0,372,191,0,3
124,382,369,302,0,3,366,195,1,11
126,388,375,302,0,2,366,193,1,13
128,389,375,295,0,2,367,188,0,12
129,369,356,298,0,2,353,193,0,11
130,354,341,286,0,2,340,186,0,7
131,387,373,300,0,3,357,193,0,13
132,393,379,300,0,3,354,192,1,13
133,269,256,252,0,7,256,183,1,14
134,330,316,276,0,0,316,185,0,6
135,45,44,124,19,42,44,115,21,45
136,290,277,260,0,2,276,184,0,7
137,336,323,275,0,1,321,183,1,12
139,241,228,231,6,13,226,179,6,21
140,33,32,114,25,35,32,107,26,36
141,32,31,115,28,39,31,108,29,41
142,33,32,109,28,41,32,104,30,43
143,41,39,119,27,49,39,111,28,52
144,41,40,121,23,36,40,114,24,39
146,27,26,105,8,23,26,97,12,26
