"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,377,342,4,16,377,301,4,17
5,352,336,398,36,50,334,345,40,56
8,391,375,412,34,48,373,359,38,56
9,389,377,413,17,43,377,355,19,49
12,391,378,408,18,48,377,352,20,52
14,391,379,407,18,45,379,352,20,50
18,387,375,409,0,38,373,354,0,41
21,392,380,395,18,47,380,343,21,54
28,391,379,410,21,49,379,354,25,55
32,386,374,374,16,39,374,329,16,42
33,392,376,303,16,39,375,272,16,42
40,383,369,400,25,47,369,347,27,53
44,388,376,398,10,47,376,351,11,56
45,281,273,352,14,54,273,309,15,61
47,387,375,363,14,33,375,321,14,36
48,350,340,360,0,29,340,324,0,32
49,279,273,339,0,43,273,298,0,49
50,209,209,302,0,61,209,273,0,63
51,381,367,395,14,42,367,342,16,48
52,389,377,403,20,48,377,352,21,55
53,394,380,329,6,31,380,293,6,34
54,393,381,401,10,48,381,346,11,53
56,392,379,412,11,47,379,353,14,55
59,391,378,401,31,45,378,345,35,52
62,392,379,407,21,46,379,355,24,53
64,267,261,337,2,36,261,296,3,42
67,377,363,410,26,50,362,355,30,57
68,390,375,363,18,43,371,325,19,45
70,388,374,409,32,44,373,354,35,53
71,391,377,409,21,48,377,353,23,56
72,394,380,399,13,41,380,341,14,46
73,393,381,418,20,47,380,361,24,55
74,391,378,393,30,46,378,337,32,54
75,390,378,405,14,41,377,346,15,47
76,394,382,404,17,44,382,349,19,49
77,393,381,398,0,45,379,343,0,53
78,394,380,403,27,47,380,346,30,56
80,393,378,399,35,49,378,345,37,55
81,389,374,408,35,49,373,350,39,56
83,395,380,409,34,48,380,352,38,54
84,394,380,393,36,49,380,341,41,56
86,392,378,406,35,50,377,347,39,57
88,391,377,404,22,49,377,351,23,55
89,388,376,412,15,47,376,354,16,53
90,390,378,400,13,40,378,346,15,46
91,392,378,401,15,44,378,347,16,48
92,358,348,401,9,44,348,346,10,53
93,380,366,399,32,47,366,347,34,52
94,386,372,405,28,50,372,349,32,55
95,388,376,371,11,42,376,325,11,45
97,223,223,310,0,59,222,280,0,62
98,389,374,418,30,49,370,355,32,56
100,386,374,408,15,40,374,350,16,46
101,395,381,410,30,44,381,357,33,50
102,387,371,392,35,45,366,338,40,53
103,392,375,407,20,45,374,352,22,52
104,385,371,409,28,49,371,358,30,55
105,391,379,406,20,40,379,351,21,44
106,388,376,409,0,42,376,351,0,47
107,388,376,392,0,44,375,339,0,52
109,390,375,409,36,44,373,351,43,52
110,388,376,406,30,44,376,353,31,51
111,395,383,404,20,36,383,344,21,42
112,392,374,401,39,46,374,346,44,54
113,390,378,402,9,39,378,351,10,41
114,391,373,393,31,43,372,338,35,51
115,391,378,406,28,44,377,350,31,52
116,389,377,399,8,44,377,342,13,49
117,342,330,368,8,29,330,327,10,31
118,279,271,301,2,41,271,276,2,42
119,390,376,356,20,36,376,319,21,39
121,392,380,402,20,45,380,348,23,52
122,392,374,411,22,42,371,352,24,48
123,387,369,403,20,49,365,349,23,56
124,382,367,406,20,51,363,350,22,57
126,388,376,414,18,49,376,357,19,56
128,389,373,411,18,49,371,354,20,56
129,369,352,395,32,50,352,344,35,55
130,354,341,383,25,50,340,336,27,55
131,387,372,415,21,51,371,357,24,57
132,393,377,415,15,48,375,356,16,56
133,269,257,314,45,61,257,279,47,64
134,330,315,375,37,55,315,334,37,61
135,45,41,152,107,117,41,152,107,117
136,290,278,307,46,64,278,272,47,67
137,336,323,363,37,52,322,320,39,56
139,241,227,295,60,69,226,264,63,74
140,33,31,145,102,111,31,145,102,111
141,32,30,132,93,103,30,132,93,103
142,33,31,147,102,111,31,147,102,111
143,41,38,142,105,115,38,142,105,115
144,41,39,136,94,108,39,136,94,108
146,27,25,131,88,100,25,131,88,100
