"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,255,241,201,0,4,241,192,0,4
5,215,203,213,1,25,203,202,1,25
8,254,239,232,3,28,238,218,3,28
9,255,241,236,0,2,241,221,0,2
12,255,239,230,1,17,239,217,1,17
14,255,241,228,0,9,241,216,0,9
18,255,237,230,2,21,237,217,2,21
21,255,241,231,0,20,241,217,0,20
28,254,240,228,0,11,240,215,0,11
32,255,241,229,0,14,241,216,0,14
33,255,238,185,0,14,238,181,0,14
40,255,241,230,0,15,241,217,0,15
44,255,241,238,0,14,241,221,0,14
45,141,133,129,0,23,133,126,0,23
47,255,241,230,0,21,241,215,0,21
48,214,202,209,0,1,202,198,0,1
49,143,135,128,0,6,135,125,0,6
50,75,75,114,0,4,75,113,0,4
51,255,241,236,0,20,241,218,0,20
52,254,240,235,1,13,240,220,1,13
53,255,241,227,0,5,241,214,0,5
54,255,241,237,0,9,241,221,0,9
56,254,240,229,0,11,240,214,0,11
59,255,241,231,0,23,241,218,0,23
62,252,238,231,0,7,238,220,0,7
64,141,133,129,0,13,133,126,0,13
67,255,241,237,0,14,241,221,0,14
68,255,241,221,0,13,241,208,0,13
70,255,241,231,2,18,241,218,2,18
71,255,241,238,0,22,241,222,0,22
72,255,241,227,0,8,241,215,0,8
73,255,240,230,4,24,240,217,4,24
74,254,228,244,4,31,228,228,4,31
75,255,241,235,0,18,241,219,0,18
76,255,241,223,3,18,241,210,3,18
77,242,228,236,0,21,228,219,0,21
78,255,241,228,0,22,241,215,0,22
80,255,241,237,0,22,241,222,0,22
81,255,241,232,0,23,241,218,0,23
83,255,240,231,0,25,240,218,0,25
84,255,241,232,0,21,241,219,0,21
86,255,237,236,0,25,237,220,0,25
88,255,241,233,0,3,241,214,0,3
89,255,241,228,2,15,241,214,2,15
90,255,241,229,0,6,241,216,0,6
91,254,240,230,0,13,240,217,0,13
92,223,211,217,0,5,211,206,0,5
93,255,241,230,0,20,241,217,0,20
94,255,241,225,0,15,241,212,0,15
95,254,240,228,0,16,240,215,0,16
97,87,87,120,0,8,87,119,0,8
98,255,240,232,3,23,240,219,3,23
100,255,237,231,3,28,237,218,3,28
101,255,241,232,0,25,241,217,0,25
102,255,240,238,4,26,240,220,4,26
103,255,241,230,0,22,241,217,0,22
104,255,241,232,0,8,241,219,0,8
105,255,241,230,1,18,241,217,1,18
106,255,241,231,0,12,241,219,0,12
107,254,240,231,0,11,240,218,0,11
109,255,241,239,0,12,241,223,0,12
110,255,241,231,1,21,241,217,1,21
111,255,241,229,3,15,241,217,3,15
112,255,238,238,2,26,238,221,2,26
113,255,240,232,2,24,240,219,2,24
114,255,241,230,1,23,241,218,1,23
115,255,241,235,0,16,241,220,0,16
116,255,241,233,0,6,241,220,0,6
117,210,198,211,0,10,198,201,0,10
118,143,135,129,0,6,135,126,0,6
119,255,241,233,0,3,241,220,0,3
121,255,239,232,0,22,239,219,0,22
122,255,238,232,1,27,238,219,1,27
123,255,240,230,0,14,240,217,0,14
124,255,241,231,1,19,241,218,1,19
126,255,241,235,0,20,241,219,0,20
128,255,241,234,1,21,241,220,1,21
129,255,241,236,0,19,241,220,0,19
130,255,241,230,0,13,241,217,0,13
131,255,241,235,0,24,241,220,0,24
132,255,234,233,2,26,234,219,2,26
133,255,241,235,0,23,241,220,0,23
134,255,241,232,0,14,241,217,0,14
135,45,42,111,35,62,42,111,35,62
136,255,241,232,1,12,241,218,1,12
137,255,241,238,0,18,241,223,0,18
139,238,224,229,1,27,224,214,1,27
140,33,30,97,33,46,30,97,33,46
141,32,30,98,31,48,30,98,31,48
142,33,31,96,39,52,31,96,39,52
143,41,30,110,43,71,30,110,43,71
144,41,39,111,21,50,39,111,21,50
146,27,25,93,25,45,25,93,25,45
