"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,372,697,1,21,372,660,1,21
5,352,340,721,0,51,340,674,0,51
8,391,376,786,7,47,376,728,7,47
9,389,373,800,1,24,373,741,1,24
12,391,376,795,4,33,376,744,4,33
14,391,375,762,9,38,375,708,9,38
18,387,372,767,0,38,372,712,0,38
21,392,377,796,2,39,377,738,2,39
28,391,376,751,3,41,376,701,3,41
32,386,369,761,3,44,369,704,3,44
33,392,375,713,3,33,375,672,3,33
40,383,368,787,1,35,368,737,1,35
44,388,373,802,4,46,373,742,4,46
45,279,271,646,0,40,271,617,0,40
47,387,371,754,2,27,371,703,2,27
48,350,338,696,0,16,338,652,0,16
49,277,269,624,0,23,269,596,0,23
50,207,207,548,0,23,207,529,0,23
51,381,366,787,6,40,366,734,6,40
52,389,374,810,7,41,374,753,7,41
53,394,378,746,1,14,378,698,1,14
54,393,378,804,0,36,378,741,0,36
56,392,377,762,0,30,377,708,0,30
59,391,376,799,2,38,376,742,2,38
62,392,377,814,4,35,377,757,4,35
64,265,257,594,0,31,257,569,0,31
67,377,362,788,4,39,362,731,4,39
68,390,375,743,1,28,375,696,1,28
70,388,373,784,4,43,373,727,4,43
71,391,376,790,2,35,376,732,2,35
72,394,379,739,1,28,379,694,1,28
73,393,378,782,2,39,378,726,2,39
74,391,375,791,7,47,375,736,7,47
75,390,375,778,2,28,375,722,2,28
76,394,379,767,2,28,379,717,2,28
77,382,367,778,2,43,367,723,2,43
78,394,379,782,1,42,379,723,1,42
80,393,378,786,5,44,378,728,5,44
81,389,374,802,8,52,374,745,8,52
83,395,380,793,5,42,380,738,5,42
84,394,379,790,3,38,379,732,3,38
86,392,377,790,8,48,377,734,8,48
88,391,376,762,0,18,376,708,0,18
89,388,372,789,0,23,372,733,0,23
90,390,375,775,0,10,375,718,0,10
91,392,377,778,2,31,377,724,2,31
92,356,344,749,0,22,344,704,0,22
93,380,365,751,1,40,365,698,1,40
94,386,371,754,0,36,371,703,0,36
95,388,373,734,0,24,373,684,0,24
97,221,221,559,0,21,221,539,0,21
98,389,374,780,0,43,374,726,0,43
100,386,371,768,1,37,371,708,1,37
101,395,378,781,4,40,378,717,4,40
102,387,372,776,3,50,372,718,3,50
103,392,377,784,2,26,377,727,2,26
104,385,370,795,1,29,370,738,1,29
105,391,376,755,1,21,376,702,1,21
106,387,372,785,0,15,372,733,0,15
107,387,372,772,3,37,372,714,3,37
109,390,375,808,9,42,375,748,9,42
110,388,373,788,2,39,373,732,2,39
111,395,380,762,1,22,380,716,1,22
112,392,377,782,4,45,377,725,4,45
113,390,375,794,7,47,375,735,7,47
114,391,376,776,1,35,376,723,1,35
115,391,376,787,4,41,376,726,4,41
116,389,374,774,3,34,374,724,3,34
117,342,329,711,0,34,329,668,0,34
118,277,268,638,0,30,268,609,0,30
119,390,375,772,2,39,375,718,2,39
121,392,377,804,9,48,377,748,9,48
122,392,377,794,9,54,377,737,9,54
123,387,370,785,1,31,370,729,1,31
124,382,367,784,2,39,367,731,2,39
126,388,373,795,3,48,373,737,3,48
128,389,374,802,5,45,374,740,5,45
129,369,353,758,5,50,353,699,5,50
130,354,339,706,0,21,339,657,0,21
131,387,372,805,7,49,372,748,7,49
132,393,378,806,4,48,378,751,4,48
133,269,254,604,8,84,254,565,8,84
134,330,314,709,1,33,314,654,1,33
135,47,44,340,86,159,44,337,86,159
136,290,275,648,5,60,275,602,5,60
137,336,321,722,10,57,321,663,10,58
139,241,226,575,10,74,226,540,10,74
140,35,32,322,103,146,32,321,103,146
141,34,31,324,86,137,31,323,86,137
142,35,32,309,68,116,32,309,68,116
143,43,40,339,127,188,40,336,127,188
144,43,40,340,63,135,40,337,63,135
146,28,25,299,50,95,25,298,50,95
