"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,372,153,3,27,370,142,3,27
5,352,234,155,11,32,226,142,11,33
8,391,326,155,6,34,321,142,6,35
9,389,376,154,1,19,376,142,1,20
12,391,276,154,11,34,267,142,11,35
14,391,328,152,2,30,324,141,2,32
18,386,366,155,1,16,366,143,1,17
21,392,360,160,5,33,356,146,5,35
28,391,366,156,3,30,362,143,3,31
32,386,315,153,5,34,312,141,5,36
33,392,308,151,6,30,301,138,6,31
40,383,361,155,1,21,358,144,1,22
44,388,309,157,12,40,300,145,13,40
45,281,262,130,4,33,256,118,4,35
47,387,371,156,0,21,371,142,0,22
48,350,331,156,1,14,330,143,1,15
49,279,268,126,1,23,268,117,1,24
50,209,208,119,0,12,208,113,0,12
51,381,355,156,3,24,355,144,3,25
52,389,348,157,8,35,343,145,9,36
53,394,381,152,1,16,381,139,1,18
54,393,334,157,3,37,330,145,4,38
56,392,378,156,0,14,378,144,0,16
59,391,308,156,12,32,304,143,12,34
62,392,358,165,11,37,356,153,11,39
64,267,259,127,0,14,259,117,0,16
67,377,341,155,3,33,338,143,3,35
68,390,360,153,2,25,359,140,2,28
70,388,305,157,4,29,302,144,4,30
71,391,371,159,6,31,369,146,7,32
72,394,378,154,3,24,378,142,3,25
73,393,353,160,1,30,352,146,1,32
74,391,372,155,1,29,371,142,1,30
75,390,345,157,4,36,341,144,4,37
76,394,333,157,6,34,330,144,6,35
77,382,309,155,4,35,306,142,4,37
78,394,280,155,10,38,274,143,11,39
80,393,324,156,5,35,315,143,6,38
81,389,286,155,4,35,282,143,4,36
83,395,365,158,4,24,364,145,4,27
84,394,363,158,3,31,359,145,3,32
86,392,280,156,11,39,273,143,11,40
88,391,362,154,1,10,360,142,1,10
89,388,371,157,1,23,369,144,1,23
90,390,376,157,1,12,376,144,1,13
91,392,378,157,2,22,378,145,2,23
92,357,339,157,2,23,339,144,2,23
93,380,274,153,14,40,263,140,15,41
94,386,341,154,2,32,334,142,2,34
95,388,369,156,1,27,369,142,1,27
97,223,218,120,1,22,218,115,1,24
98,389,331,157,2,34,327,145,2,36
100,386,356,158,5,30,349,144,5,31
101,395,317,152,7,33,307,140,7,34
102,387,321,153,8,30,318,141,8,31
103,392,356,156,3,24,352,143,4,25
104,385,304,156,6,37,298,143,6,38
105,391,359,155,1,23,357,143,1,24
106,387,356,156,1,22,352,143,1,22
107,387,321,154,3,28,320,142,3,28
109,390,275,157,9,37,263,144,9,39
110,388,301,155,5,35,298,142,6,36
111,395,376,158,2,27,376,145,2,28
112,392,286,154,14,32,276,142,14,33
113,390,366,159,1,27,365,145,1,28
114,391,346,154,5,27,344,142,5,28
115,391,311,156,12,31,301,144,13,32
116,389,325,156,5,37,321,143,6,38
117,342,265,152,6,32,262,140,6,35
118,279,264,131,0,30,264,120,0,31
119,390,358,155,5,30,355,142,5,32
121,392,319,163,11,30,312,150,11,31
122,392,246,157,11,37,234,144,12,38
123,387,304,158,6,33,300,145,6,34
124,382,291,157,7,41,283,145,7,41
126,388,268,157,9,41,256,145,9,42
128,389,268,156,4,37,261,143,5,38
129,369,261,155,20,45,249,142,21,46
130,354,330,148,6,40,330,139,7,40
131,387,284,157,7,40,279,145,8,41
132,393,267,156,10,40,260,144,11,41
133,269,230,137,17,48,229,130,17,49
134,330,286,144,8,45,279,135,9,45
135,45,43,87,47,58,43,86,48,58
136,290,253,138,16,44,247,130,16,45
137,336,214,146,20,47,206,137,21,47
139,241,185,135,25,52,180,128,26,53
140,33,31,84,55,63,31,83,55,63
141,32,29,84,52,63,29,83,52,62
142,33,32,84,32,45,32,83,33,45
143,41,30,86,61,75,30,85,60,74
144,41,37,84,48,65,37,83,48,64
146,27,26,84,52,61,26,83,52,61
