"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,271,262,836,0,0,262,584,0,0
5,229,223,861,0,3,223,592,0,13
8,270,262,1030,0,3,262,724,0,7
9,271,262,926,0,2,262,639,0,2
12,271,262,938,0,2,262,646,0,8
14,271,262,900,0,2,262,623,0,3
18,270,261,913,0,3,261,635,0,7
21,271,262,902,0,1,262,624,0,2
28,270,261,841,0,0,261,589,0,1
32,271,262,906,0,4,262,614,0,16
33,271,262,803,0,2,262,566,1,14
40,271,262,867,0,0,262,605,0,0
44,271,262,897,0,2,262,623,1,6
45,155,149,592,0,3,149,453,0,3
47,271,262,934,0,0,262,649,0,1
48,228,222,747,0,0,222,525,0,1
49,157,151,607,0,0,151,456,0,0
50,89,89,396,0,1,89,283,0,1
51,271,262,936,0,0,262,655,0,1
52,270,261,896,0,2,261,625,0,4
53,271,262,822,0,0,262,584,0,0
54,271,262,884,0,0,262,620,0,2
56,270,261,863,0,2,261,608,0,2
59,271,262,899,0,0,262,614,0,1
62,268,259,931,0,2,259,644,0,8
64,155,149,593,0,1,149,442,0,1
67,271,262,880,0,1,262,608,0,3
68,271,262,873,0,0,262,615,0,2
70,271,262,1047,0,2,262,741,0,4
71,271,263,1151,0,2,263,792,0,7
72,271,262,852,0,1,262,600,0,1
73,271,262,902,0,0,262,634,0,1
74,271,262,992,0,1,262,672,0,4
75,271,262,937,0,1,262,644,0,7
76,271,262,919,0,0,262,634,0,1
77,265,256,952,0,0,256,651,0,1
78,271,262,938,0,1,262,654,0,2
80,270,261,909,0,2,261,637,0,5
81,271,262,959,0,2,262,659,1,3
83,271,262,908,0,0,262,642,0,1
84,271,262,938,0,0,262,650,0,2
86,271,262,939,0,3,262,636,0,10
88,271,262,891,0,0,262,617,0,1
89,271,262,868,0,0,262,629,0,0
90,271,262,846,0,0,262,605,0,0
91,270,261,856,0,0,261,597,0,0
92,235,229,775,0,3,229,557,0,3
93,271,262,923,0,2,262,626,0,8
94,271,262,903,0,2,262,620,0,3
95,269,260,891,0,0,260,614,0,3
97,101,101,379,0,0,101,280,0,0
98,271,263,1169,0,6,263,802,0,15
100,271,262,1172,0,5,262,799,0,11
101,271,263,1161,1,5,263,794,1,13
102,271,263,1186,1,9,263,810,2,17
103,271,262,1124,0,1,262,792,0,2
104,271,262,962,0,1,262,667,0,2
105,271,263,1127,0,0,263,791,0,0
106,271,262,905,0,1,262,634,0,1
107,271,262,1054,0,2,262,718,0,8
109,271,262,1001,0,5,262,669,1,9
110,271,262,895,0,1,262,630,0,1
111,271,262,836,0,0,262,599,0,0
112,271,263,1162,0,4,263,797,1,14
113,271,262,934,0,1,262,653,0,5
114,271,263,1128,0,3,263,797,0,3
115,271,262,1163,0,7,262,802,1,21
116,271,262,916,0,0,262,622,0,1
117,224,218,752,0,0,218,535,0,0
118,156,150,613,0,2,150,458,0,2
119,271,262,882,0,0,262,605,0,2
121,271,263,1187,0,9,263,814,2,22
122,271,262,1186,1,13,262,800,2,31
123,271,262,899,0,1,262,621,0,6
124,271,262,918,0,0,262,656,0,0
126,271,262,1185,1,12,262,801,1,29
128,271,262,1177,0,6,262,810,0,18
129,271,262,1170,1,7,262,797,3,17
130,271,262,876,0,1,262,626,0,1
131,271,263,1172,1,5,263,797,1,13
132,271,263,1175,1,6,263,812,2,8
133,271,262,1111,0,3,262,766,0,13
134,271,262,1141,0,3,262,788,1,5
135,47,44,645,10,21,44,550,11,28
136,271,263,1171,0,4,263,804,0,12
137,271,262,942,0,8,262,643,2,22
139,244,235,1098,0,11,235,754,1,21
140,35,32,608,10,24,32,533,13,31
141,34,32,605,15,32,32,535,20,41
142,35,32,601,14,20,32,527,18,29
143,43,40,630,14,56,40,538,18,71
144,43,40,563,4,22,40,479,7,29
146,28,25,587,6,8,25,521,8,13
