"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,385,376,393,6,31,376,353,6,32
5,342,329,406,10,51,327,362,10,53
8,387,378,420,13,36,378,369,15,38
9,385,372,419,11,37,371,377,12,39
12,387,380,427,8,34,380,377,8,36
14,387,377,404,10,35,376,361,11,36
18,383,367,407,0,38,365,361,0,40
21,388,381,418,1,27,380,370,1,28
28,387,380,409,3,30,380,362,4,32
32,382,363,416,13,37,363,369,15,39
33,388,380,370,10,31,380,334,11,32
40,379,370,417,2,26,370,369,2,27
44,384,376,427,9,39,375,374,10,41
45,277,273,303,4,40,273,282,4,41
47,383,376,420,2,29,376,372,2,30
48,340,336,368,0,33,336,339,0,34
49,273,269,318,1,40,269,284,1,41
50,209,209,248,0,44,209,238,0,45
51,377,370,418,2,32,370,373,2,33
52,385,375,414,10,38,372,368,11,40
53,390,383,397,5,29,383,356,5,30
54,389,380,402,4,30,380,358,4,31
56,388,381,410,3,29,379,369,3,31
59,387,379,428,10,33,378,377,10,35
62,388,381,402,11,34,381,359,11,36
64,263,259,320,0,31,259,288,0,32
67,373,366,419,6,32,366,365,6,34
68,386,379,394,5,29,379,353,5,30
70,384,373,429,9,34,369,379,10,36
71,387,379,427,9,36,377,377,11,38
72,390,383,406,5,31,383,363,5,32
73,389,380,421,6,36,379,377,8,39
74,387,378,423,5,36,378,371,7,37
75,386,379,416,5,34,379,371,6,36
76,390,380,420,4,26,376,372,4,28
77,378,366,412,3,34,363,363,4,36
78,390,379,412,10,35,375,368,10,37
80,389,375,421,9,38,375,368,9,40
81,385,375,415,10,37,374,368,10,39
83,391,380,424,12,36,379,371,13,38
84,390,382,416,5,34,382,369,5,36
86,388,377,428,7,35,375,375,9,37
88,387,378,402,1,25,377,360,1,26
89,384,377,412,2,24,377,362,2,26
90,386,379,425,2,25,379,376,2,26
91,388,381,415,1,26,381,366,1,28
92,352,348,399,1,32,348,358,1,34
93,376,369,424,8,35,369,375,8,36
94,382,373,409,4,29,371,358,4,31
95,383,376,403,5,31,376,361,5,32
97,223,223,265,0,30,223,247,0,30
98,385,377,441,7,34,377,391,7,36
100,382,366,431,4,34,364,383,5,36
101,391,376,423,7,38,371,372,7,40
102,383,367,431,10,38,367,379,10,40
103,388,380,422,2,21,380,371,2,22
104,381,374,413,8,32,374,373,8,34
105,387,372,430,0,28,371,382,0,30
106,383,375,410,3,15,375,365,3,15
107,383,370,423,6,36,370,374,7,37
109,386,375,421,13,37,375,371,14,39
110,384,373,425,3,26,373,373,3,28
111,391,384,411,3,33,384,364,3,36
112,388,375,439,9,36,374,387,9,38
113,386,379,431,11,38,378,383,11,40
114,387,378,438,8,34,377,386,9,36
115,387,378,433,11,33,378,381,11,35
116,385,378,410,4,30,378,367,4,32
117,332,328,395,4,41,328,353,4,43
118,273,269,300,6,47,269,280,6,48
119,386,379,419,8,35,379,371,8,37
121,388,381,430,14,39,381,380,16,41
122,388,379,442,12,36,378,384,13,38
123,383,373,417,4,30,372,367,4,32
124,378,370,418,1,37,370,368,1,40
126,384,377,430,10,39,376,376,13,41
128,385,372,423,4,34,371,370,6,36
129,365,357,432,12,36,357,378,13,38
130,350,343,420,8,33,343,371,10,36
131,383,372,424,9,36,372,372,9,38
132,389,375,418,8,37,374,376,8,39
133,265,258,373,12,47,258,342,13,49
134,326,318,410,6,23,318,364,6,25
135,51,48,214,50,77,48,209,52,78
136,286,279,376,10,40,279,346,12,42
137,332,315,398,18,42,315,357,19,43
139,237,228,357,20,44,228,332,22,45
140,35,32,209,59,80,32,205,60,82
141,34,31,211,46,71,31,207,47,74
142,35,32,210,48,65,32,206,50,67
143,47,44,213,59,85,44,208,60,88
144,47,44,210,55,78,44,205,56,79
146,27,25,187,49,74,25,183,51,75
