"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,375,525,0,2,374,342,0,3
5,352,340,516,0,2,340,337,0,3
8,391,378,536,0,3,377,343,0,4
9,389,375,522,0,2,375,337,0,2
12,391,378,529,0,2,378,342,0,3
14,391,377,529,0,2,377,338,0,3
18,387,374,532,0,2,374,341,0,2
21,392,378,526,0,1,378,340,0,2
28,391,377,520,0,1,377,339,0,1
32,386,373,527,0,2,370,338,0,3
33,392,379,486,0,2,379,314,0,2
40,383,370,527,0,1,369,340,0,2
44,388,374,524,0,2,373,341,0,3
45,281,273,430,0,2,273,276,0,2
47,387,373,523,0,1,373,340,0,2
48,350,338,509,0,1,338,333,0,1
49,279,271,422,0,2,271,277,0,2
50,209,209,356,0,4,209,239,0,5
51,381,368,528,0,2,368,337,0,2
52,389,376,534,0,2,376,345,0,3
53,394,380,504,0,1,378,328,0,1
54,393,379,526,0,2,379,339,0,2
56,392,379,520,0,2,377,340,0,2
59,391,378,529,0,1,378,341,0,1
62,392,379,529,0,2,378,342,0,3
64,267,259,421,0,2,259,273,0,3
67,377,363,521,0,1,363,338,0,2
68,390,377,525,0,1,377,338,0,2
70,388,374,534,0,2,373,343,0,2
71,391,378,533,0,2,378,343,0,3
72,394,381,530,0,1,381,342,0,1
73,393,380,530,0,1,378,341,0,2
74,391,377,539,0,2,376,341,0,3
75,390,376,525,0,2,376,341,0,3
76,394,380,527,0,2,380,340,0,2
77,382,369,526,0,2,369,340,0,2
78,394,381,532,0,2,380,343,0,2
80,393,380,531,0,2,379,342,0,2
81,389,376,533,0,2,376,344,0,2
83,395,382,534,0,2,382,339,0,3
84,394,380,533,0,2,380,341,0,3
86,392,379,528,0,2,379,342,0,3
88,391,377,529,0,2,377,341,0,3
89,388,374,529,0,1,374,344,0,2
90,390,376,521,0,1,376,336,0,1
91,392,378,532,0,1,378,342,0,2
92,358,346,521,0,1,346,340,0,2
93,380,366,524,0,2,366,339,0,2
94,386,373,532,0,2,373,341,0,3
95,388,375,518,0,1,375,338,0,1
97,223,223,382,0,0,223,254,0,0
98,389,376,537,0,2,376,345,0,3
100,386,372,534,0,1,372,342,0,1
101,395,382,529,0,2,381,342,0,3
102,387,374,533,0,2,371,345,0,3
103,392,378,531,0,1,378,339,0,2
104,385,372,522,0,2,372,336,0,2
105,391,378,528,0,1,377,341,0,1
106,387,373,520,0,0,373,338,0,0
107,387,374,538,0,2,374,343,0,2
109,390,376,528,0,2,374,339,0,2
110,388,375,532,0,1,375,339,0,2
111,395,382,532,0,1,382,342,0,2
112,392,379,530,0,2,377,342,0,2
113,390,377,531,0,2,377,340,0,3
114,391,378,538,0,1,378,342,0,2
115,391,378,534,0,2,378,341,0,2
116,389,375,524,0,2,375,337,0,3
117,342,330,496,0,1,330,320,0,1
118,279,271,420,0,2,271,273,0,2
119,390,376,521,0,1,376,339,0,1
121,392,379,533,0,2,379,346,0,2
122,392,379,539,0,2,377,346,0,3
123,387,374,524,0,1,373,340,0,2
124,382,369,532,0,3,369,348,0,4
126,388,375,539,0,2,375,345,0,3
128,389,375,535,0,2,375,344,0,3
129,369,355,518,0,2,355,337,0,2
130,354,341,508,0,2,341,333,0,4
131,387,373,533,0,2,373,342,0,3
132,393,380,538,0,2,380,345,0,3
133,269,256,394,0,2,256,305,0,4
134,330,316,477,0,0,316,326,0,1
135,45,44,135,23,41,44,125,26,44
136,290,277,408,0,2,277,309,0,3
137,336,323,485,0,2,319,326,0,4
139,241,228,370,0,11,228,288,0,12
140,33,32,125,26,39,32,121,29,42
141,32,31,125,29,46,31,122,31,49
142,33,32,119,28,44,32,116,30,47
143,41,39,132,33,58,39,125,37,61
144,41,40,131,24,48,40,125,27,51
146,27,26,115,16,28,26,112,19,31
