"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,304,254,78,2,17,243,76,2,18
5,265,226,77,9,25,224,75,10,26
8,304,217,88,10,25,204,86,10,26
9,305,268,88,3,20,264,86,3,21
12,304,255,92,2,22,248,90,2,22
14,304,263,81,6,21,260,79,6,21
18,304,194,79,0,23,182,77,0,24
21,305,271,85,2,18,271,83,2,19
28,303,257,76,4,14,251,74,4,14
32,305,236,91,14,25,227,89,14,26
33,305,227,66,1,15,218,64,1,16
40,305,255,88,4,20,248,86,4,21
44,305,245,90,10,23,242,88,10,24
45,191,166,66,3,10,159,64,3,10
47,305,240,76,2,17,234,74,2,18
48,262,236,68,1,8,236,66,1,8
49,193,173,65,2,12,170,63,2,12
50,124,113,53,1,10,110,51,1,10
51,305,287,88,1,17,285,86,1,18
52,304,240,85,5,23,233,83,5,24
53,305,234,76,8,25,228,74,8,26
54,305,253,84,4,18,247,82,4,19
56,304,263,77,3,15,256,75,3,16
59,305,234,85,6,24,226,83,6,25
62,302,249,80,5,21,243,78,5,22
64,189,166,64,0,10,165,62,0,10
67,305,254,84,6,21,246,82,6,22
68,303,267,80,4,18,262,78,4,18
70,305,240,88,11,23,236,86,11,25
71,305,221,82,10,26,215,80,10,27
72,305,267,76,2,15,264,74,2,16
73,304,253,90,11,24,244,88,11,25
74,304,244,89,12,26,234,87,12,27
75,305,255,85,4,20,251,83,4,20
76,305,265,84,6,20,257,82,6,20
77,292,193,81,2,18,189,79,2,19
78,305,218,80,4,23,209,78,4,24
80,304,207,81,6,23,191,79,6,24
81,305,222,80,8,22,216,78,8,23
83,305,208,91,9,25,195,89,9,26
84,304,247,85,4,23,238,83,4,24
86,305,220,79,3,21,215,77,3,22
88,304,259,78,0,6,252,76,0,6
89,305,255,83,5,19,244,81,5,19
90,305,272,88,3,15,267,86,3,15
91,303,274,89,2,16,273,87,2,17
92,273,251,85,0,14,246,83,0,14
93,304,245,85,7,22,239,83,7,23
94,305,272,82,3,18,265,80,3,19
95,304,258,79,2,19,245,77,2,19
97,137,136,70,1,7,135,68,1,7
98,305,248,88,13,27,244,86,13,28
100,305,240,88,11,24,229,86,11,25
101,305,222,88,8,23,217,86,8,24
102,305,201,87,15,26,189,85,15,28
103,305,259,84,4,21,247,82,4,22
104,305,279,86,7,21,275,84,7,22
105,305,283,93,3,19,280,90,3,20
106,305,290,91,0,12,290,89,0,12
107,304,226,87,5,22,222,85,5,23
109,305,210,86,10,26,186,84,10,27
110,303,283,87,2,19,281,85,2,20
111,305,258,84,10,26,244,81,10,27
112,305,237,87,10,26,231,85,10,27
113,305,188,89,12,25,177,87,12,26
114,305,250,89,12,25,243,87,12,26
115,305,264,89,6,23,264,87,6,24
116,305,273,83,3,18,269,81,3,19
117,258,204,71,2,15,196,69,2,16
118,193,174,67,0,15,172,65,0,15
119,305,245,77,4,20,235,75,4,21
121,305,181,86,14,24,177,84,14,25
122,305,234,90,13,25,227,88,14,26
123,305,251,88,8,21,240,86,8,21
124,305,243,90,7,25,236,87,7,26
126,305,230,92,11,25,226,90,11,27
128,305,198,82,11,24,181,80,11,25
129,305,225,87,6,25,217,85,6,26
130,304,219,87,15,24,203,84,15,25
131,305,275,88,6,25,270,86,7,26
132,305,198,93,9,23,188,90,9,25
133,268,189,74,11,23,176,72,11,24
134,305,282,90,5,18,281,88,5,19
135,45,42,50,23,36,42,49,24,35
136,289,270,76,7,19,268,74,7,20
137,305,180,87,13,29,169,85,14,30
139,241,162,72,13,24,161,70,14,26
140,33,26,49,29,34,26,48,29,34
141,32,26,48,34,36,26,47,33,35
142,33,28,48,25,35,28,47,25,35
143,41,30,49,28,36,30,48,27,35
144,41,34,49,22,33,34,48,23,32
146,27,25,48,22,31,25,47,22,31
