"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,381,250,147,1,5,197,87,2,7
5,348,235,126,0,5,175,77,0,8
8,383,245,148,4,5,181,87,4,8
9,381,229,129,3,4,173,79,4,7
12,383,277,131,3,5,209,79,4,8
14,383,248,144,4,5,182,81,5,8
18,379,230,131,0,5,181,80,0,8
21,384,275,132,3,5,201,81,4,8
28,383,251,146,2,4,182,85,3,7
32,378,213,147,3,5,157,84,4,8
33,384,291,125,1,3,258,79,2,6
40,375,262,147,2,5,201,84,3,8
44,380,260,136,4,5,200,84,4,8
45,279,204,115,0,8,146,61,1,12
47,379,268,147,1,5,207,84,2,8
48,346,246,118,0,5,190,76,0,8
49,277,192,83,2,7,141,59,3,11
50,209,151,78,2,8,118,56,2,11
51,373,256,131,2,5,210,81,3,8
52,381,255,136,4,5,187,85,4,8
53,386,250,124,0,4,187,80,1,7
54,385,254,135,2,5,202,82,2,8
56,384,271,148,2,5,207,84,4,8
59,383,265,135,3,5,205,84,4,8
62,384,239,145,3,5,173,83,3,8
64,265,196,101,0,8,138,60,0,12
67,369,254,135,3,5,191,84,3,9
68,382,274,114,1,4,211,82,2,7
70,380,249,133,4,5,181,83,5,8
71,383,237,131,4,5,175,86,4,8
72,386,278,146,1,5,225,83,2,8
73,385,227,126,4,5,164,83,4,8
74,383,260,139,4,5,205,86,4,8
75,382,236,134,3,5,174,83,4,8
76,386,280,131,2,5,206,81,2,8
77,374,235,138,2,4,180,85,2,7
78,386,252,145,1,5,176,86,2,8
80,385,228,143,4,5,175,86,6,8
81,381,262,136,3,4,211,83,4,7
83,387,226,147,3,5,166,84,4,8
84,386,237,144,3,5,173,86,3,8
86,384,257,136,2,5,198,85,3,8
88,383,275,147,1,5,216,84,2,7
89,380,274,129,1,5,218,84,2,8
90,383,269,134,0,5,218,83,0,8
91,384,278,132,2,5,221,81,2,7
92,350,248,108,0,5,193,80,0,7
93,372,230,131,4,5,181,82,4,8
94,378,275,136,2,5,215,83,2,8
95,380,250,133,3,5,200,83,4,8
97,223,171,87,0,9,124,54,0,12
98,381,238,124,2,5,171,83,3,8
100,378,240,136,2,5,174,83,3,7
101,387,252,149,4,5,176,87,5,8
102,379,237,133,4,5,164,82,5,8
103,384,282,131,1,4,213,82,3,7
104,377,277,143,4,5,194,80,5,8
105,383,255,129,1,3,201,80,2,6
106,379,313,131,1,5,255,81,1,8
107,379,242,138,3,4,180,82,5,7
109,382,243,149,2,5,196,86,4,8
110,380,282,132,3,4,219,81,3,7
111,387,270,129,1,5,217,81,2,8
112,384,241,135,4,5,179,85,5,8
113,382,268,147,2,5,203,83,4,8
114,383,260,148,4,5,186,84,5,8
115,383,272,142,3,5,196,84,4,8
116,381,240,133,4,5,180,83,5,8
117,338,231,122,0,5,178,73,0,7
118,277,184,89,0,8,138,58,1,11
119,382,238,134,2,5,197,83,3,8
121,384,260,149,3,5,172,84,5,8
122,384,242,135,3,5,162,83,4,8
123,379,290,150,2,5,218,86,3,8
124,374,257,133,4,5,189,82,5,9
126,380,261,151,2,5,179,87,3,8
128,381,265,136,2,5,188,83,4,8
129,361,243,149,4,5,155,87,5,9
130,346,215,112,0,4,173,79,1,9
131,379,262,149,1,5,184,86,2,8
132,385,267,136,1,5,191,84,2,8
133,261,183,122,5,8,141,78,7,12
134,322,225,137,4,7,173,82,5,12
135,43,24,42,22,25,21,39,25,27
136,282,197,120,6,8,152,76,8,12
137,328,205,126,3,4,172,79,3,9
139,233,142,118,4,10,109,74,5,14
140,33,13,37,25,26,11,34,27,27
141,32,9,36,27,27,9,34,28,28
142,33,9,35,26,27,7,33,27,28
143,39,13,39,26,28,9,36,28,29
144,39,21,41,22,24,19,38,24,26
146,27,11,34,26,27,9,32,27,28
