"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,215,211,1124,0,0,211,787,0,0
5,173,171,1252,1,2,171,860,1,4
8,214,210,2009,0,2,210,1507,0,3
9,215,211,1652,0,0,211,1201,0,0
12,215,211,1504,0,3,211,1076,0,6
14,215,211,1214,0,1,211,829,0,2
18,215,211,1279,0,3,211,894,0,6
21,215,211,1329,0,1,211,937,0,3
28,214,210,1143,0,0,210,803,0,0
32,215,211,1268,0,3,211,854,0,9
33,215,211,841,0,1,211,589,0,2
40,215,211,1177,0,0,211,802,0,2
44,215,211,1142,0,1,211,785,0,2
45,151,149,873,0,0,149,627,0,0
47,215,211,1289,0,0,211,917,0,2
48,172,170,1041,0,0,170,728,0,0
49,150,148,823,0,0,148,576,0,0
50,89,89,610,0,1,89,444,0,1
51,215,211,1261,0,0,211,880,0,0
52,214,210,1456,0,1,210,1058,0,1
53,215,210,1126,0,0,210,809,0,0
54,215,211,1189,0,1,211,821,0,1
56,214,209,1230,0,1,209,886,0,1
59,215,211,1288,0,0,211,907,0,0
62,214,210,1390,1,2,210,1031,1,5
64,151,149,832,0,0,149,567,0,0
67,215,211,1268,0,1,211,887,0,1
68,215,211,1203,0,1,211,813,0,2
70,215,211,2028,0,1,211,1531,0,2
71,215,211,2299,0,1,211,1625,0,1
72,215,211,1123,0,0,211,794,0,0
73,215,211,1435,0,1,211,1027,0,2
74,214,210,1686,0,2,210,1249,0,4
75,215,211,1329,0,1,211,940,0,2
76,215,211,1410,0,1,211,1008,0,3
77,208,204,1722,0,0,204,1252,0,0
78,215,211,1721,0,1,211,1266,0,2
80,214,210,1703,0,1,210,1249,0,4
81,215,211,1560,0,1,211,1111,0,2
83,215,211,1301,0,1,211,905,0,1
84,215,211,1694,0,1,211,1240,0,2
86,215,211,1810,1,3,211,1319,1,5
88,215,211,1254,0,0,211,854,0,0
89,215,211,1272,0,1,211,903,0,1
90,215,211,1271,0,0,211,899,0,0
91,214,210,1254,0,0,210,890,0,0
92,179,177,1068,0,0,177,783,0,0
93,215,211,1288,0,2,211,899,0,3
94,215,211,1258,0,0,211,889,0,0
95,213,209,1230,0,2,209,831,0,5
97,101,101,711,0,0,101,516,0,0
98,215,211,2446,0,4,211,1715,0,8
100,215,211,2458,0,5,211,1745,0,8
101,215,211,2353,0,3,211,1636,0,5
102,215,211,2460,0,4,211,1742,0,7
103,215,211,2363,0,0,211,1695,0,0
104,215,211,1686,0,1,211,1227,0,2
105,215,211,2348,0,0,211,1685,0,0
106,215,211,1287,0,0,211,911,0,0
107,214,210,1937,0,1,210,1408,0,2
109,215,211,1647,1,2,211,1182,1,7
110,215,211,1344,0,0,211,936,0,0
111,215,208,337,0,0,208,291,0,0
112,215,211,2352,0,4,211,1631,0,5
113,215,211,1405,0,1,211,992,0,2
114,215,211,2298,0,0,211,1670,0,0
115,215,211,2342,0,2,211,1640,0,4
116,215,211,1232,0,0,211,850,0,0
117,167,165,1052,0,1,165,723,0,1
118,151,149,795,0,1,149,553,0,1
119,215,211,1183,0,0,211,810,0,0
121,215,211,2393,0,2,211,1662,0,4
122,215,211,2458,0,8,211,1720,1,14
123,215,211,1796,1,4,211,1270,1,7
124,215,211,1372,0,0,211,1023,0,0
126,215,211,2360,0,7,211,1638,0,11
128,215,211,2420,0,3,211,1714,0,6
129,215,211,2373,0,3,211,1638,0,4
130,215,209,623,0,0,209,529,0,0
131,215,211,2332,0,2,211,1620,0,4
132,215,211,2449,0,0,211,1722,0,0
133,215,211,2208,0,3,211,1594,0,3
134,215,211,2304,0,0,211,1614,0,0
135,47,45,1280,6,18,45,1156,6,20
136,215,211,2294,0,1,211,1613,0,2
137,215,211,1376,1,6,211,956,1,19
139,188,184,2159,0,7,184,1584,0,12
140,35,33,1043,10,18,33,970,11,19
141,34,32,1089,10,20,32,1011,10,21
142,35,33,1075,15,23,33,1001,15,23
143,43,41,1267,9,46,41,1144,11,50
144,43,41,926,5,21,41,834,5,22
146,28,26,1027,2,7,26,958,2,7
