"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,377,368,322,8,31,367,298,8,31
5,340,332,319,11,41,332,298,11,42
8,379,371,349,9,29,371,324,9,30
9,377,368,357,6,25,368,333,6,25
12,379,371,337,5,27,371,313,5,27
14,379,371,367,11,39,371,341,12,39
18,374,366,334,7,30,366,312,7,31
21,380,372,374,6,28,372,347,6,29
28,379,370,349,5,20,370,323,5,20
32,374,364,338,10,41,363,316,10,42
33,380,370,323,3,29,370,300,3,29
40,371,364,354,4,25,364,329,4,26
44,376,368,368,17,42,368,341,17,43
45,269,266,276,6,29,266,258,6,29
47,375,367,341,4,22,367,316,4,22
48,338,332,318,0,16,332,296,0,16
49,267,265,286,1,23,265,269,1,23
50,209,209,229,1,24,209,214,1,24
51,369,360,348,9,29,360,325,9,30
52,377,369,373,13,37,369,349,13,37
53,382,374,326,2,11,374,302,2,11
54,381,373,361,11,33,373,334,11,34
56,380,372,340,7,27,372,314,7,28
59,379,371,365,10,35,371,339,10,36
62,380,373,352,15,40,373,329,15,40
64,255,252,276,1,19,252,262,1,19
67,365,357,341,7,28,357,318,7,29
68,378,370,336,3,18,370,312,3,18
70,376,368,353,7,35,368,328,7,36
71,379,371,354,8,30,371,327,8,31
72,382,374,351,4,22,374,326,4,22
73,381,373,347,6,26,373,322,6,27
74,379,372,350,5,29,372,327,5,30
75,378,370,344,2,21,370,317,2,21
76,382,374,341,1,18,374,319,1,18
77,380,368,337,0,30,368,311,0,31
78,382,374,348,6,35,374,324,6,36
80,381,372,342,11,40,372,318,11,41
81,377,369,358,16,41,369,332,16,42
83,383,375,346,7,35,375,321,7,36
84,382,374,329,11,34,374,306,11,35
86,380,372,344,7,30,372,320,7,30
88,379,371,339,0,20,371,317,0,22
89,376,367,343,1,8,367,317,1,8
90,378,370,338,1,15,370,315,1,15
91,380,373,323,3,31,373,301,3,32
92,346,340,313,0,21,340,292,0,21
93,368,360,355,11,33,360,330,11,33
94,374,366,343,9,29,366,318,9,30
95,376,368,335,2,21,368,309,2,21
97,223,223,244,2,23,223,229,2,23
98,377,369,372,9,29,369,346,10,29
100,374,367,348,5,25,367,326,5,26
101,383,374,369,11,36,374,344,11,37
102,375,367,369,13,36,367,344,13,37
103,380,372,350,5,20,372,324,5,21
104,373,366,359,12,36,366,332,12,37
105,379,371,362,1,12,371,340,1,12
106,376,369,367,0,17,369,342,0,17
107,375,367,361,12,40,367,338,12,41
109,378,370,377,11,43,370,351,11,44
110,376,368,356,5,30,368,331,5,30
111,383,375,327,3,17,375,303,3,18
112,380,372,376,11,40,372,350,11,40
113,378,370,359,9,32,370,332,9,33
114,379,371,366,6,23,371,337,6,24
115,379,372,374,13,38,372,349,13,39
116,377,370,357,8,37,370,335,8,37
117,330,322,323,2,30,322,303,2,30
118,267,265,281,0,25,265,265,0,25
119,378,370,351,6,32,370,326,6,32
121,380,372,379,13,37,372,353,13,38
122,380,372,382,8,37,372,352,8,38
123,375,367,339,3,23,367,316,3,23
124,370,362,351,6,32,362,327,6,33
126,376,368,373,15,44,368,347,15,45
128,377,369,359,4,31,369,332,4,31
129,357,348,368,15,42,348,341,15,43
130,342,334,330,3,18,334,308,3,19
131,375,368,368,10,39,368,345,11,39
132,381,373,356,10,41,373,331,10,42
133,257,250,316,9,38,250,301,9,38
134,318,309,350,10,30,309,327,10,31
135,45,43,160,45,79,43,160,45,79
136,278,270,328,16,36,270,312,16,36
137,324,315,352,28,47,315,325,29,48
139,229,221,297,22,53,221,287,22,53
140,33,31,147,68,84,31,147,68,84
141,32,30,147,63,82,30,147,63,82
142,33,32,150,66,85,32,150,66,85
143,41,38,149,60,88,38,149,60,88
144,41,39,150,61,88,39,150,61,88
146,27,25,142,52,68,25,142,52,68
