"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,275,261,282,2,12,261,211,3,16
5,235,223,241,11,22,222,177,11,33
8,274,260,286,7,16,254,212,7,25
9,275,261,284,4,15,261,212,5,25
12,275,261,286,6,15,259,215,6,21
14,275,261,282,3,14,261,210,4,19
18,274,260,287,5,16,260,213,6,21
21,275,261,291,3,15,261,216,3,21
28,274,260,286,3,16,260,213,3,20
32,275,257,287,8,17,253,213,9,25
33,275,260,221,4,11,260,167,4,14
40,275,261,282,6,17,261,212,6,23
44,275,261,275,5,16,261,205,6,22
45,161,153,175,1,17,153,131,1,25
47,275,261,278,1,12,261,211,1,16
48,234,222,226,1,9,222,166,1,12
49,163,155,183,0,8,155,138,0,10
50,95,95,147,1,11,95,111,1,17
51,275,261,278,4,16,261,209,4,21
52,274,260,301,8,18,259,224,11,26
53,275,261,280,2,13,261,209,2,15
54,275,261,290,2,16,261,215,2,23
56,274,260,280,0,13,259,211,0,17
59,275,261,295,3,17,261,222,5,24
62,272,258,296,3,14,258,221,3,20
64,161,153,172,0,9,153,130,0,15
67,275,261,281,1,11,261,210,2,15
68,275,261,284,5,11,261,212,6,14
70,275,261,299,6,19,261,224,7,24
71,275,261,298,6,16,261,222,9,24
72,275,261,275,1,8,261,206,1,9
73,275,261,276,3,16,261,209,4,22
74,274,260,296,10,17,258,221,10,23
75,275,261,280,7,13,260,209,8,19
76,275,261,288,3,14,261,218,3,19
77,263,249,298,0,14,248,223,0,20
78,275,260,289,4,13,260,214,4,20
80,274,260,286,5,16,260,215,6,21
81,275,261,293,9,15,258,222,10,22
83,275,258,279,7,19,254,207,8,28
84,275,261,281,3,14,260,208,3,20
86,275,261,296,5,17,261,220,5,24
88,275,261,284,1,9,261,215,1,14
89,275,261,279,4,10,261,210,4,11
90,275,261,287,1,10,261,219,1,11
91,274,260,281,1,14,260,213,1,19
92,243,231,258,0,14,231,191,0,18
93,274,260,289,7,20,259,217,7,27
94,275,261,285,0,11,261,211,2,16
95,273,259,279,1,12,259,207,1,16
97,107,107,153,0,4,107,114,0,7
98,275,261,303,6,15,261,227,8,23
100,275,261,302,4,14,261,225,4,18
101,275,261,302,6,19,260,226,8,26
102,275,259,306,9,18,256,228,12,27
103,275,261,295,3,10,261,221,4,16
104,275,261,296,1,17,261,223,3,25
105,275,261,301,3,9,261,227,3,14
106,275,261,289,0,7,261,216,0,8
107,274,260,303,7,19,260,226,8,27
109,275,261,297,6,18,255,222,8,28
110,275,261,286,3,10,261,215,3,13
111,275,261,291,6,13,261,220,6,18
112,275,261,305,4,17,260,229,6,28
113,275,261,289,3,15,260,216,3,20
114,275,261,297,8,16,261,221,12,23
115,275,261,303,5,18,261,226,6,27
116,275,261,286,1,11,261,213,2,15
117,229,217,224,1,17,217,167,2,20
118,162,154,181,5,18,154,138,5,23
119,275,261,281,1,10,261,210,1,12
121,275,261,305,11,21,257,229,15,32
122,275,261,304,8,19,261,228,9,29
123,275,261,287,8,14,261,213,8,21
124,275,260,289,6,17,260,215,8,21
126,275,261,308,8,19,260,228,12,30
128,275,261,300,7,15,261,225,7,25
129,275,261,312,1,17,260,233,2,25
130,275,261,299,11,18,261,222,13,24
131,275,261,301,5,19,260,226,5,30
132,275,261,309,4,16,261,229,5,23
133,269,255,286,6,19,255,219,10,29
134,275,261,297,0,11,261,222,0,17
135,45,43,188,16,30,43,169,20,38
136,275,261,298,1,14,261,224,1,22
137,275,255,294,10,20,241,216,10,28
139,242,228,274,3,18,228,220,3,26
140,33,31,147,28,42,31,137,28,42
141,32,30,147,30,45,30,138,33,47
142,33,31,146,23,31,31,137,27,33
143,41,39,179,25,46,39,161,32,50
144,41,39,162,26,44,39,148,29,48
146,27,25,139,12,20,25,129,13,22
