"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,383,374,1062,15,76,374,858,20,98
5,344,339,1091,24,99,339,909,35,135
8,385,376,1220,29,88,376,985,33,122
9,383,374,1233,14,73,374,1006,18,104
12,385,376,1200,21,80,376,972,22,107
14,386,377,1123,4,87,377,905,6,118
18,382,373,1180,0,85,373,949,0,116
21,386,377,1211,18,75,377,977,21,104
28,385,376,1123,19,69,376,899,21,93
32,380,371,1218,27,104,371,971,38,142
33,386,377,1044,17,82,377,851,22,109
40,377,368,1155,25,64,368,936,29,91
44,382,373,1176,17,89,373,950,18,119
45,273,267,854,19,76,267,704,21,106
47,381,372,1175,7,61,372,946,7,88
48,342,336,961,9,66,336,794,10,87
49,271,265,777,7,60,265,643,8,82
50,210,210,597,3,65,210,495,3,81
51,375,366,1187,14,69,366,957,17,94
52,383,374,1267,23,84,374,1028,25,121
53,388,379,1053,18,66,379,845,19,88
54,387,378,1191,9,73,378,964,9,102
56,386,377,1200,19,69,377,969,20,93
59,385,376,1247,23,81,376,1010,28,111
62,386,377,1197,16,82,377,969,19,113
64,259,253,841,9,59,253,694,10,81
67,371,362,1198,19,84,362,965,26,114
68,384,375,1068,9,65,375,867,11,82
70,382,373,1281,24,76,373,1036,30,111
71,385,376,1199,20,71,376,970,25,99
72,388,379,1094,12,60,379,876,14,82
73,388,379,1206,6,77,379,965,10,110
74,386,377,1226,0,78,377,991,0,109
75,384,375,1181,20,83,375,969,24,104
76,388,379,1269,14,66,379,1042,19,87
77,382,372,1187,0,89,372,963,0,122
78,388,379,1202,18,82,379,966,23,116
80,387,378,1211,20,92,378,978,28,128
81,384,375,1206,8,84,375,970,14,122
83,389,380,1167,20,80,380,935,28,117
84,389,380,1190,8,73,380,960,8,106
86,387,378,1214,7,80,378,994,9,110
88,386,377,1116,4,69,377,890,5,95
89,382,373,1126,8,52,373,914,9,67
90,385,376,1151,0,52,376,936,0,67
91,387,378,1197,2,60,378,971,3,86
92,350,344,1123,8,56,344,932,9,81
93,374,366,1130,23,83,366,908,28,111
94,380,371,1088,13,81,371,874,14,109
95,382,373,1122,2,64,373,906,3,83
97,223,223,651,6,66,223,538,8,87
98,383,374,1243,23,82,374,1003,27,111
100,380,371,1241,16,72,371,999,24,98
101,389,380,1225,25,91,380,997,31,124
102,381,372,1243,15,88,372,998,20,122
103,386,377,1208,25,72,377,969,32,101
104,379,370,1184,21,77,370,956,24,109
105,385,376,1238,7,65,376,1002,12,89
106,381,372,1196,10,61,372,972,11,83
107,382,373,1221,0,87,373,990,0,116
109,384,375,1310,15,94,375,1071,21,127
110,383,374,1208,3,68,374,982,4,96
111,389,380,1180,13,56,380,955,16,76
112,386,377,1307,24,95,377,1065,32,130
113,384,375,1224,18,83,375,986,24,111
114,385,376,1191,19,73,376,965,23,97
115,385,376,1274,19,92,376,1026,22,124
116,383,374,1151,16,79,374,930,19,102
117,335,329,1052,0,71,329,871,1,99
118,271,265,835,4,65,265,689,5,88
119,384,376,1160,20,79,376,936,28,112
121,386,377,1294,26,105,377,1043,34,144
122,386,377,1325,24,101,377,1084,33,140
123,381,372,1191,21,72,372,968,25,95
124,376,367,1185,14,86,367,968,17,113
126,382,373,1324,25,106,373,1072,32,145
128,383,374,1191,21,91,374,965,24,125
129,363,353,1296,29,110,353,1059,36,144
130,348,340,1173,13,68,340,955,19,89
131,381,373,1264,17,90,373,1029,22,125
132,387,378,1324,10,96,378,1081,11,128
133,263,254,1163,33,105,254,958,43,138
134,324,314,1216,30,84,314,985,37,115
135,47,44,732,144,232,44,660,146,230
136,284,275,1190,27,103,275,980,30,136
137,330,321,1115,33,118,321,904,38,151
139,236,227,1124,21,123,227,931,25,153
140,35,32,685,168,219,32,622,166,220
141,34,31,697,165,224,31,631,161,225
142,35,32,696,129,171,32,630,129,174
143,43,40,726,192,293,40,655,193,296
144,43,40,718,152,238,40,654,155,240
146,28,25,668,129,174,25,608,129,173
