"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,381,371,273,0,0,371,202,0,0
5,346,336,291,0,0,336,224,0,0
8,383,373,337,0,0,373,224,0,0
9,381,371,297,0,0,371,212,0,0
12,383,373,331,0,0,373,233,0,0
14,383,373,299,0,0,373,214,0,0
18,379,369,298,0,0,369,213,0,0
21,384,374,302,0,0,374,208,0,0
28,383,373,282,0,0,373,204,0,0
32,378,368,292,0,0,368,212,0,0
33,384,374,272,0,1,374,194,0,1
40,375,365,281,0,0,365,202,0,0
44,380,370,301,0,0,370,216,0,0
45,279,273,239,0,0,273,191,0,0
47,379,369,283,0,0,369,206,0,0
48,344,334,285,0,0,334,213,0,0
49,277,271,247,0,0,271,200,0,0
50,209,209,182,0,0,209,156,0,0
51,373,363,286,0,0,363,209,0,0
52,381,371,304,0,0,371,215,0,0
53,386,376,296,0,0,376,212,0,0
54,385,375,291,0,0,375,210,0,0
56,384,374,283,0,0,374,202,0,0
59,383,373,286,0,0,373,212,0,0
62,384,374,303,0,1,374,211,0,1
64,265,259,244,0,0,259,195,0,0
67,369,359,294,0,0,359,211,0,0
68,382,370,287,0,0,370,203,0,0
70,380,370,347,0,0,370,232,0,0
71,383,373,392,0,0,373,264,0,0
72,386,376,295,0,0,376,213,0,0
73,385,375,302,0,0,375,222,0,0
74,383,373,356,0,0,373,237,0,0
75,382,372,316,0,0,372,225,0,0
76,386,376,317,0,0,376,218,0,0
77,378,368,318,0,0,368,229,0,0
78,386,376,341,0,0,376,224,0,0
80,385,375,351,0,0,375,238,0,0
81,381,371,307,0,0,371,222,0,0
83,387,377,317,0,0,377,226,0,0
84,386,376,347,0,0,376,231,0,0
86,384,374,335,0,0,374,223,0,0
88,383,373,296,0,0,373,210,0,0
89,380,370,301,0,0,370,219,0,0
90,382,372,281,0,0,372,207,0,0
91,384,374,277,0,0,374,201,0,0
92,347,337,270,0,0,337,205,0,0
93,372,362,313,0,0,362,226,0,0
94,378,368,281,0,0,368,203,0,0
95,380,370,322,0,0,370,231,0,0
97,223,223,199,0,0,223,166,0,0
98,381,371,426,0,0,371,289,0,0
100,378,368,419,0,0,368,288,0,0
101,387,377,422,0,0,377,291,0,0
102,379,369,427,0,0,369,292,0,0
103,384,374,414,0,0,374,281,0,0
104,377,367,305,0,0,367,219,0,0
105,383,373,404,0,0,373,283,0,0
106,379,369,312,0,0,369,229,0,0
107,379,369,337,0,0,369,225,0,0
109,382,372,345,0,0,372,236,0,0
110,380,370,333,0,0,370,235,0,0
111,387,377,263,0,0,377,197,0,0
112,384,374,430,0,0,374,294,0,0
113,382,372,317,0,0,372,215,0,0
114,383,373,418,0,0,373,293,0,0
115,383,373,417,0,1,373,290,0,1
116,381,371,333,0,0,371,237,0,0
117,336,326,258,0,0,326,200,0,0
118,276,270,234,0,0,270,193,0,0
119,382,372,264,0,0,372,198,0,0
121,384,374,415,0,3,374,292,0,3
122,384,374,424,0,0,374,291,0,0
123,379,369,335,0,1,369,240,0,1
124,374,364,318,0,0,364,227,0,0
126,380,370,430,0,1,370,298,0,1
128,381,371,416,0,0,371,286,0,0
129,361,350,418,0,1,350,288,0,1
130,346,336,288,0,0,336,214,0,0
131,379,369,421,0,0,369,293,0,0
132,385,375,428,0,0,375,294,0,0
133,261,251,348,0,0,251,247,0,0
134,322,311,377,0,0,311,266,0,0
135,43,43,163,1,3,43,106,0,2
136,282,272,365,0,0,272,259,0,0
137,328,318,311,0,6,318,227,0,6
139,233,223,345,0,0,223,242,0,1
140,33,33,160,1,2,33,106,0,2
141,32,32,163,0,6,32,106,0,4
142,33,33,165,0,0,33,106,0,1
143,39,39,164,1,6,39,106,0,5
144,39,39,163,0,1,39,106,0,0
146,27,27,151,0,0,27,99,0,0
