"STORE","n_weeks","n_menus","n_upcs","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,391,375,389,0,0,375,252,0,5
5,352,338,379,0,4,338,243,0,12
8,393,377,467,0,6,377,313,0,15
9,391,375,444,0,3,375,269,0,9
12,393,377,452,0,3,377,282,0,11
14,393,376,417,0,3,376,259,0,10
18,389,372,401,0,4,372,256,0,14
21,394,378,425,0,3,378,263,0,5
28,393,376,399,0,1,376,252,0,4
32,388,372,423,0,4,372,265,1,14
33,394,377,330,0,0,377,221,0,2
40,385,369,395,0,2,369,249,0,5
44,390,374,407,0,2,374,249,0,9
45,281,271,319,0,1,271,217,0,5
47,389,373,417,0,0,373,259,0,4
48,350,336,362,0,1,336,237,0,2
49,279,269,303,0,1,269,208,0,1
50,209,209,240,0,3,209,164,0,8
51,383,367,382,0,1,367,251,0,7
52,391,375,417,0,1,375,259,1,8
53,396,380,402,0,0,380,251,0,4
54,395,379,396,0,0,379,253,0,6
56,394,377,412,0,0,377,254,0,5
59,393,376,398,0,3,376,258,0,8
62,394,378,419,0,2,378,266,1,9
64,267,257,304,0,0,257,205,0,0
67,379,363,405,0,3,363,247,0,9
68,392,376,403,0,2,376,246,0,8
70,390,374,478,0,3,374,315,0,8
71,393,377,513,0,4,377,338,0,8
72,396,379,401,0,0,379,255,0,6
73,395,379,419,0,1,379,263,0,8
74,393,376,495,0,1,376,325,0,6
75,392,375,424,0,4,375,264,0,11
76,396,380,443,0,1,380,280,1,12
77,389,373,443,0,0,373,279,0,5
78,396,379,452,0,1,379,298,0,6
80,395,379,476,0,8,379,303,0,18
81,391,375,442,0,6,375,273,1,13
83,397,381,434,0,2,381,274,0,11
84,396,381,464,0,5,381,310,0,11
86,394,378,476,0,5,378,308,1,16
88,393,377,404,0,0,377,254,0,6
89,390,374,402,0,1,374,263,0,5
90,392,376,399,0,0,376,258,0,5
91,394,378,407,0,0,378,261,0,1
92,356,342,366,0,0,342,245,0,4
93,382,365,414,0,3,365,259,0,12
94,388,371,401,0,1,371,253,0,4
95,390,374,410,0,0,374,254,0,7
97,223,223,262,0,3,223,184,0,4
98,391,376,542,0,7,376,350,1,14
100,388,373,549,0,8,373,349,2,15
101,397,381,539,0,7,381,351,0,12
102,389,373,554,0,6,373,354,0,17
103,394,378,523,0,1,378,347,0,2
104,387,371,432,0,3,371,269,0,8
105,393,378,514,0,2,378,339,0,5
106,389,373,418,0,0,373,269,0,2
107,389,373,485,0,5,373,316,0,15
109,392,375,485,0,3,375,321,1,12
110,390,375,438,0,2,375,287,0,6
111,397,381,381,0,0,381,244,0,5
112,394,378,539,0,8,378,355,2,16
113,392,375,439,0,1,375,281,1,8
114,393,378,537,0,3,378,349,1,11
115,393,376,558,0,8,376,360,0,14
116,391,374,429,0,1,374,269,0,4
117,342,328,342,0,1,328,231,0,5
118,278,268,305,0,2,268,210,0,4
119,392,376,398,0,3,376,254,0,6
121,394,378,556,0,7,378,360,0,14
122,394,380,547,0,10,380,353,1,18
123,389,375,455,0,3,375,287,0,11
124,384,368,416,0,3,368,253,0,11
126,390,375,551,0,8,375,357,1,15
128,391,375,532,0,8,375,346,2,18
129,371,355,531,0,7,355,342,0,13
130,356,340,392,0,2,340,251,0,7
131,389,374,529,0,9,374,342,0,15
132,395,380,544,0,5,380,352,0,13
133,271,255,453,1,10,255,322,1,16
134,332,314,487,0,2,314,329,0,6
135,47,45,251,9,25,45,203,10,31
136,292,277,459,0,9,277,315,0,10
137,338,321,413,2,3,321,260,4,12
139,243,227,426,0,12,227,305,1,18
140,35,33,232,6,18,33,198,7,22
141,34,32,244,5,18,32,201,5,20
142,35,33,244,5,19,33,202,5,20
143,43,41,247,18,39,41,201,21,45
144,43,42,245,13,26,42,199,14,31
146,28,27,221,7,14,27,196,8,15
