local_idx,UPC,n_weeks_offered,tot_move
0,1122542322,33,12629
1,3040000108,33,12629
2,3040001869,33,12629
3,3700063037,33,12629
4,3700063087,33,12629
5,3700063251,33,12629
6,3700063261,33,12629
7,3700063263,33,12629
8,3700063264,33,12629
9,3700063527,33,12629
10,3700063903,33,12629
11,3828111185,33,12629
12,3828111265,33,12629
13,3828111287,33,12629
14,4200022400,33,12629
15,4200024600,33,12629
16,4200024700,33,12629
17,5400014190,33,12629
18,5400017000,33,12629
19,5400017400,33,12629
20,5400017600,33,12629
21,5400017700,33,12629
22,5400019600,33,12629
23,5400019610,33,12629
24,7331025205,33,12629
25,7331027030,33,12629
26,5400019660,32,12260
27,5400019920,30,11463
28,5400019550,30,11435
29,3828111184,21,8025
30,3600019244,4,1590
31,3600019118,3,1194
32,3700006579,1,399
33,3700006739,1,399
34,4200024000,1,397
