local_idx,UPC,n_weeks_offered,tot_move
0,1111189206,27,10422
1,1111189209,27,10422
2,2420004855,27,10422
3,3700090404,27,10422
4,3700091493,27,10422
5,3700091807,27,10422
6,3700091828,27,10422
7,3700091829,27,10422
8,3700091855,27,10422
9,3700092263,27,10422
10,3700092291,27,10422
11,3700092297,27,10422
12,3700092787,27,10422
13,3700093678,27,10422
14,3700097081,27,10422
15,9451400150,27,10422
16,1111187049,26,10047
17,1111187098,26,10047
18,3700091859,26,10047
19,3320009500,26,10043
20,3700097139,26,10043
21,1111148006,26,10040
22,3700091806,26,10039
23,3700091766,26,10038
24,3700093675,26,10038
25,2420004895,26,10037
26,3320006410,26,10037
27,3700092786,26,10033
28,3700092283,25,9669
29,1111189004,25,9664
30,6233806160,25,9658
31,9451400038,25,9655
32,3700091442,25,9651
33,3700093244,25,9651
34,3500049900,25,9648
35,3700097800,25,9637
36,3700093243,24,9281
37,2420001818,24,9273
38,3700080190,24,9260
39,3700080188,24,9257
40,5460000860,24,9257
41,3700091856,24,9252
42,3700080191,24,9228
43,3700095118,24,9228
44,3828128099,23,8886
45,1111187053,23,8876
46,3700093673,23,8870
47,6233809383,23,8860
48,1111148001,23,8846
49,3700092290,22,8489
50,3700097089,22,8477
51,3700097080,22,8476
52,3700080193,21,8119
53,3320009520,21,8115
54,5460000870,20,7751
55,1111187041,20,7718
56,1111142434,20,7713
57,2420008952,20,7707
58,3700091497,20,7692
59,1111187050,20,7680
60,3700093257,19,7353
61,9451400230,19,7310
62,3700093721,18,6963
63,3828128321,18,6943
64,1111189198,18,6936
65,3700080192,18,6930
66,3700095136,18,6921
67,3700080194,17,6589
68,1111135091,17,6552
69,1111135104,17,6541
70,6233806130,17,6482
71,1111189566,16,6264
72,1111142142,16,6185
73,3320006850,16,6168
74,3700093011,16,6167
75,3828128305,16,6155
76,1111189529,15,5880
77,1111189597,15,5880
78,3700080185,15,5776
79,3700093245,15,5771
80,3700090961,15,5770
81,1111141004,15,5768
82,3700093501,15,5753
83,3320006400,14,5467
84,1111187023,14,5420
85,5460000660,14,5400
86,3700093254,14,5378
87,3828128203,14,5351
88,3700093676,13,5022
89,3700080195,13,5016
90,1111141010,13,5010
91,3828128249,13,4976
92,1111189379,13,4927
93,1111189479,13,4927
94,1111189579,13,4927
95,3320006350,12,4719
96,1111141203,12,4635
97,3828128309,12,4609
98,3700092785,11,4263
99,3828128325,11,4232
100,3320006750,11,4229
101,1111148526,10,3937
102,5460000670,9,3491
103,3700080183,8,3073
104,3828128245,8,3044
105,1111141105,8,3040
106,1111187055,8,3030
107,3828128313,8,3026
108,3700080184,7,2681
109,3700030373,4,1590
110,3700093241,4,1572
111,3700030366,3,1191
112,3700030295,2,796
113,1111148502,2,795
114,7506400090,1,392
