choice_set,item,n_choices,n_chosen,cp,n_weeks_offered
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",0,595,455,0.764705882352941,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",1,595,4,0.00672268907563025,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",2,595,1,0.00168067226890756,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",3,595,0,0,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",4,595,2,0.00336134453781513,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",5,595,0,0,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",6,595,8,0.0134453781512605,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",7,595,63,0.105882352941176,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",8,595,18,0.0302521008403361,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",11,595,0,0,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",13,595,1,0.00168067226890756,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",16,595,7,0.0117647058823529,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",18,595,0,0,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",21,595,0,0,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",22,595,0,0,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",28,595,10,0.0168067226890756,2
"[0,1,2,3,4,5,6,7,8,11,13,16,18,21,22,28,29]",29,595,26,0.0436974789915966,2
"[0,1,2,3,4,5,6,7,8,9,10,11,12,15,17,19,20]",0,1708,1475,0.863583138173302,5
"[0,1,2,3,4,5,6,7,8,9,10,11,12,15,17,19,20]",1,1708,0,0,5
"[0,1,2,3,4,5,6,7,8,9,10,11,12,15,17,19,20]",2,1708,0,0,5
"[0,1,2,3,4,5,6,7,8,9,10,11,12,15,17,19,20]",3,1708,25,0.0146370023419204,5
"[0,1,2,3,4,5,6,7,8,9,10,11,12,15,17,19,20]",4,1708,16,0.00936768149882904,5
