local_idx,UPC,n_weeks_offered,tot_move
0,1480000034,47,17672
1,1480000039,47,17672
2,1480031656,47,17672
3,1480051324,47,17672
4,2500001138,47,17672
5,2500001139,47,17672
6,2500001151,47,17672
7,2500001170,47,17672
8,2800000830,47,17672
9,2800000850,47,17672
10,2800000860,47,17672
11,2800000870,47,17672
12,2800000890,47,17672
13,3120020005,47,17672
14,3120020007,47,17672
15,3120020035,47,17672
16,3120021007,47,17672
17,3120022007,47,17672
18,3120026107,47,17672
19,3120026134,47,17672
20,3120027327,47,17672
21,3120027407,47,17672
22,3120027434,47,17672
23,3120027627,47,17672
24,3120029227,47,17672
25,3120033004,47,17672
26,3120033027,47,17672
27,3732312061,47,17672
28,3828103009,47,17672
29,3828103017,47,17672
30,3828103025,47,17672
31,3828103091,47,17672
32,3828103123,47,17672
33,3828103163,47,17672
34,3828103167,47,17672
35,3828103171,47,17672
36,3828103175,47,17672
37,3828103179,47,17672
38,3828103183,47,17672
39,3828103187,47,17672
40,3828103219,47,17672
41,4180020750,47,17672
42,4180021800,47,17672
43,4180022000,47,17672
44,4180022700,47,17672
45,4850000193,47,17672
46,4850000198,47,17672
47,4850000200,47,17672
48,4850000206,47,17672
49,4850000304,47,17672
50,5020006130,47,17672
51,5100000439,47,17672
52,5100000803,47,17672
53,5300015108,47,17672
54,5300015132,47,17672
55,5300015154,47,17672
56,5300015215,47,17672
57,7045011328,47,17672
58,7059085425,47,17672
59,2500001148,46,17319
60,3120021005,46,17319
61,3120026105,46,17319
62,3120027007,46,17319
63,3120037007,46,17319
64,3828103005,46,17319
65,3828103159,46,17319
66,3828103195,46,17316
67,75379200204,46,17316
68,5100004498,46,17315
69,5100000285,46,17313
70,2500001154,46,17311
71,75379200206,46,17305
72,3828103021,46,17300
73,7045011401,46,17291
74,3120029007,46,17287
75,4850000449,46,17287
76,7045011402,46,17282
77,3120020010,46,17280
78,2870000308,45,16964
79,3120027005,45,16950
80,75379200202,45,16943
81,4140900006,45,16941
82,3828103215,45,16924
83,5020036070,45,16919
84,2870010271,45,16910
85,3828103211,44,16610
86,4180071500,44,16610
87,3120027424,44,16607
88,2500001149,44,16595
89,2870010224,44,16558
90,3828103033,44,16544
91,5300015407,44,16529
92,4850000503,44,16520
93,4850000195,44,16493
94,3120035760,43,16208
95,3828103191,43,16197
96,7059082020,43,16190
97,5020001124,43,16163
98,4180025200,43,16151
99,3120026110,42,15869
100,7059081820,42,15837
101,3120029107,42,15766
102,7045011864,42,15747
103,2800000840,41,15361
104,4180071600,40,15158
105,5020001058,40,15060
106,4850000502,40,14976
107,3120000542,40,14905
108,4180025300,39,14610
109,7059011025,39,14547
110,2870000029,39,14508
111,3120020000,39,14508
112,3732313314,39,14508
113,4850000303,39,14508
114,5100006611,39,14508
115,7059082220,38,14351
116,1480000032,38,14155
117,75379200203,38,14150
118,75379200205,38,14144
119,7059032625,37,13790
120,7059081920,36,13565
121,3120027405,36,13523
122,3732312065,36,13387
123,1480033800,35,13368
124,7059088125,35,13051
125,4176000394,35,12998
126,2500002278,35,12988
127,5100000485,35,12954
128,3828103115,34,12855
129,4180024900,34,12646
130,2500002277,34,12563
131,2500002279,34,12563
132,1122541602,32,12023
133,7059087225,32,11955
134,3120024927,31,11904
135,3120034000,31,11904
136,3120034014,31,11904
137,4176000495,30,11508
138,3120034020,29,11165
139,3120034060,29,11162
140,2400002706,28,10754
141,2400002719,28,10730
142,3732312069,28,10434
143,2500002276,28,10307
144,3120021010,24,9238
145,7000551012,23,8425
146,4900002314,23,8372
147,5200003805,23,8372
148,5200003925,23,8372
149,5200003940,23,8372
150,5200032669,23,8372
151,5200032891,23,8372
152,5200032895,23,8372
153,5200033777,23,8372
154,5200033820,23,8372
155,5200033830,23,8372
156,5200033831,23,8372
157,5200033832,23,8372
158,5200033833,23,8372
159,5200033934,23,8372
160,7045011080,22,8049
161,4176000600,22,8040
162,5200033590,22,8004
163,5200032892,22,7997
164,7059001001,20,7790
165,7059005401,20,7790
166,1200000756,20,7265
167,5200033587,20,7257
168,7059006401,19,7405
169,1200000314,19,6902
170,1200000734,19,6878
171,1200000735,19,6878
172,1200000757,19,6878
173,4900001921,19,6878
174,4900001923,19,6878
175,4900002450,19,6878
176,5200032616,19,6878
177,5200032873,19,6878
178,5200032874,19,6878
179,5200032894,19,6878
180,5200033581,19,6878
181,5200033776,19,6878
182,5200033778,19,6878
183,5200033780,19,6878
184,5200033836,19,6878
185,5200032111,18,6521
186,1200000277,17,6158
187,1200000272,15,5437
188,5100002025,14,5495
189,5100006992,14,5495
190,2500001206,13,5109
191,3120025027,13,4929
192,7630172353,13,4696
193,2500001209,12,4714
194,3828103223,12,4657
195,7059005501,12,4626
196,4176029290,10,3945
197,2500001158,9,3555
198,2500001169,9,3555
199,4850000199,9,3555
200,75379200201,9,3555
201,75379200207,9,3555
202,1480052322,8,3144
203,7630172653,8,2866
204,1200000315,6,2211
205,2500002280,5,1775
206,3120037004,4,1590
207,7630172213,4,1427
208,2500002275,3,1062
209,2800000820,1,399
210,2800000821,1,399
211,2800000822,1,399
212,2800000823,1,399
