local_idx,UPC,n_weeks_offered,tot_move
0,3828161001,35,13370
1,3828161037,35,13370
2,3828161041,35,13370
3,30045046850,35,13370
4,30573015020,35,13370
5,3680012904,34,13005
6,30045046824,34,12996
7,32586610504,34,12979
8,30045044907,34,12978
9,3828161075,34,12973
10,32586610501,34,12972
11,31981000166,33,12600
12,30573015030,33,12597
13,30009346302,33,12595
14,32586610502,33,12593
15,30045048224,33,12591
16,30045044909,33,12589
17,30045012450,33,12587
18,31981000296,32,12249
19,30573016020,32,12247
20,3828161043,32,12235
21,3828161073,32,12230
22,30045046870,32,12230
23,30045044905,32,12216
24,30573015040,32,12207
25,30573016530,32,12200
26,32586610503,32,12182
27,3828161239,31,11851
28,31284310112,31,11848
29,3828161069,31,11847
30,30045012410,30,11479
31,3828161077,30,11444
32,30045017624,30,11439
33,3828161061,29,11124
34,4116730012,29,11120
35,30009348102,29,11105
36,3828161039,29,11081
37,31284310117,29,11061
38,30009348103,28,10696
39,30573016520,28,10691
40,3680062378,28,10682
41,31981007729,28,10658
42,3828161053,27,10288
43,31981000021,27,10288
44,34969290120,26,9925
45,30045012424,26,9920
46,31981000182,26,9913
47,30045049960,26,9911
48,3828161003,26,9885
49,30009346303,25,9579
50,31284317252,25,9579
51,31981000023,25,9561
52,30045047824,25,9549
53,31284315250,25,9548
54,30573016030,25,9529
55,3680059917,25,9527
56,31981007672,25,9526
57,30573016540,25,9523
58,31981000619,25,9517
59,31284310238,25,9485
60,30045047850,24,9165
61,31981000291,24,9150
62,30045049642,24,9135
63,30045018220,24,9119
64,3680059916,23,8803
65,3680019972,23,8754
66,30045046865,23,8745
67,32586610506,22,8442
68,31284316346,22,8441
69,3828161017,22,8382
70,31981000911,22,8381
71,30009346304,22,8362
72,34969290360,22,8353
73,31284316463,22,8339
74,31981000322,22,8335
75,3828161009,22,8319
76,34969290236,21,8047
77,7430000438,21,8035
78,31981000891,21,8032
79,31284312422,21,8020
80,30573016040,21,8008
81,32586600003,21,8006
82,3828161065,21,7981
83,30045048250,21,7963
84,30573015046,21,7962
85,31284310111,20,7681
86,32586600004,20,7662
87,3828161013,20,7649
88,31981007961,20,7623
89,30045044965,20,7621
90,30045045224,20,7612
91,31981000022,20,7608
92,30573016543,20,7576
93,30045049968,20,7565
94,3680014746,19,7295
95,31284310239,19,7280
96,30045049932,19,7274
97,3680012892,19,7248
98,31284314357,19,7230
99,31284320234,19,7216
100,31981000893,19,7198
101,31192662108,18,6939
102,31981000526,18,6912
103,30009348123,18,6885
104,30573020025,18,6883
105,30009377002,18,6880
106,30045049650,18,6879
107,3680051754,18,6877
108,4116731023,18,6870
109,35310018624,18,6869
110,31284390207,18,6863
111,31284310605,18,6830
112,30573013021,17,6639
113,31981007067,17,6630
114,30083023588,17,6539
115,3680019234,17,6531
116,31284316128,17,6512
117,7430000609,17,6496
118,30045046860,17,6487
119,32586610505,17,6458
120,31981000165,17,6454
121,30045049660,17,6448
122,3828161281,17,6444
123,30573015036,16,6217
124,30009348101,16,6148
125,31284360257,16,6131
126,31981000624,16,6094
127,30573020045,16,6036
128,30045017650,16,6031
129,30573013020,16,5999
130,3680059918,15,5766
131,31981000297,15,5735
132,30573016546,15,5722
133,31981000293,15,5715
134,30573014020,15,5704
135,31284360258,15,5699
136,30573020065,15,5684
137,31284310120,15,5673
138,30573013030,15,5671
139,30573016536,14,5452
140,30045045250,14,5390
141,30009377003,14,5368
142,3828161237,14,5362
143,31015804302,14,5362
144,30573020035,14,5355
145,30573016046,14,5335
146,30573031020,14,5332
147,31284315249,14,5328
148,31284310514,13,4988
149,30009364801,13,4984
