local_idx,UPC,n_weeks_offered,tot_move
0,1230000010,35,13370
1,1230000020,35,13370
2,1230000024,35,13370
3,1230000026,35,13370
4,1230000028,35,13370
5,2610000304,35,13370
6,2610000334,35,13370
7,2610000344,35,13370
8,2610000364,35,13370
9,2610000644,35,13370
10,1230000022,34,13005
11,2610000274,34,13005
12,1230000092,33,12627
13,1230000030,33,12613
14,1230000029,33,12612
15,1230000033,33,12581
16,1230000011,32,12205
17,2610000284,31,11878
18,1230000090,31,11871
19,1230000017,30,11511
20,2610000294,30,11510
21,1230000025,30,11447
22,1230000018,29,11066
23,1230000051,28,10729
24,1230000014,28,10721
25,1230000013,28,10701
26,1230000007,27,10375
27,1230070399,26,9971
28,1230000001,26,9937
29,1230000012,26,9932
30,2610000354,26,9914
31,2610000264,26,9903
32,2610000374,26,9870
33,2720000217,24,9299
34,1230019013,24,9160
35,1230011813,24,9102
36,2610000634,23,8920
37,2610000570,23,8763
38,1230000004,23,8741
39,1230000019,22,8482
40,2720000216,22,8473
41,1230000002,22,8386
42,1230021678,21,8157
43,1230000067,21,8095
44,2610000164,21,8054
45,1230000031,21,8052
46,2610000740,19,7285
47,1230012413,19,7255
48,2610000424,19,7237
49,1230000072,19,7223
50,1230071099,17,6467
51,1230011013,17,6451
52,2720000239,16,6128
53,2720000253,16,6128
54,2820000101,16,6128
55,2820000110,16,6128
56,2820000111,16,6128
57,2820000156,16,6128
58,2820000159,16,6128
59,2820000160,16,6128
60,2820000162,16,6128
61,2820000163,16,6128
62,2820000801,16,6128
63,2820000818,16,6128
64,2820000819,16,6128
65,2820000850,16,6128
66,2820000852,16,6128
67,2820000863,16,6128
68,2820000864,16,6128
69,2820000865,16,6128
70,2820000866,16,6128
71,2820000869,16,6128
72,2820000871,16,6128
73,4330000003,16,6128
74,4330000035,16,6128
75,2820000161,15,5757
76,1230020055,15,5745
77,4330000016,15,5744
78,2720000254,15,5742
79,2720000252,15,5741
80,2820000890,15,5741
81,1230066699,15,5740
82,2820000211,15,5737
83,2720000238,15,5735
84,2720000255,15,5735
85,2820000829,15,5734
86,1230070999,15,5722
87,1230000059,14,5423
88,2040000003,14,5414
89,2820000891,14,5372
90,1230000036,14,5370
91,1230000003,14,5363
92,2820000270,14,5362
93,2820000843,14,5355
94,2720000232,14,5354
95,2820011620,14,5354
96,2610000224,14,5345
97,1230011713,14,5329
98,1230012013,14,5311
99,2820000804,13,5008
100,1230070899,13,4993
101,2820000842,13,4989
102,2820000851,13,4989
103,1230000052,13,4982
104,2610000174,13,4975
105,1230070799,13,4973
106,2720000261,13,4968
107,2610000307,13,4962
108,2610000434,13,4962
109,2820000180,12,4646
110,4330000005,12,4646
111,2610000504,12,4615
112,2820010650,12,4580
113,2820000210,12,4578
114,2820000805,12,4562
115,2820000628,11,4230
116,2820010290,11,4224
117,2720000292,11,4223
118,4330000018,11,4212
119,2820000853,11,4207
120,2610000514,11,4199
121,2820011610,11,4197
122,1230020276,11,4178
123,1230000057,11,4175
124,2040000002,10,3912
125,4330007528,10,3868
126,2820000841,10,3855
127,4330000095,10,3837
128,2820010040,10,3830
129,2820010690,10,3827
130,2820000860,10,3825
131,1100000536,10,3809
132,4330000039,10,3807
133,2820000274,10,3806
134,2820010012,10,3805
135,4330000006,10,3805
136,1230000060,10,3796
137,2610000534,10,3742
138,2820000837,9,3475
139,2820000102,9,3457
140,2820010660,9,3408
141,1230000055,9,3403
142,2820000127,8,3113
143,1230011913,8,3080
144,2820000627,8,3077
145,4330007538,8,3069
146,7592600250,8,3066
147,4330002108,8,3059
148,4330000028,8,3048
149,4330000027,8,3035
150,2610000367,8,3026
151,2610000550,8,3020
152,1230000035,8,3002
153,2720001126,7,2694
154,2820000840,7,2692
155,2820000103,7,2679
156,1100015308,7,2678
157,2610000244,7,2669
158,1230000039,7,2663
159,2610000537,7,2648
160,2610000750,7,2646
161,1230013013,6,2346
162,2720001125,6,2335
163,2820000872,6,2320
164,2820000145,6,2311
165,2820010190,6,2302
166,2820010180,6,2301
167,4330000012,6,2299
168,2610000347,6,2289
169,2610000287,6,2288
170,2610000337,6,2276
171,1230000053,6,2268
172,2820000821,6,2264
173,1230013613,6,2237
174,1230000046,5,1970
175,1230066799,5,1941
176,2820000289,5,1941
177,2820000876,5,1931
178,1230011113,5,1922
179,2820012110,5,1922
180,2820000271,5,1916
181,2720001120,5,1910
182,2820010640,5,1910
183,2720001127,5,1903
184,2720000226,5,1876
185,2820000626,4,1570
186,1230070413,4,1566
187,2820011440,4,1551
188,2820000183,4,1545
189,2820000877,4,1537
190,2820012700,4,1535
191,2610000427,4,1529
192,4330000004,4,1529
193,2820000104,4,1526
194,2610000507,4,1518
195,2720001163,4,1517
196,2820000286,4,1517
197,1230000066,4,1513
198,1230011313,4,1513
199,1230000005,4,1512
200,1230019213,4,1499
