local_idx,UPC,n_weeks_offered,tot_move
0,420,35,13370
1,421,35,13370
2,426,35,13370
3,428,35,13370
4,431,35,13370
5,440,35,13370
6,450,35,13370
7,451,35,13370
8,453,35,13370
9,1200000016,35,13370
10,1200000017,35,13370
11,1200000053,35,13370
12,1200000121,35,13370
13,1200000129,35,13370
14,1200000130,35,13370
15,1200000131,35,13370
16,1200000134,35,13370
17,1200000190,35,13370
18,1200000230,35,13370
19,1200000231,35,13370
20,1200000233,35,13370
21,1200000311,35,13370
22,1200000491,35,13370
23,1200000492,35,13370
24,1200000496,35,13370
25,1200000801,35,13370
26,1200000918,35,13370
27,1200000935,35,13370
28,1660050592,35,13370
29,1660051312,35,13370
30,2500000703,35,13370
31,2950000069,35,13370
32,2950001682,35,13370
33,2950005932,35,13370
34,3828100205,35,13370
35,3828100209,35,13370
36,3828100213,35,13370
37,3828100249,35,13370
38,3828100253,35,13370
39,3828100257,35,13370
40,3828100261,35,13370
41,3828100265,35,13370
42,3828100269,35,13370
43,3828100273,35,13370
44,3828100277,35,13370
45,3828100281,35,13370
46,3828100301,35,13370
47,3828100305,35,13370
48,3828100309,35,13370
49,3828100313,35,13370
50,3828100317,35,13370
51,3828100319,35,13370
52,3828100321,35,13370
53,3828100325,35,13370
54,3828100331,35,13370
55,3828100341,35,13370
56,3828100345,35,13370
57,3828100353,35,13370
58,3828100361,35,13370
59,3828100385,35,13370
60,3828100389,35,13370
61,3828100393,35,13370
62,3828100397,35,13370
63,4100000859,35,13370
64,4100000990,35,13370
65,4100000991,35,13370
66,4100000992,35,13370
67,4100000995,35,13370
68,4100000997,35,13370
69,4100010728,35,13370
70,4171011288,35,13370
71,4300095072,35,13370
72,4300095073,35,13370
73,4300095076,35,13370
74,4300098076,35,13370
75,4300098077,35,13370
76,4300098500,35,13370
77,4300098501,35,13370
78,4640054081,35,13370
79,4900000044,35,13370
80,4900000045,35,13370
81,4900000243,35,13370
82,4900000522,35,13370
83,4900000551,35,13370
84,4900000553,35,13370
85,4900000570,35,13370
86,4900000571,35,13370
87,4900000600,35,13370
88,4900000634,35,13370
89,4900000639,35,13370
90,4900000658,35,13370
91,4900000663,35,13370
92,4900000914,35,13370
93,4900000935,35,13370
94,4900001020,35,13370
95,4900001063,35,13370
96,4900001252,35,13370
97,4900001278,35,13370
98,4900002319,35,13370
99,4900002395,35,13370
100,5020000750,35,13370
101,5490000060,35,13370
102,5490000061,35,13370
103,6647987450,35,13370
104,7020211703,35,13370
105,7297900025,35,13370
106,7336023341,35,13370
107,7336037341,35,13370
108,7618316357,35,13370
109,7618316363,35,13370
110,7618316364,35,13370
111,7618316368,35,13370
112,7618316369,35,13370
113,7618316370,35,13370
114,7618316372,35,13370
115,7618316376,35,13370
116,7618316390,35,13370
117,7618332374,35,13370
118,7800000034,35,13370
119,7800000038,35,13370
120,7800000075,35,13370
121,7800001080,35,13370
122,7840000041,35,13370
123,7840000042,35,13370
124,7840000064,35,13370
125,7840000085,35,13370
126,8390000003,35,13370
127,8390000004,35,13370
