local_idx,UPC,n_weeks_offered,tot_move
0,3000001020,305,74594
1,3000001040,305,74594
2,3000001180,305,74594
3,3000001190,305,74594
4,3000001200,305,74594
5,3000001210,305,74594
6,3000002190,305,74594
7,3000007060,305,74594
8,1313006025,304,74389
9,3000001460,304,74342
10,3000001240,304,74333
11,3000001760,304,74281
12,1313000612,303,74077
13,3000001380,303,74018
14,1800063070,302,73805
15,3000001800,300,73275
16,3000004760,299,73005
17,1313000622,298,72674
18,3000001880,294,71623
19,3000001820,292,71840
20,3000001340,292,71815
21,4240000105,292,71710
22,1313006057,289,68970
23,1313000698,282,68617
24,3000001570,264,59101
25,1313000602,263,63270
26,3000004170,259,59334
27,1313006035,238,62796
28,1112600328,228,59988
29,3828125077,183,55992
30,3828125073,182,55592
31,3000002620,176,52157
32,3828125081,171,52283
33,3828125085,162,50065
34,3828125098,161,49208
35,1313006053,136,37254
36,3000002350,119,22484
37,1313006031,116,38802
38,3000001580,113,18517
39,3000002390,98,22967
40,3000003790,95,13955
41,3828125105,94,32914
42,1313006058,89,13255
43,3000001350,66,8308
44,6414408037,59,9018
45,3000001370,59,7134
46,3000002300,53,16316
47,3000001000,49,6260
48,1112600399,47,7984
49,3000026286,41,15488
50,3000001700,41,5088
51,3000026288,40,15111
52,3000026287,40,15095
53,1313006024,39,13263
54,1800063061,39,9160
55,3000026289,37,14040
56,3000001590,37,6483
57,3000026135,32,9854
58,1313006044,31,11898
59,1313006050,29,8544
60,7382550022,25,9502
61,3000002380,18,3431
62,3000002720,16,6159
63,7382550020,16,6069
64,3000002360,16,3035
65,7382550019,15,5701
66,1780010045,12,2285
67,1600064040,11,1056
68,1600065240,10,970
69,1600064030,10,957
70,1112600301,7,660
71,1600064060,6,574
72,1600064070,5,467
73,1600065450,5,465
74,1600065460,5,465
75,1600062870,4,371
76,1600062890,4,371
77,7235900007,3,714
78,7235900070,1,234
79,1600062880,1,91
