local_idx,canonical_UPC,n_raw_upcs,constituent_UPCs,n_weeks_offered,tot_move
0,1112600328,29,1112600328;1313000602;1313000612;1313000622;1313000698;1313006025;1313006035;1313006057;1800063070;3000001020;3000001040;3000001180;3000001190;3000001200;3000001210;3000001240;3000001340;3000001380;3000001460;3000001570;3000001760;3000001800;3000001820;3000001880;3000002190;3000004170;3000004760;3000007060;4240000105,305,2163226
1,1313006053,1,1313006053,261,61256
2,3000001580,1,3000001580,231,48085
3,6414408004,1,6414408004,227,64475
4,3000002620,1,3000002620,195,58539
5,3000002390,1,3000002390,187,51575
6,3828125077,1,3828125077,185,56474
7,3000002350,1,3000002350,185,35014
8,3828125073,4,3828125073;3828125081;3828125085;3828125098,183,224196
9,3000002720,1,3000002720,179,32647
10,1112600399,10,1112600399;1313000611;1313006058;3000001000;3000001350;3000001370;3000003790;3574215180;6414408037;7151801023,177,318500
11,3574215145,4,3574215145;3574215146;3574215147;3574215185,165,114752
12,1800063061,1,1800063061,155,45255
13,3000002300,1,3000002300,136,44868
14,1313006031,2,1313006031;1313006050,124,83316
15,3000001700,1,3000001700,124,18974
16,3000001590,2,3000001590;7276201213,115,48630
17,3828125105,1,3828125105,104,35988
18,3000026135,1,3000026135,94,31083
19,3000002360,2,3000002360;3000002380,87,39250
20,3000003960,1,3000003960,86,28079
21,1313006024,1,1313006024,76,27218
22,1112600301,1,1112600301,68,8474
23,1600064040,3,1600064040;1600064060;1600065240,66,24471
24,1600064070,3,1600064070;1600065450;1600065460,62,22605
25,1600062870,2,1600062870;1600062890,60,14460
26,3000026286,1,3000026286,46,17243
27,3000026287,3,3000026287;3000026288;3000026289,42,47535
28,7382550019,3,7382550019;7382550020;7382550022,36,41154
29,1313006044,1,1313006044,32,12264
