choice_set,item,n_choices,n_chosen,cp,n_weeks_offered
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",0,1516,4,0.00263852242744063,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",1,1516,281,0.185356200527704,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",2,1516,413,0.272427440633245,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",3,1516,70,0.0461741424802111,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",4,1516,138,0.0910290237467019,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",5,1516,65,0.0428759894459103,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",6,1516,30,0.0197889182058048,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",7,1516,234,0.154353562005277,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",8,1516,10,0.00659630606860158,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",10,1516,70,0.0461741424802111,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",11,1516,165,0.108839050131926,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",13,1516,30,0.0197889182058048,68
"[0,1,2,3,4,5,6,7,8,10,11,13,14]",14,1516,6,0.00395778364116095,68
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",0,195,1,0.00512820512820513,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",1,195,33,0.169230769230769,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",2,195,26,0.133333333333333,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",3,195,10,0.0512820512820513,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",4,195,0,0,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",5,195,3,0.0153846153846154,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",6,195,4,0.0205128205128205,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",7,195,46,0.235897435897436,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",8,195,1,0.00512820512820513,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",9,195,0,0,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",10,195,0,0,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",11,195,0,0,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",12,195,38,0.194871794871795,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",13,195,0,0,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",14,195,0,0,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",15,195,11,0.0564102564102564,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",16,195,7,0.0358974358974359,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",19,195,14,0.0717948717948718,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",20,195,1,0.00512820512820513,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",21,195,0,0,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22]",22,195,0,0,8
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22]",0,356,0,0,14
