local_idx,canonical_UPC,n_raw_upcs,constituent_UPCs,n_weeks_offered,tot_move
0,4650003430,1,4650003430,265,69830
1,3828167053,4,3828167053;5170023100;5170023300;38137000738,264,278592
2,5170023470,4,5170023470;7109900100;7109900201;38137000708,263,278052
3,3828167045,1,3828167045,262,69241
4,30521391800,1,30521391800,250,65777
5,1904501110,2,1904501110;1904501310,237,118072
6,1904501210,1,1904501210,236,58854
7,3828167049,3,3828167049;5170023500;7418243261,235,176157
8,5170000241,1,5170000241,229,57248
9,4650003440,1,4650003440,195,58455
10,4160808770,1,4160808770,191,43341
11,3859600808,1,3859600808,181,40116
12,5140000077,1,5140000077,177,54738
13,7109900603,2,7109900603;38137000768,137,53828
14,1904501410,1,1904501410,136,26779
15,3530300015,1,3530300015,126,38703
16,3530300016,2,3530300016;3530300017,122,75474
17,3859601791,3,3859601791;30521274400;30521388600,114,117135
18,73530300015,3,73530300015;73530300016;73530300017,110,113685
19,3530300018,1,3530300018,108,34230
20,1700007803,2,1700007803;1700007855,95,49050
21,4740063461,1,4740063461,95,25341
22,4740063471,1,4740063471,93,24908
23,71780801100,1,71780801100,86,28595
24,3165523300,1,3165523300,76,27474
25,7050101028,1,7050101028,62,22847
26,7199654943,2,7199654943;7199654944,58,42978
27,3165524559,3,3165524559;38137130815;38137140815,52,58266
28,3165523470,1,3165523470,38,14459
29,3165523100,1,3165523100,28,10794
30,71780801040,1,71780801040,16,6264
31,30521388602,1,30521388602,15,5880
32,3680059968,2,3680059968;7214040763,12,9444
33,3859607960,4,3859607960;7418226851;7418243311;30997706604,10,8420
34,4116701040,1,4116701040,8,3164
