local_idx,UPC,n_weeks_offered,tot_move
0,3700060311,377,74793
1,3700060511,377,74793
2,3828111217,377,74793
3,4200012100,377,74793
4,4200013100,377,74793
5,4200013700,377,74793
6,3040000048,376,74620
7,5400041500,376,74582
8,3700060571,342,61423
9,5400046520,333,58328
10,5400046530,333,58328
11,5400046510,330,57275
12,5400044700,329,73436
13,5400046550,329,56926
14,4200014800,324,55061
15,4200013000,323,54718
16,5400070000,294,45603
17,3828111129,293,44947
18,5400049400,285,42615
19,5400049410,284,42308
20,7331013205,281,69259
21,5400048800,249,42198
22,3700060721,227,62841
23,3600061115,196,57366
24,3700061612,193,19622
25,3700060303,181,54045
26,3700060103,180,54216
27,3700060641,179,16902
28,3828111221,179,16902
29,3700060452,174,16075
30,3700060725,170,52277
31,3600061225,147,38845
32,3700061222,145,11139
33,3600061900,144,40721
34,5400072000,144,33073
35,3600061775,142,37310
36,5400048950,140,31549
37,5400041700,133,29398
38,3600061110,132,29320
39,3600061335,125,41433
40,4200014000,125,40787
41,3828111133,107,25917
42,3828111170,102,34117
43,7572536480,101,13377
44,3040001168,93,4565
45,5400049650,93,4565
46,3828111271,90,31577
47,3600061330,90,12907
48,3600061800,84,29761
49,5400048240,84,20535
50,7052461141,81,3465
51,5400072610,79,28212
52,4200013900,77,21478
53,5400070610,74,26465
54,7572536485,73,16578
55,3700060501,73,15940
56,3700061301,69,11178
57,4200010500,62,21851
58,1122542346,55,20303
59,4200016200,54,20075
60,5400042720,54,19639
61,4200010800,54,15387
62,7331013299,53,4719
63,3600060610,52,19390
64,5400044780,52,5861
65,3700060954,51,18995
66,5400041580,51,18689
67,5400048040,51,16644
68,3600060655,50,18648
69,4200027147,50,18636
70,3828111283,50,18530
71,4200016100,50,18434
72,7331013617,50,5661
73,3600060630,49,18303
74,3700060525,49,13502
75,3600061515,49,10356
76,3700060172,48,18008
77,3700060174,47,17618
78,5400049600,47,1146
79,4200016000,46,16911
80,5400048120,44,14243
81,4200014900,43,15835
82,5400048960,41,13141
83,3600061520,40,15050
84,5400048140,39,12544
85,5400048000,39,12457
86,5400072410,38,12604
87,3040000069,38,4006
88,3700068111,37,711
89,3040001165,36,5886
90,3700060205,34,7411
91,3600070900,30,11347
92,5400070900,30,9880
93,5400048060,30,9773
94,3600072410,22,8287
95,7331013202,22,775
96,3040000104,18,3015
97,4200016400,15,5880
98,4200013500,15,5865
99,4200016300,14,5485
100,3040000119,12,2977
101,3700060235,12,2502
102,4200012300,11,4316
103,3040000107,10,3918
104,3828111131,9,1555
105,3040000087,4,1585
106,3700006736,3,1194
107,3700060011,3,1194
108,3700060035,3,1194
109,4200013600,3,126
110,3600027793,2,201
111,3700060203,1,178
112,5400042660,1,23
113,5400049420,1,6
114,3700061652,1,1
