local_idx,canonical_UPC,n_raw_upcs,constituent_UPCs,n_weeks_offered,tot_move
0,2400032200,124,2400032200;2400032220;2400032230;2400032320;3760012575;3760027590;3828115001;3828115005;3828115009;3828115013;3828115017;3828115021;3828115025;3828115029;4119601000;4119601012;4119601022;4119601051;4119601061;4119601078;4119601088;4119601095;4119601096;4119601112;4119691064;4119691094;4119691116;4125875102;4125875104;4125875106;4125875108;4125875115;4125875117;5100000011;5100000014;5100000503;5100000504;5100000524;5100000546;5100000549;5100000550;5100000551;5100000552;5100000556;5100000562;5100000564;5100000568;5100000569;5100000570;5100000571;5100000572;5100000587;5100000617;5100000618;5100000656;5100000658;5100000660;5100000684;5100000687;5100001021;5100001024;5100001031;5100001047;5100001051;5100001071;5100001081;5100001111;5100001127;5100001141;5100001151;5100001161;5100001177;5100001187;5100001197;5100001221;5100001231;5100001251;5100001254;5100001261;5100001287;5100001291;5100001317;5100001327;5100001367;5100001377;5100001437;5100001467;5100001477;5100001527;5100001541;5100001587;5100001601;5100001617;5100001621;5100001641;5100001659;5100001660;5100001771;5100001847;5100001874;5100001875;5100002107;5100002141;5100002261;5100002421;5100002429;5100002431;5100002457;5100002967;5100003087;5100003813;5100004242;5100004677;5100004937;5100005310;5100005339;5100005340;5100005887;5100005897;5100005977;5100006007;5100006017;5100006197;7042000302,351,8026768
1,3360000030,8,3360000030;3360000031;4119601011;4119601021;4119601100;4119601140;4378701000;5300022819,305,390120
2,3760030453,5,3760030453;4119601092;4119691113;5100001880;5100004244,299,234210
3,5100001241,1,5100001241,296,63042
4,5100003147,1,5100003147,280,48927
5,5100000683,1,5100000683,263,36068
6,4119601099,1,4119601099,259,34966
7,3828115037,16,3828115037;3828115041;3828115045;3828115049;3828115053;3828115057;5010040260;5010040262;5100000467;5100001271;5100001347;5100002061;5100002068;5100002069;5100003885;5100003886,258,960336
8,3760023093,8,3760023093;4119601111;4119691115;5100001207;5100001767;5100004243;5100006207;5100006330,255,271040
9,4125875146,3,4125875146;4125875156;5100001651,250,141225
10,5010040268,1,5010040268,245,58656
11,3828115061,1,3828115061,232,57122
12,5100002051,1,5100002051,224,56094
13,2725805000,1,2725805000,217,46661
14,5100001967,2,5100001967;5100003077,213,47462
15,5100002627,1,5100002627,212,23513
16,5100002662,2,5100002662;5100002672,211,108574
17,1700000298,6,1700000298;4125875410;5100000682;5100002304;5100004241;5100006333,210,138480
18,4125875412,1,4125875412,202,21468
19,5100000937,1,5100000937,200,32190
20,4119601121,17,4119601121;4119691034;4119691035;4119691036;5010040258;5010040274;5010040277;5100002649;5100002828;5100003137;5100003139;5100003199;5100003234;5100003291;5100003862;5100003947;5100004055,199,891973
21,5010040263,1,5010040263,199,42689
22,5010040267,4,5010040267;5100003957;5100005500;5100005937,197,208608
23,5010040266,1,5010040266,195,42235
24,5100006331,1,5100006331,188,18801
25,1700000285,3,1700000285;3760001944;5100000676,186,55308
26,5100003812,1,5100003812,186,41155
27,1700000297,2,1700000297;3760003292,184,36150
28,4119691300,5,4119691300;4119691301;4119691302;4119691303;4119691304,182,248235
29,3760033484,1,3760033484,182,17718
30,4119601082,1,4119601082,179,17190
31,5100000619,2,5100000619;5100000997,176,33342
32,5100002430,1,5100002430,175,48401
33,5010040264,1,5010040264,166,30255
34,5010040259,3,5010040259;5100000956;5100000957,162,87507
35,4119601131,5,4119601131;5100000544;5100000567;5100000584;5100000620,162,69440
36,5100006698,3,5100006698;5100006707;5100008709,161,137286
37,5100001055,4,5100001055;5100001097;5100005307;5100005319,160,54220
38,4119691122,1,4119691122,160,24076
39,5100003868,9,5100003868;5100004156;5100005370;5100006569;5100006574;5100006699;5100006959;5100006960;5100008723,159,408321
40,5010040269,1,5010040269,157,37804
41,4119691066,2,4119691066;4119691305,151,87514
42,4119691084,4,4119691084;4119691085;4119691086;4119691306,149,173376
43,5010040270,3,5010040270;5010040271;5100003842,147,103737
44,5010040265,1,5010040265,140,27356
45,2400032201,1,2400032201,136,40560
46,5100006568,1,5100006568,130,39213
47,3828115033,2,3828115033;5100002221,127,17276
48,5100001878,2,5100001878;5100006572,126,76590
49,5100006187,1,5100006187,119,7610
50,5100006706,1,5100006706,113,29402
51,3360000011,14,3360000011;3360000033;4119691062;4119691063;4119691065;4119691124;4119691125;4119691126;5100000565;5100002466;5100002469;5100002472;5100002588;5100006332,110,91420
52,5100010526,1,5100010526,106,33465
53,4125875411,3,4125875411;5100002470;5100002757,106,18228
54,5010040272,1,5010040272,103,21617
55,4119691132,3,4119691132;4119691133;5010040273,101,63900
56,4119691043,7,4119691043;4119691044;4119691045;4119691307;5100010756;5100010811;5100010812,100,223454
57,2800034770,10,2800034770;4119691310;4125875124;4125875125;4800171177;5010040280;5100006205;5100009426;5100009427;5100010718,96,308520
58,5100002637,3,5100002637;5100002867;5100003806,93,14133
59,5010040279,4,5010040279;5100010829;5100010831;5100010832,92,119064
60,2725805002,1,2725805002,91,24191
61,4125875215,2,4125875215;5100010246,88,57328
62,5100005230,1,5100005230,86,18795
63,4125875184,2,4125875184;4125875185,84,46492
64,4125875217,1,4125875217,84,27538
65,2800006360,11,2800006360;3360000010;4119601072;4119601195;4800170216;5100001876;5100002303;5100005138;5100005348;5100006234;5300016003,55,18590
66,5100008294,1,5100008294,54,15955
67,5100006137,1,5100006137,27,5703
68,5100003698,1,5100003698,27,3924
69,5100003699,1,5100003699,17,1819
