choice_set,item,n_choices,n_chosen,cp,n_weeks_offered
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",0,29,1,0.0344827586206897,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",1,29,3,0.103448275862069,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",10,29,3,0.103448275862069,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",11,29,2,0.0689655172413793,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",20,29,1,0.0344827586206897,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",30,29,1,0.0344827586206897,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",38,29,3,0.103448275862069,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",40,29,2,0.0689655172413793,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",42,29,2,0.0689655172413793,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",45,29,5,0.172413793103448,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",58,29,1,0.0344827586206897,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",63,29,1,0.0344827586206897,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",83,29,1,0.0344827586206897,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",86,29,1,0.0344827586206897,1
"[0,1,10,11,20,30,38,40,42,45,58,63,83,86,141]",141,29,2,0.0689655172413793,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",0,195,8,0.041025641025641,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",1,195,4,0.0205128205128205,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",2,195,3,0.0153846153846154,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",3,195,10,0.0512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",4,195,4,0.0205128205128205,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",5,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",6,195,8,0.041025641025641,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",7,195,12,0.0615384615384615,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",10,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",11,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",12,195,4,0.0205128205128205,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",13,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",14,195,7,0.0358974358974359,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",15,195,4,0.0205128205128205,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",16,195,5,0.0256410256410256,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",17,195,15,0.0769230769230769,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",18,195,4,0.0205128205128205,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",19,195,8,0.041025641025641,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",20,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",21,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",22,195,4,0.0205128205128205,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",23,195,5,0.0256410256410256,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",25,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",26,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",27,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",28,195,11,0.0564102564102564,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",29,195,4,0.0205128205128205,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",32,195,5,0.0256410256410256,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",33,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",34,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",36,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",37,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",39,195,3,0.0153846153846154,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",42,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",43,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",44,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",46,195,4,0.0205128205128205,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",51,195,5,0.0256410256410256,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",52,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",54,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",56,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",59,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",60,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",62,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",65,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",72,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",77,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",78,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",85,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",92,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",93,195,13,0.0666666666666667,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",98,195,2,0.0102564102564103,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",150,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,32,33,34,36,37,39,42,43,44,46,51,52,54,56,59,60,62,65,72,77,78,85,92,93,98,150,193]",193,195,1,0.00512820512820513,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",0,104,5,0.0480769230769231,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",1,104,2,0.0192307692307692,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",2,104,2,0.0192307692307692,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",3,104,3,0.0288461538461538,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",4,104,3,0.0288461538461538,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",5,104,5,0.0480769230769231,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",6,104,3,0.0288461538461538,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",7,104,3,0.0288461538461538,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",8,104,2,0.0192307692307692,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",10,104,1,0.00961538461538462,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",11,104,1,0.00961538461538462,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",13,104,1,0.00961538461538462,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",14,104,2,0.0192307692307692,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",15,104,4,0.0384615384615385,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",17,104,2,0.0192307692307692,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",19,104,4,0.0384615384615385,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",20,104,3,0.0288461538461538,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",21,104,5,0.0480769230769231,1
"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,17,19,20,21,22,23,24,25,32,33,37,38,39,40,44,46,47,49,50,51,52,56,57,58,60,69,72,73,75,77,85,92,117,150,168]",22,104,2,0.0192307692307692,1
