local_idx,UPC,n_weeks_offered,tot_move
0,38137007122,165,16017
1,30041080200,162,16560
2,3500055800,159,16568
3,38137007126,159,16056
4,3660081331,154,12910
5,38137007140,151,14219
6,38137007120,151,14025
7,38137009217,148,12509
8,3500056200,146,16816
9,4138822061,146,12202
10,30041080400,145,13632
11,3500055300,143,14701
12,4138821021,143,11596
13,30521275500,142,11672
14,3660081371,141,11651
15,38137007133,139,14072
16,30521275200,139,11181
17,38137009219,135,10756
18,3500057900,133,13248
19,38137009215,132,10676
20,38137007118,129,12266
21,3828160005,129,12006
22,38137009225,129,11156
23,30041080100,126,12482
24,38137007130,125,11084
25,30041081465,125,11070
26,3660082581,125,10329
27,3828160013,124,10676
28,38137009213,124,9746
29,3828160009,121,10971
30,3500057800,120,11627
31,30573022110,115,9775
32,3500056000,114,14143
33,1465781102,108,8579
34,38137009242,104,8507
35,3660082501,103,8271
36,4138816001,101,8584
37,7559512024,99,7216
38,3828160049,98,14740
39,30521275000,98,7312
40,3828160045,96,13321
41,3500055100,91,8175
42,1111385013,91,6255
43,3500055500,90,8037
44,31031003313,81,5245
45,3828160041,80,11504
46,30041081415,80,5668
47,30041080140,79,10489
48,3500055200,75,5782
49,38137009231,74,6779
50,30041080160,73,10064
51,38137007142,71,3778
52,8137009253,68,4031
53,1111388214,68,3652
54,38137009234,67,7172
55,1465781108,67,5599
56,38137009340,67,3773
57,30041080135,66,8965
58,1111383259,65,6239
59,1465781109,63,5225
60,38137009335,62,3196
61,30041080700,61,4013
62,30521277200,57,4203
63,3500061500,55,8962
64,3500055209,52,8166
65,30041083400,52,1915
66,3500053900,50,8221
67,3500055109,50,7876
68,31031028313,50,3214
69,3500055199,47,3752
70,1111388114,47,2206
71,38137007203,46,7272
72,1111383159,46,4071
73,3078550104,46,2027
74,3500054000,44,6846
75,3500052600,44,3087
76,1111388014,44,1592
77,1111383359,43,4560
78,30041083100,41,1283
79,30041080953,40,5184
80,38137009218,40,1111
81,38137007201,39,6521
82,3500055299,39,3378
83,3500055509,38,6400
84,7094200411,38,5558
85,3500052700,38,2405
86,5310000120,36,6037
87,38137007202,35,5677
88,3500068400,34,6660
89,5310000122,34,5601
90,3500061700,33,4966
91,5310000121,32,5512
92,3500055599,32,2903
93,7557201029,32,2328
94,7094200311,31,5198
95,7094200111,31,3880
96,30041080950,30,4172
97,7094200555,29,3644
98,38137009222,29,2387
99,3500068500,28,5580
100,7094200409,28,4362
101,3700000885,27,5226
102,7094201155,27,3110
103,30041083200,27,565
104,3700000889,26,5042
105,3700000895,26,4944
106,7094200444,25,4169
107,30041080952,25,3597
108,3700000898,24,4616
109,3700000916,24,4503
110,7103177001,24,429
111,31111383136,23,379
112,3500068800,22,4577
113,1111383216,22,1258
114,5235410101,22,809
115,38137007218,21,4110
116,30041080955,21,3149
117,30041081470,20,2757
118,38137007137,19,3567
119,5310000123,19,3101
120,30041084100,19,1847
121,7103178005,19,308
122,38137007222,18,3453
123,3700000879,16,2871
124,8307811114,16,2488
125,30041084000,16,1487
126,4138821300,16,686
127,2447300024,15,2257
128,30041083638,15,2095
129,38137007220,13,2700
130,38137007134,13,2588
131,3700000869,13,2147
132,3700000867,12,2174
133,4138821020,12,1885
134,4167067000,11,2415
135,3700000903,11,2052
136,4138822021,11,1708
137,38137009232,11,258
138,30041084200,10,1529
139,8142503130,10,372
140,38137007131,9,1888
141,7094200414,9,1759
142,30041083738,9,1100
143,30041083238,9,407
144,38137007116,9,287
145,4167067350,8,1752
146,30041084300,8,1691
147,3500068700,8,1573
148,1111386420,8,1112
149,31074200041,8,892
150,7094201055,8,528
151,7094201955,8,520
152,31111383026,8,484
153,38137007136,7,1502
154,3500068600,7,1368
155,3700000874,7,1331
156,30041081473,7,943
157,30041083538,7,781
158,38137007102,7,510
159,30041083138,7,337
160,30041081200,6,1312
161,4167067050,6,1304
162,4167067200,6,1300
163,30041081474,6,585
164,1111383136,6,510
165,3500055400,6,36
166,30041083501,5,1079
167,7094200114,5,1044
168,30041081472,5,456
169,30041083438,5,210
170,8137007103,5,119
171,1111383026,5,82
172,30041081440,5,31
173,3500065800,4,880
174,30041084215,4,645
175,30041084225,4,641
176,7094240409,3,683
177,30041080936,3,673
178,30041080941,3,665
179,30041083300,3,639
180,30041081428,3,477
181,38137007103,3,414
182,31074200482,3,330
183,3500055303,3,193
184,3500055803,3,144
185,3500057903,3,144
186,7094240411,2,457
187,30041083502,2,443
188,3500065900,2,433
189,38137007106,2,276
190,38137007105,2,275
191,31111383216,2,105
192,3500057803,2,97
193,7103130007,2,95
194,3500055900,2,14
195,7094240444,1,213
196,3500068900,1,191
197,3320018021,1,177
198,3500052603,1,48
