choice_set,item,n_choices,n_chosen,cp,n_weeks_offered
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",0,444,288,0.648648648648649,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",1,444,2,0.0045045045045045,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",2,444,0,0,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",3,444,15,0.0337837837837838,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",4,444,47,0.105855855855856,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",5,444,10,0.0225225225225225,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",6,444,3,0.00675675675675676,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",7,444,40,0.0900900900900901,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",8,444,1,0.00225225225225225,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",12,444,11,0.0247747747747748,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",13,444,0,0,2
"[0,1,2,3,4,5,6,7,8,12,13,16,17,18,20,21,22,23,25,26,28,30,32,33,34,37,38,40,42,43,45,46,47,48,49,52,55,71,75,85]",16,444,1,0.00225225225225225,2
