local_idx,canonical_UPC,n_raw_upcs,constituent_UPCs,n_weeks_offered,tot_move
0,1204438600,120,1204438600;1204438800;1204438830;1204439940;1254700271;1254700382;1254700400;1254700405;1254700694;1254700703;2220000294;2220000295;2220000300;2220000306;2220000307;2220000308;2220000309;2220000324;2220000325;2220000327;2220000330;2220000337;2220000338;2220000339;2220000340;2220000443;2220000444;2220000445;2220000480;2220000481;2220000485;2220000490;2220000492;2220000497;2260001642;2260002042;2260002062;2260017422;2260017522;2260018032;2260018562;2260019542;2270000159;2270002486;2270049602;3500085000;3500085100;3700000142;3700000202;3700000227;3700071109;3700071328;3700071584;3700071585;3700071587;3700071588;3700071589;3700071590;3700071591;3700071595;3700071597;3700071598;3700071599;3700071600;3700071662;3700071713;3700071779;3700071784;3700071785;3700071788;3700071793;3700071794;3700071795;3828170001;3828170013;3828170021;3828170025;3828170029;3828170033;3828170037;3828170041;3828178009;4650002002;4650002005;4650002015;4650002022;4650002025;4650002032;4650002532;4650002534;4740000087;4740011035;4740011036;4740011048;4740011270;4740011500;4740011505;4740011525;4740011605;4740011700;4740011710;4740012040;4740012103;4740012222;4740012344;4740012403;4740012653;4740013010;4740013020;4740013060;4740013070;4740020259;4740024145;4740025160;4740025173;4740025294;4740025296;4740026517;4740026518;4740026769,244,7323720
1,1204438840,1,1204438840,241,60380
2,2260012490,1,2260012490,234,59106
3,2260080072,10,2260080072;3700000249;3700071790;3700071796;4740000086;4740024040;4740025175;4740026279;4740026374;4740026522,205,474280
4,1204438960,25,1204438960;1204438970;2220000255;2220000328;2220000331;2220000483;2220000484;2260001542;2260018462;2260019062;2450002023;2530040106;3700071329;3700071594;3700071596;3700071789;4650002536;4740011240;4740011625;4740013040;4740020237;4740024550;4740026385;4740026772;4740026775,201,1153150
5,2220000273,9,2220000273;2220000332;2260005062;3500084600;3500084900;3700000224;3700071586;4740011249;4740026386,199,409329
6,3828170009,1,3828170009,196,44830
7,1204434550,45,1204434550;1204437100;1204437200;1204437390;1204439950;1254700380;1254700804;1254700850;2220000286;2220000288;2220000315;2220000329;2220000374;2220000375;2220000377;2220000446;2260000042;2260000542;2260018432;2260018532;2260019032;2260073042;2260073072;2260080042;2270072968;2270073007;3500086112;3700071786;3700071791;4650002035;4650082005;4650082022;4650082025;4650082032;4740011209;4740011272;4740011645;4740012005;4740012354;4740013050;4740013090;4740020244;4740025161;4740025178;4740026523,195,1989135
8,4650002535,1,4650002535,184,51581
9,2220000292,1,2220000292,184,41764
10,4650082015,1,4650082015,178,40673
11,4650082002,1,4650082002,177,40090
12,1204434240,8,1204434240;1204434250;2260012480;2260014232;2260014332;2260014432;3700071108;4650002047,174,397248
13,3700071331,1,3700071331,174,40015
14,2220000289,1,2220000289,174,39439
15,4650072532,1,4650072532,172,38962
16,4650002045,1,4650002045,170,48858
17,3700000144,3,3700000144;4740012652;4740026383,168,145359
18,4740012047,1,4740012047,166,48044
19,4650072536,1,4650072536,164,37014
20,4740011527,1,4740011527,153,45288
21,4740000000,2,4740000000;4740000002,151,89694
22,4740020247,1,4740020247,149,30156
23,4740000001,2,4740000001;4740000005,147,87906
24,4740000003,3,4740000003;4740000012;4740013071,145,130500
25,2220000471,2,2220000471;2220000495,145,58108
26,1204400005,95,1204400005;1204400006;1254700330;1254700339;1254700353;1254700354;1254700500;1254700505;1254700510;1254700700;1254709786;2220000212;2220000219;2220000220;2220000263;2220000298;2220000305;2220000310;2220000312;2220000314;2220000320;2220000373;2220000378;2220000472;2220000482;2220000487;2220000488;2220000489;2220000493;2220000494;2220000496;2220000498;2220000499;2260000547;2260017622;2260018465;2260019065;2260073073;2260075042;2260079042;2260080073;2270000208;2270072976;3500084925;3500085025;3500085125;3500086133;3700000200;3700000201;3700000203;3700000205;3700000210;3700071330;3700071498;3700071552;3700071592;3700071593;3700071780;3700071782;3700071787;4650002041;4650072002;4650072005;4650072022;4650072032;4650072035;4740000042;4740000043;4740011058;4740011088;4740011250;4740011252;4740011271;4740011635;4740011746;4740011757;4740011760;4740011770;4740011907;4740012325;4740012753;4740020234;4740020235;4740020239;4740020246;4740020248;4740020252;4740020256;4740020257;4740020261;4740020281;4740026277;4740026372;4740026381;4740026770,141,2656960
27,2220000501,2,2220000501;4740025177,139,84234
28,4740011135,1,4740011135,139,36031
29,3320019010,8,3320019010;3320019030;3320019060;3320019080;3320019110;4740011562;4740011565;4740011568,133,325584
30,1254700852,1,1254700852,131,33995
31,1254700200,5,1254700200;1254700260;3320019180;4740000007;4740000008,129,198660
32,4650002043,1,4650002043,129,34106
33,4740024520,1,4740024520,129,33610
34,2260012500,5,2260012500;2260014532;2260014632;2260014732;2260060062,125,164140
35,1254700250,2,1254700250;3320019130,125,77500
36,3320019070,1,3320019070,123,38253
37,4740012046,1,4740012046,123,32903
38,4740012043,1,4740012043,121,32030
39,1254700410,3,1254700410;2260016222;3500000108,119,111741
40,4740013080,1,4740013080,119,31625
41,2260015222,7,2260015222;2260016322;2260016422;2260017722;2260019832;3700071601;4740000098,115,253575
42,4740012842,1,4740012842,115,30803
43,4740000004,1,4740000004,112,31244
44,4740011544,2,4740011544;4740012603,111,70374
45,2260018038,2,2260018038;2260018538,111,59930
46,2260019038,1,2260019038,109,29540
47,2450029103,2,2450029103;4740013100,107,58222
48,3500000066,1,3500000066,105,28678
49,1204437070,3,1204437070;2260000048;3500000061,104,85380
50,2450002211,4,2450002211;4650002282;4650002288;4740011548,103,132252
51,4740000013,1,4740000013,102,28595
52,3500000064,1,3500000064,102,28019
53,4740000011,1,4740000011,100,27950
54,4650002279,1,4650002279,99,31977
55,4740011025,1,4740011025,98,27125
56,2220000455,1,2220000455,96,27212
57,2220000376,1,2220000376,96,26672
58,4740025187,1,4740025187,94,26567
59,1254700415,4,1254700415;2260072044;3700071781;4740020251,93,64736
60,4740000010,1,4740000010,92,26098
61,2220000281,1,2220000281,92,25754
62,4740020255,2,4740020255;4740025290,91,31486
63,2260018037,5,2260018037;2260019037;4650082035;4740000065;4740012023,90,77625
64,4740000009,1,4740000009,90,26129
65,4740025184,1,4740025184,90,25289
66,2220000247,17,2220000247;2220000313;2220000319;2220000491;2260002047;2260002065;2260073044;3700000234;3700071352;3700071353;4650072534;4740000033;4740011136;4740012020;4740012335;4740012662;4740020242,88,256564
67,2220000745,1,2220000745,86,24827
68,1204434310,1,1204434310,84,23870
69,2220000213,1,2220000213,84,14278
70,2220000741,2,2220000741;3700000112,82,47690
71,2260018565,2,2260018565;3500085333,81,37036
72,2220000743,4,2220000743;2220000744;2220000746;4740024020,80,91616
73,3700000114,1,3700000114,80,23348
74,3700071354,1,3700071354,80,13480
75,3500085033,1,3500085033,77,17760
76,2220000747,6,2220000747;2220000749;2220000754;2260083662;3700000113;4740020258,76,131532
77,3500000105,4,3500000105;3500000106;3500000110;4740000095,76,89368
78,2260019642,2,2260019642;3500000109,76,45244
79,1204412500,9,1204412500;2220000200;2220000290;2220000291;2260012510;2260060052;3700071602;3700071727;3700071783,74,110817
80,3500000102,1,3500000102,74,21697
81,1204437101,3,1204437101;4740000096;4740000099,72,63960
82,1204438750,6,1204438750;2220000201;2220000208;2260012630;3700071712;4740026512,70,69330
83,4740000006,2,4740000006;4740000097,70,41350
84,2220000832,1,2220000832,70,20419
85,2260002048,2,2260002048;2270072984,65,31836
86,4740026807,79,4740026807;4740060254;4740062312;4740062332;4740062392;7025713339;7033020011;7033035587;7033070220;7033081046;7033081047;7033081048;7033090553;7033091146;7033091202;7033091561;7033091571;7033091610;7073002801;7073002810;7073002811;7073002814;7073022591;7073022601;7073027693;7073028153;7073028223;7073068950;7073068960;7430000261;7430000267;7430000933;7430000940;7940023020;7940023030;7940023040;7940023050;7940023060;7940023070;7940023080;7940023090;7940023100;7940023460;7940023480;7940023500;7940023960;7940023970;7940023980;7940075130;7940075870;7940078440;7940078450;30997200600;30997753400;30997753600;30997755500;31981000112;31981000113;31981000172;31981000173;31981000683;31981000691;31981000791;31981000991;31981005261;31981005373;31981005381;31981005891;31981007241;31981007251;31981007321;31981007331;31981007341;31981007352;31981007382;31981007471;31981007751;31981007851;34740013051,35,927855
87,4740060159,6,4740060159;31981005682;31981005683;31981005782;31981005783;31981007561,31,64434
88,4740026777,74,4740026777;4740026811;4740026812;4740060157;4740060158;4740062391;4740062421;5310021132;7033000000;7033080031;7073000803;7073000808;7073000810;7073000815;7073000818;7073000856;7073000912;7073002800;7073002802;7073002812;7073005094;7073005096;7073028203;7073068970;7430000938;7430000939;7430000942;7430000943;7430000944;7940023630;7940023640;7940023650;7940023660;7940023670;7940023720;7940023730;7940075080;7940075090;7940075110;7940075120;7940075140;7940075150;7940075860;7940077690;7940077700;7940078420;7940078430;7940078460;30997034000;30997135003;30997135303;30997188003;30997507600;30997510400;30997712500;30997802103;30997802203;30997961103;31981000114;31981000174;31981000682;31981000861;31981000871;31981000971;31981005181;31981005372;31981005382;31981007071;31981007651;38137000831;38137000832;38137000833;38137000836;38137000837,12,262996
89,1204412490,22,1204412490;1204412630;1204412640;1204434570;1204434580;1204439540;1204439550;1254700401;1254700406;1254700530;2220000268;2220000415;2220000416;2220000417;2260018034;2530060206;2530064206;3700066887;3700071351;3700071355;3700071792;4740025162,10,46310
90,7430000946,2,7430000946;32217021132,8,5096
91,4740026779,52,4740026779;4740026806;4740060137;4740060138;4740060139;4740060141;4740060143;4740062452;4740062462;4740062472;4822172272;7073000755;7073000964;7073022611;7073022621;7073022631;7073022691;7073022701;7073022711;7073022731;7073028014;7430000941;7480960200;7940023010;7940023110;7940023690;7940075100;7940077680;7940078000;7940078010;7940078050;7940078090;7940078140;30997033900;30997070000;30997134503;30997167003;30997187200;30997187600;30997189100;30997200300;30997507700;30997731800;30997960903;31981000981;31981005151;31981005161;31981005171;31981005191;31981007151;31981007271;35310022133,4,52312
