local_idx,UPC,n_weeks_offered,tot_move
0,3700000315,207,22620
1,3700000390,206,22641
2,3700000322,202,22073
3,3700000391,194,22407
4,3700000306,194,21020
5,3700000321,193,21774
6,3700000392,187,19993
7,3500050900,187,19882
8,3700000309,186,22042
9,3500051300,181,19818
10,3700000310,178,18764
11,3500056685,172,17829
12,3700000278,171,18739
13,1111374102,171,17866
14,3700000394,169,17665
15,1111341101,165,17473
16,5310032212,164,16851
17,5310033301,164,15690
18,1111323101,163,18227
19,3500057200,160,17403
20,3700000345,159,17862
21,3700000335,159,16804
22,1111379161,159,15068
23,3500057100,156,15908
24,3500059700,151,15914
25,3500059500,151,14946
26,3700000311,147,16281
27,3700000334,147,14783
28,3500051400,140,14244
29,3320018450,138,19651
30,3700000287,138,11064
31,1111374801,136,12757
32,3828160021,129,17702
33,3500057000,129,12835
34,3500059600,126,12365
35,3700000313,126,11474
36,30041086100,125,13048
37,1111374112,124,11505
38,5310000430,123,13500
39,3700000328,122,18167
40,3500054700,122,10724
41,5310000316,122,9792
42,5310000421,119,12633
43,5310032102,119,11823
44,1111374108,118,9846
45,1111374242,113,10869
46,3700000346,113,8804
47,3700000325,110,16224
48,5310033201,110,10228
49,5310000361,109,13103
50,3500056700,109,12158
51,3500058700,108,8422
52,5310000312,107,12115
53,30041086000,107,9733
54,5310033401,107,7925
55,1111320202,105,15104
56,3700000337,104,15357
57,3500057300,104,7718
58,3500058800,103,12389
59,3700000288,103,11799
60,5310000309,103,9901
61,3700000330,102,8548
62,5310032500,99,13588
63,3828160025,99,13286
64,3500056485,98,11264
65,3700000382,97,14861
66,3500058600,97,9422
67,5310000318,96,10885
68,3500050700,95,8244
69,3500051500,95,7453
70,3500052400,95,6876
71,3700000327,93,13579
72,3320018350,92,14179
73,1111379152,90,10087
74,3500050600,90,5993
75,5310032252,87,9270
76,5310032504,86,5020
77,5310032840,82,10164
78,3500058900,81,5415
79,5310032100,78,8341
80,3700000312,78,5316
81,3320018650,75,13245
82,3700000338,75,11694
83,3500000602,73,12633
