local_idx,UPC,n_weeks_offered,tot_move
0,2400032200,223,61249
1,2400032230,223,61249
2,2400032320,223,61249
3,3828115001,223,61249
4,3828115017,223,61249
5,3828115029,223,61249
6,4125875102,223,61249
7,5100000011,222,61038
8,5100000014,222,61038
9,5100001021,222,61038
10,5100001031,222,61038
11,5100001047,222,61038
12,5100001111,222,61038
13,5100001151,222,61038
14,5100001161,222,61038
15,5100001177,222,61038
16,5100001187,222,61038
17,5100001251,222,61038
18,5100001254,222,61038
19,5100001261,222,61038
20,5100001271,222,61038
21,5100001291,222,61038
22,5100001347,222,61038
23,5100001437,222,61038
24,5100001467,222,61038
25,5100001477,222,61038
26,5100001541,222,61038
27,5100001601,222,61038
28,5100001621,222,61038
29,5100001641,222,61038
30,5100001771,222,61038
31,5100001847,222,61038
32,5100002107,222,61038
33,5100002141,222,61038
34,5100002261,222,61038
35,5100002421,222,61038
36,5100002429,222,61038
37,5100002431,222,61038
38,5100002457,222,61038
39,5100002828,222,61038
40,5100004937,222,61038
41,5100005887,222,61038
42,5100005897,222,61038
43,5100005977,222,61038
44,5100006007,222,61038
45,5100006017,222,61038
46,5100006197,222,61038
47,3828115041,222,61011
48,3828115025,222,60996
49,3828115013,222,60870
50,5100001141,221,60793
51,5100001527,221,60787
52,5100001221,221,60756
53,4125875108,221,60730
54,5100003947,221,60674
55,2400032220,221,60498
56,5100001051,220,60695
57,5100001367,220,60639
58,5100001071,220,60324
59,4125875104,220,60244
60,5100001081,219,60523
61,5100001024,219,60181
62,5100001127,219,60176
63,3828115061,219,59889
64,4125875106,218,59629
65,5100005937,216,60087
66,5100001587,216,59322
67,5100003957,214,59762
68,5100005500,214,59762
69,5100001231,214,58930
70,3828115037,214,58615
71,4125875117,212,58139
72,5100001197,210,58463
73,3828115021,210,57903
74,4125875115,210,57540
75,3828115005,209,57061
76,5100000684,207,57242
77,3828115009,197,54835
78,5100003291,197,51461
79,5100002430,194,56279
80,5100004677,191,49280
81,5100001241,190,49746
82,5100001617,187,48809
83,5100001327,186,48662
84,5100005370,181,53822
85,5100006569,181,53822
86,5100008723,181,53822
87,5100004156,179,53371
88,5100001317,176,44353
89,5100001287,172,45356
90,4119601012,167,40769
91,4119601022,167,40769
92,4119601051,167,40769
93,4119601096,167,40769
94,5100003087,166,43703
95,4119601121,166,40605
96,4119601088,166,40573
97,4119691094,166,40571
98,5010040260,166,40558
99,5010040274,166,40558
100,5100000503,166,40558
101,5100000504,166,40558
102,5100000524,166,40558
103,5100000546,166,40558
104,5100000549,166,40558
105,5100000550,166,40558
106,5100000551,166,40558
107,5100000556,166,40558
108,5100000564,166,40558
109,5100000571,166,40558
110,5100000656,166,40558
111,5100000658,166,40558
112,5100000687,166,40558
113,5100001659,166,40558
114,5100001874,166,40558
115,5100001875,166,40558
116,5100002061,166,40558
117,5100002068,166,40558
118,5100002649,166,40558
119,5100002662,166,40558
120,5100002672,166,40558
121,5100003137,166,40558
122,5100003199,166,40558
123,5100003885,166,40558
124,4119601095,166,40474
125,5100000552,165,40398
126,5100003886,165,40386
127,4119691035,165,40364
128,5100003813,165,40362
129,5100000570,165,40320
130,5100000562,165,40319
131,4119691036,165,40273
132,5100003139,165,40264
133,4119691116,165,40263
134,5100002069,165,40256
135,5100003234,165,40255
136,5100000569,165,40252
137,5100001660,164,40166
138,5100004055,164,39950
139,5100000572,164,39949
140,5100002051,164,39927
141,3760027590,163,41669
142,4119691064,163,39838
143,5010040268,163,39781
144,5100001377,162,42774
145,4119601000,162,39612
146,5100003862,160,39232
147,2400032201,158,49027
148,3760012575,157,39143
149,4119601061,154,36496
150,5100000660,152,38578
151,5100006568,150,47153
152,4119601112,149,34962
153,4119691303,147,37459
154,4119691301,146,37253
155,4119691300,145,36907
156,4119691304,145,36877
157,4119691302,144,36750
158,4119691034,144,33737
159,4119601078,142,32929
160,5100000618,141,37214
161,5100000467,140,32173
162,5100000617,138,35724
163,3828115053,136,32615
164,5100009426,134,43423
165,5100009427,133,43026
166,3828115045,133,31927
167,5100000587,131,30477
168,3828115057,130,30773
169,5100002967,130,29775
170,5100010526,128,41932
171,5100006574,125,33342
172,5100006959,125,33342
173,5100006960,125,33342
174,3828115049,122,28935
175,5100004242,121,27730
176,4125875125,118,39222
177,5100010831,117,39016
178,5100003147,117,38984
179,4119691305,117,31744
180,4119691066,116,31538
181,4119691084,116,31538
182,4119691306,116,31537
183,5100008709,116,30650
184,2800034770,115,38374
185,4800171177,115,38299
186,5100010829,114,38233
187,5100010832,111,37303
188,4125875124,110,36499
189,5100000568,109,23519
190,5100006698,108,27783
191,5010040267,108,27515
192,5100005340,108,22966
193,5010040258,107,27257
194,5010040277,106,22500
195,5100006187,105,35702
196,5100003812,105,21996
197,5010040269,105,21989
198,3360000030,105,21930
199,3360000031,105,21930
200,4119601100,105,21930
201,4119601021,104,21730
202,5010040262,102,25724
203,4119601011,102,21325
204,4125875156,101,21176
205,4119601140,100,20832
206,5010040271,100,20731
207,4125875146,99,20550
208,5100005339,98,20467
209,5100005310,98,20388
210,4119691086,97,25595
211,5010040266,96,19665
212,5100006572,94,26727
213,5100001878,93,26435
214,4378701000,93,19363
215,5010040263,92,18793
216,5300022819,89,18306
217,4119691085,85,24552
218,2725805000,85,19744
219,2800069130,84,29482
220,5100011551,83,29174
221,5100011552,83,29174
222,5100011553,83,29174
223,5100001055,82,28865
224,5100011320,82,28865
225,5100011321,82,28865
226,5100008294,81,23675
227,5100010246,81,23675
228,2800069140,80,28185
229,5010040259,79,19243
230,5100006205,77,24082
231,5100009425,76,26990
232,5100011439,75,26635
233,5010040270,69,13242
234,5100003842,67,12727
235,5100010756,66,19909
236,5100010811,66,19909
237,5100010812,66,19909
238,5100003868,66,15351
239,5100010391,63,21342
240,5100006706,63,14531
241,5100006699,63,14529
242,5010040280,62,18839
243,5100010718,61,18537
244,5100006707,61,14059
245,5010040279,59,18026
246,5100011059,55,20108
247,5100001880,55,10073
248,5100004244,53,9729
249,4119691113,51,9262
250,4119601111,50,9058
251,4119601092,50,9025
252,4119691122,49,8869
253,4119691115,48,8677
254,2725805002,47,9541
255,4119691307,45,13280
256,4119691310,43,12673
257,5100000683,43,7612
258,5010040265,42,7413
